timestamp, index, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/09/22 13:31:31.019, 0, 0 %, 0 %, 116 MiB, 143771 MiB, 80.18 W
2026/09/22 13:31:32.025, 0, 0 %, 0 %, 138 MiB, 143771 MiB, 80.22 W
2026/09/22 13:31:33.028, 0, 0 %, 0 %, 669 MiB, 143771 MiB, 116.40 W
2026/09/22 13:31:34.028, 0, 20 %, 1 %, 1151 MiB, 143771 MiB, 124.68 W
2026/09/22 13:31:35.028, 0, 18 %, 1 %, 2371 MiB, 143771 MiB, 126.17 W
2026/09/22 13:31:36.028, 0, 16 %, 0 %, 2005 MiB, 143771 MiB, 125.10 W
2026/09/22 13:31:37.029, 0, 30 %, 1 %, 2403 MiB, 143771 MiB, 125.82 W
2026/09/22 13:31:38.029, 0, 4 %, 0 %, 4871 MiB, 143771 MiB, 125.52 W
2026/09/22 13:31:39.029, 0, 0 %, 0 %, 5725 MiB, 143771 MiB, 124.91 W
2026/09/22 13:31:40.029, 0, 17 %, 1 %, 3797 MiB, 143771 MiB, 124.55 W
2026/09/22 13:31:41.029, 0, 40 %, 2 %, 4811 MiB, 143771 MiB, 130.56 W
2026/09/22 13:31:42.030, 0, 99 %, 4 %, 4811 MiB, 143771 MiB, 181.07 W
2026/09/22 13:31:43.030, 0, 99 %, 5 %, 4811 MiB, 143771 MiB, 184.95 W
2026/09/22 13:31:44.030, 0, 99 %, 5 %, 4811 MiB, 143771 MiB, 187.52 W
2026/09/22 13:31:45.030, 0, 99 %, 5 %, 4811 MiB, 143771 MiB, 187.83 W
2026/09/22 13:31:46.030, 0, 99 %, 5 %, 4811 MiB, 143771 MiB, 187.14 W
2026/09/22 13:31:47.030, 0, 99 %, 5 %, 4811 MiB, 143771 MiB, 182.08 W
2026/09/22 13:31:48.030, 0, 99 %, 5 %, 4811 MiB, 143771 MiB, 192.22 W
2026/09/22 13:31:49.030, 0, 99 %, 5 %, 4811 MiB, 143771 MiB, 191.81 W
2026/09/22 13:31:50.030, 0, 99 %, 5 %, 4811 MiB, 143771 MiB, 192.91 W
2026/09/22 13:31:51.031, 0, 99 %, 5 %, 4811 MiB, 143771 MiB, 192.12 W
2026/09/22 13:31:52.031, 0, 79 %, 3 %, 4811 MiB, 143771 MiB, 186.28 W
2026/09/22 13:31:53.031, 0, 99 %, 5 %, 4811 MiB, 143771 MiB, 191.88 W
2026/09/22 13:31:54.031, 0, 99 %, 4 %, 4811 MiB, 143771 MiB, 193.14 W
2026/09/22 13:31:55.031, 0, 99 %, 5 %, 4811 MiB, 143771 MiB, 194.04 W
2026/09/22 13:31:56.031, 0, 99 %, 5 %, 4811 MiB, 143771 MiB, 193.30 W
2026/09/22 13:31:57.031, 0, 99 %, 5 %, 4811 MiB, 143771 MiB, 192.53 W
2026/09/22 13:31:58.031, 0, 99 %, 5 %, 4811 MiB, 143771 MiB, 187.74 W
2026/09/22 13:31:59.031, 0, 99 %, 5 %, 4811 MiB, 143771 MiB, 194.09 W
2026/09/22 13:32:00.031, 0, 99 %, 5 %, 4811 MiB, 143771 MiB, 194.04 W
2026/09/22 13:32:01.031, 0, 99 %, 5 %, 4811 MiB, 143771 MiB, 194.44 W
2026/09/22 13:32:02.032, 0, 99 %, 4 %, 4811 MiB, 143771 MiB, 194.11 W
2026/09/22 13:32:03.032, 0, 76 %, 3 %, 4811 MiB, 143771 MiB, 186.73 W
2026/09/22 13:32:04.032, 0, 99 %, 4 %, 5379 MiB, 143771 MiB, 194.95 W
2026/09/22 13:32:05.032, 0, 99 %, 5 %, 4947 MiB, 143771 MiB, 196.90 W
2026/09/22 13:32:06.032, 0, 99 %, 5 %, 4947 MiB, 143771 MiB, 195.43 W
2026/09/22 13:32:07.032, 0, 99 %, 4 %, 4947 MiB, 143771 MiB, 195.11 W
2026/09/22 13:32:08.032, 0, 99 %, 5 %, 4947 MiB, 143771 MiB, 196.75 W
2026/09/22 13:32:09.032, 0, 99 %, 5 %, 4947 MiB, 143771 MiB, 188.55 W
2026/09/22 13:32:10.032, 0, 99 %, 4 %, 4947 MiB, 143771 MiB, 194.54 W
2026/09/22 13:32:11.032, 0, 99 %, 5 %, 4947 MiB, 143771 MiB, 195.70 W
2026/09/22 13:32:12.032, 0, 99 %, 5 %, 4947 MiB, 143771 MiB, 196.38 W
2026/09/22 13:32:13.033, 0, 99 %, 5 %, 4947 MiB, 143771 MiB, 197.86 W
2026/09/22 13:32:14.033, 0, 76 %, 3 %, 4947 MiB, 143771 MiB, 190.46 W
2026/09/22 13:32:15.033, 0, 99 %, 5 %, 4947 MiB, 143771 MiB, 195.57 W
2026/09/22 13:32:16.033, 0, 99 %, 5 %, 4947 MiB, 143771 MiB, 196.78 W
2026/09/22 13:32:17.033, 0, 99 %, 5 %, 4947 MiB, 143771 MiB, 195.75 W
2026/09/22 13:32:18.033, 0, 99 %, 4 %, 4947 MiB, 143771 MiB, 196.94 W
2026/09/22 13:32:19.033, 0, 99 %, 5 %, 4947 MiB, 143771 MiB, 196.24 W
2026/09/22 13:32:20.033, 0, 99 %, 5 %, 4947 MiB, 143771 MiB, 190.54 W
2026/09/22 13:32:21.033, 0, 99 %, 5 %, 4947 MiB, 143771 MiB, 195.65 W
2026/09/22 13:32:22.033, 0, 99 %, 5 %, 4947 MiB, 143771 MiB, 197.22 W
2026/09/22 13:32:23.034, 0, 99 %, 5 %, 4947 MiB, 143771 MiB, 196.59 W
2026/09/22 13:32:24.034, 0, 99 %, 4 %, 4947 MiB, 143771 MiB, 197.29 W
2026/09/22 13:32:25.034, 0, 99 %, 5 %, 4947 MiB, 143771 MiB, 189.29 W
2026/09/22 13:32:26.034, 0, 99 %, 4 %, 4947 MiB, 143771 MiB, 195.88 W
2026/09/22 13:32:27.034, 0, 99 %, 5 %, 4947 MiB, 143771 MiB, 195.78 W
2026/09/22 13:32:28.034, 0, 99 %, 5 %, 4947 MiB, 143771 MiB, 196.46 W
2026/09/22 13:32:29.034, 0, 99 %, 5 %, 4947 MiB, 143771 MiB, 196.56 W
2026/09/22 13:32:30.034, 0, 99 %, 5 %, 4947 MiB, 143771 MiB, 194.83 W
2026/09/22 13:32:31.035, 0, 99 %, 5 %, 4947 MiB, 143771 MiB, 190.51 W
2026/09/22 13:32:32.035, 0, 99 %, 5 %, 4947 MiB, 143771 MiB, 196.15 W
2026/09/22 13:32:33.035, 0, 99 %, 5 %, 4947 MiB, 143771 MiB, 198.18 W
2026/09/22 13:32:34.035, 0, 99 %, 5 %, 4947 MiB, 143771 MiB, 197.32 W
2026/09/22 13:32:35.035, 0, 99 %, 5 %, 4947 MiB, 143771 MiB, 197.99 W
2026/09/22 13:32:36.035, 0, 99 %, 5 %, 4947 MiB, 143771 MiB, 190.97 W
2026/09/22 13:32:37.035, 0, 99 %, 5 %, 4947 MiB, 143771 MiB, 197.54 W
2026/09/22 13:32:38.035, 0, 99 %, 5 %, 4947 MiB, 143771 MiB, 197.80 W
2026/09/22 13:32:39.035, 0, 99 %, 5 %, 5651 MiB, 143771 MiB, 197.59 W
2026/09/22 13:32:40.035, 0, 99 %, 4 %, 4947 MiB, 143771 MiB, 197.21 W
2026/09/22 13:32:41.036, 0, 88 %, 4 %, 4947 MiB, 143771 MiB, 190.34 W
2026/09/22 13:32:42.036, 0, 99 %, 5 %, 4947 MiB, 143771 MiB, 197.03 W
2026/09/22 13:32:43.036, 0, 99 %, 5 %, 4947 MiB, 143771 MiB, 197.17 W
2026/09/22 13:32:44.036, 0, 99 %, 5 %, 4947 MiB, 143771 MiB, 198.67 W
2026/09/22 13:32:45.036, 0, 99 %, 5 %, 4947 MiB, 143771 MiB, 197.42 W
2026/09/22 13:32:46.036, 0, 99 %, 5 %, 4947 MiB, 143771 MiB, 194.68 W
2026/09/22 13:32:47.036, 0, 99 %, 4 %, 4947 MiB, 143771 MiB, 192.47 W
2026/09/22 13:32:48.036, 0, 99 %, 5 %, 4947 MiB, 143771 MiB, 196.60 W
2026/09/22 13:32:49.036, 0, 99 %, 5 %, 4947 MiB, 143771 MiB, 197.82 W
2026/09/22 13:32:50.036, 0, 99 %, 5 %, 4947 MiB, 143771 MiB, 197.35 W
2026/09/22 13:32:51.036, 0, 99 %, 5 %, 4947 MiB, 143771 MiB, 197.82 W
2026/09/22 13:32:52.037, 0, 99 %, 5 %, 4947 MiB, 143771 MiB, 191.18 W
2026/09/22 13:32:53.037, 0, 99 %, 5 %, 4947 MiB, 143771 MiB, 198.35 W
2026/09/22 13:32:54.037, 0, 99 %, 5 %, 4947 MiB, 143771 MiB, 197.04 W
2026/09/22 13:32:55.037, 0, 99 %, 5 %, 4947 MiB, 143771 MiB, 201.30 W
2026/09/22 13:32:56.037, 0, 99 %, 5 %, 4947 MiB, 143771 MiB, 198.32 W
2026/09/22 13:32:57.037, 0, 99 %, 4 %, 4947 MiB, 143771 MiB, 190.19 W
2026/09/22 13:32:58.037, 0, 99 %, 5 %, 4947 MiB, 143771 MiB, 198.29 W
2026/09/22 13:32:59.037, 0, 99 %, 5 %, 4947 MiB, 143771 MiB, 197.79 W
2026/09/22 13:33:00.037, 0, 99 %, 5 %, 4947 MiB, 143771 MiB, 197.91 W
2026/09/22 13:33:01.037, 0, 99 %, 5 %, 4947 MiB, 143771 MiB, 198.37 W
2026/09/22 13:33:02.037, 0, 76 %, 3 %, 4947 MiB, 143771 MiB, 191.02 W
2026/09/22 13:33:03.038, 0, 99 %, 5 %, 4947 MiB, 143771 MiB, 198.45 W
2026/09/22 13:33:04.038, 0, 99 %, 4 %, 4947 MiB, 143771 MiB, 198.39 W
2026/09/22 13:33:05.038, 0, 99 %, 5 %, 4947 MiB, 143771 MiB, 197.73 W
2026/09/22 13:33:06.038, 0, 99 %, 4 %, 4947 MiB, 143771 MiB, 197.38 W
2026/09/22 13:33:07.038, 0, 99 %, 5 %, 4947 MiB, 143771 MiB, 195.79 W
2026/09/22 13:33:08.038, 0, 99 %, 5 %, 4947 MiB, 143771 MiB, 191.44 W
2026/09/22 13:33:09.038, 0, 99 %, 5 %, 4947 MiB, 143771 MiB, 196.77 W
2026/09/22 13:33:10.038, 0, 99 %, 4 %, 4947 MiB, 143771 MiB, 198.40 W
2026/09/22 13:33:11.040, 0, 99 %, 5 %, 4947 MiB, 143771 MiB, 198.15 W
2026/09/22 13:33:12.041, 0, 99 %, 5 %, 4947 MiB, 143771 MiB, 198.86 W
2026/09/22 13:33:13.041, 0, 99 %, 5 %, 4947 MiB, 143771 MiB, 191.63 W
2026/09/22 13:33:14.041, 0, 99 %, 5 %, 4947 MiB, 143771 MiB, 198.52 W
2026/09/22 13:33:15.041, 0, 99 %, 5 %, 4947 MiB, 143771 MiB, 198.73 W
2026/09/22 13:33:16.041, 0, 99 %, 5 %, 4947 MiB, 143771 MiB, 198.56 W
