timestamp, index, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/09/22 14:05:16.396, 0, 0 %, 0 %, 120 MiB, 143771 MiB, 118.85 W
2026/09/22 14:05:16.673, 0, 0 %, 0 %, 138 MiB, 143771 MiB, 118.86 W
2026/09/22 14:05:16.928, 0, 0 %, 0 %, 227 MiB, 143771 MiB, 118.89 W
2026/09/22 14:05:17.187, 0, 0 %, 0 %, 647 MiB, 143771 MiB, 118.91 W
2026/09/22 14:05:17.531, 0, 0 %, 0 %, 669 MiB, 143771 MiB, 118.92 W
2026/09/22 14:05:17.800, 0, 0 %, 0 %, 669 MiB, 143771 MiB, 118.86 W
2026/09/22 14:05:18.098, 0, 0 %, 0 %, 675 MiB, 143771 MiB, 118.80 W
2026/09/22 14:05:18.349, 0, 0 %, 0 %, 717 MiB, 143771 MiB, 118.78 W
2026/09/22 14:05:18.601, 0, 0 %, 0 %, 835 MiB, 143771 MiB, 118.91 W
2026/09/22 14:05:18.856, 0, 11 %, 0 %, 911 MiB, 143771 MiB, 119.36 W
2026/09/22 14:05:19.107, 0, 8 %, 0 %, 1015 MiB, 143771 MiB, 120.16 W
2026/09/22 14:05:19.385, 0, 7 %, 0 %, 1061 MiB, 143771 MiB, 120.32 W
2026/09/22 14:05:19.652, 0, 2 %, 0 %, 1085 MiB, 143771 MiB, 120.26 W
2026/09/22 14:05:19.907, 0, 3 %, 0 %, 1085 MiB, 143771 MiB, 119.95 W
2026/09/22 14:05:20.157, 0, 0 %, 0 %, 1113 MiB, 143771 MiB, 119.29 W
2026/09/22 14:05:20.427, 0, 0 %, 0 %, 1145 MiB, 143771 MiB, 119.20 W
2026/09/22 14:05:20.677, 0, 16 %, 0 %, 1063 MiB, 143771 MiB, 119.76 W
2026/09/22 14:05:20.927, 0, 21 %, 1 %, 1535 MiB, 143771 MiB, 120.71 W
2026/09/22 14:05:21.177, 0, 17 %, 1 %, 1265 MiB, 143771 MiB, 121.05 W
2026/09/22 14:05:21.428, 0, 24 %, 1 %, 1363 MiB, 143771 MiB, 121.86 W
2026/09/22 14:05:21.678, 0, 21 %, 1 %, 1481 MiB, 143771 MiB, 121.83 W
2026/09/22 14:05:21.966, 0, 22 %, 1 %, 2371 MiB, 143771 MiB, 121.71 W
