
NOTICE: Existing SQLite export found: /hpc/data/cfd-students/nnoventa/sparta/nicola/results/sparta_nsys_h200_1211918_np30000000_ro0_h200/nsys_rank0.sqlite
        It is assumed file was previously exported from: /hpc/data/cfd-students/nnoventa/sparta/nicola/results/sparta_nsys_h200_1211918_np30000000_ro0_h200/nsys_rank0.nsys-rep
        Consider using --force-export=true if needed.

Processing [/hpc/data/cfd-students/nnoventa/sparta/nicola/results/sparta_nsys_h200_1211918_np30000000_ro0_h200/nsys_rank0.sqlite] with [/cm/shared/apps/cuda12.8/visual-tools/12.8.1/nsight-systems/2024.6.2/host-linux-x64/reports/mpi_event_sum.py]... 
Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Source,Name
99.6,815703328,1,815703328.0,815703328.0,815703328,815703328,0.0,other,MPI_Init
0.1,1046562,1448,722.8,530.0,70,71789,2647.2,collectives,MPI_Allreduce
0.1,685365,1,685365.0,685365.0,685365,685365,0.0,collectives,MPI_Alltoallv
0.1,441385,483,913.8,230.0,140,162978,8319.9,collectives,MPI_Barrier
0.1,433686,3,144562.0,230.0,230,433226,249990.4,collectives,MPI_Allgatherv
0.0,230898,10,23089.8,2889.5,410,95760,33682.4,collectives,MPI_Reduce_scatter
0.0,102110,319,320.1,180.0,70,10280,933.5,collectives,MPI_Bcast
0.0,15119,1,15119.0,15119.0,15119,15119,0.0,collectives,MPI_Scan
0.0,8500,4,2125.0,1725.0,1370,3680,1050.2,collectives,MPI_Allgather
0.0,3830,1,3830.0,3830.0,3830,3830,0.0,collectives,MPI_Alltoall

