
NOTICE: Existing SQLite export found: /hpc/data/cfd-students/nnoventa/sparta/nicola/results/sparta_nsys_h200_1211918_np30000000_ro0_h200/nsys_rank0.sqlite
        It is assumed file was previously exported from: /hpc/data/cfd-students/nnoventa/sparta/nicola/results/sparta_nsys_h200_1211918_np30000000_ro0_h200/nsys_rank0.nsys-rep
        Consider using --force-export=true if needed.

Processing [/hpc/data/cfd-students/nnoventa/sparta/nicola/results/sparta_nsys_h200_1211918_np30000000_ro0_h200/nsys_rank0.sqlite] with [/cm/shared/apps/cuda12.8/visual-tools/12.8.1/nsight-systems/2024.6.2/host-linux-x64/reports/mpi_event_sum.py]... 

 ** MPI Event Summary (mpi_event_sum):

 Time (%)  Total Time (ns)  Instances    Avg (ns)       Med (ns)      Min (ns)     Max (ns)    StdDev (ns)    Source            Name       
 --------  ---------------  ---------  -------------  -------------  -----------  -----------  -----------  -----------  ------------------
     99.6      815,703,328          1  815,703,328.0  815,703,328.0  815,703,328  815,703,328          0.0  other        MPI_Init          
      0.1        1,046,562      1,448          722.8          530.0           70       71,789      2,647.2  collectives  MPI_Allreduce     
      0.1          685,365          1      685,365.0      685,365.0      685,365      685,365          0.0  collectives  MPI_Alltoallv     
      0.1          441,385        483          913.8          230.0          140      162,978      8,319.9  collectives  MPI_Barrier       
      0.1          433,686          3      144,562.0          230.0          230      433,226    249,990.4  collectives  MPI_Allgatherv    
      0.0          230,898         10       23,089.8        2,889.5          410       95,760     33,682.4  collectives  MPI_Reduce_scatter
      0.0          102,110        319          320.1          180.0           70       10,280        933.5  collectives  MPI_Bcast         
      0.0           15,119          1       15,119.0       15,119.0       15,119       15,119          0.0  collectives  MPI_Scan          
      0.0            8,500          4        2,125.0        1,725.0        1,370        3,680      1,050.2  collectives  MPI_Allgather     
      0.0            3,830          1        3,830.0        3,830.0        3,830        3,830          0.0  collectives  MPI_Alltoall      

