
NOTICE: Existing SQLite export found: /hpc/data/cfd-students/nnoventa/sparta/nicola/results/sparta_nsys_h200_1211918_np30000000_ro0_h200/nsys_rank0.sqlite
        It is assumed file was previously exported from: /hpc/data/cfd-students/nnoventa/sparta/nicola/results/sparta_nsys_h200_1211918_np30000000_ro0_h200/nsys_rank0.nsys-rep
        Consider using --force-export=true if needed.

Processing [/hpc/data/cfd-students/nnoventa/sparta/nicola/results/sparta_nsys_h200_1211918_np30000000_ro0_h200/nsys_rank0.sqlite] with [/cm/shared/apps/cuda12.8/visual-tools/12.8.1/nsight-systems/2024.6.2/host-linux-x64/reports/osrt_sum.py]... 
Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
26.6,37131766067,385,96446145.6,100105168.0,1690,105148247,18012459.3,poll
25.8,36000533139,9,4000059237.7,4000059998.0,4000054068,4000066448,4307.2,sem_timedwait
24.7,34526966647,7,4932423806.7,5524132153.0,39654132,11739655232,3843161299.3,sem_wait
19.2,26745122004,177,151102384.2,17330.0,1000,15016745258,1428071908.9,read
2.4,3372858502,320077,10537.6,2390.0,1000,522244941,1072476.1,ioctl
1.2,1710522594,126,13575576.1,1707816.5,1030,662051000,61457157.3,epoll_wait
0.0,24710156,121,204216.2,2980.0,1000,11891965,1473957.9,fopen
0.0,14422696,553,26080.8,1900.0,1000,13053835,555005.6,open
0.0,13638751,192,71035.2,6165.0,1210,8124305,591898.0,write
0.0,12392430,3200,3872.6,4070.0,1010,34430,1645.8,fgets
0.0,5055110,1,5055110.0,5055110.0,5055110,5055110,0.0,nanosleep
0.0,4963891,11,451262.8,13200.0,5820,4096817,1214941.8,pthread_cond_wait
0.0,4255305,10,425530.5,15204.5,1530,2337971,860000.1,fwrite
0.0,3957849,11,359804.5,3020.0,2610,3924389,1182239.3,pthread_cond_broadcast
0.0,2530680,227,11148.4,10890.0,3300,19620,1279.6,recvmsg
0.0,2289342,7,327048.9,30600.0,1300,2141583,800246.4,writev
0.0,957702,8,119712.8,95309.0,74979,243008,57458.5,pthread_create
0.0,954442,6,159073.7,3170.0,2910,875363,351833.8,pthread_mutex_lock
0.0,856083,2,428041.5,428041.5,261948,594135,234891.7,waitpid
0.0,615055,4,153763.8,153768.5,152009,155509,1765.7,usleep
0.0,606825,29,20925.0,3360.0,1960,320607,59666.5,mmap64
0.0,421377,69,6106.9,1840.0,1120,27029,6055.8,sendmsg
0.0,294929,50,5898.6,2260.0,1630,16170,5023.6,openat
0.0,254978,2,127489.0,127489.0,83049,171929,62847.7,posix_spawn
0.0,232668,8,29083.5,20175.0,2740,79059,27730.3,fputs
0.0,200298,30,6676.6,5830.0,1050,13530,3718.0,shmget
0.0,182878,22,8312.6,1995.0,1020,63679,17807.0,fclose
0.0,121089,4,30272.3,14995.0,12650,78449,32145.7,connect
0.0,106388,34,3129.1,1735.0,1010,23230,4245.3,socket
0.0,89460,2,44730.0,44730.0,2870,86590,59199.0,send
0.0,88110,44,2002.5,1580.0,1000,10220,1507.2,open64
0.0,83450,3,27816.7,38070.0,5900,39480,18993.5,fflush
0.0,36480,26,1403.1,1225.0,1000,2890,470.7,epoll_ctl
0.0,34630,6,5771.7,5640.0,3140,8300,1953.5,fread
0.0,31730,6,5288.3,2625.0,1330,18600,6692.5,pthread_rwlock_trywrlock
0.0,28560,19,1503.2,1110.0,1000,6360,1235.1,mprotect
0.0,20840,8,2605.0,1760.0,1020,6880,2016.0,bind
0.0,14280,3,4760.0,5080.0,3940,5260,715.8,socketpair
0.0,11270,4,2817.5,2750.0,1560,4210,1241.6,process_vm_writev
0.0,10080,3,3360.0,3280.0,2570,4230,832.9,pthread_spin_trylock
0.0,9410,3,3136.7,4080.0,1230,4100,1651.3,pipe2
0.0,7670,5,1534.0,1360.0,1010,2070,434.9,mmap
0.0,6680,1,6680.0,6680.0,6680,6680,0.0,shmdt
0.0,6440,2,3220.0,3220.0,1830,4610,1965.8,pipe
0.0,5810,1,5810.0,5810.0,5810,5810,0.0,shmat
0.0,5650,4,1412.5,1380.0,1150,1740,244.3,shmctl
0.0,4270,3,1423.3,1410.0,1280,1580,150.4,fcntl
0.0,2700,1,2700.0,2700.0,2700,2700,0.0,listen
0.0,2560,1,2560.0,2560.0,2560,2560,0.0,recvfrom
0.0,2390,2,1195.0,1195.0,1190,1200,7.1,process_vm_readv
0.0,1590,1,1590.0,1590.0,1590,1590,0.0,fgets_unlocked
0.0,1270,1,1270.0,1270.0,1270,1270,0.0,fputc
0.0,1020,1,1020.0,1020.0,1020,1020,0.0,sigaction

