timestamp, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2026/09/23 11:16:18.641, 0, 0 %, 107 MiB, 43.98 W
2026/09/23 11:16:18.643, 1, 0 %, 107 MiB, 42.49 W
2026/09/23 11:16:18.644, 2, 0 %, 107 MiB, 43.04 W
2026/09/23 11:16:18.645, 3, 0 %, 107 MiB, 42.03 W
2026/09/23 11:16:28.647, 0, 0 %, 1333 MiB, 61.41 W
2026/09/23 11:16:28.650, 1, 0 %, 1331 MiB, 59.38 W
2026/09/23 11:16:28.651, 2, 0 %, 1331 MiB, 60.96 W
2026/09/23 11:16:28.652, 3, 1 %, 1333 MiB, 59.46 W
2026/09/23 11:16:38.655, 0, 64 %, 1737 MiB, 75.90 W
2026/09/23 11:16:38.656, 1, 81 %, 1739 MiB, 73.37 W
2026/09/23 11:16:38.657, 2, 58 %, 1739 MiB, 74.05 W
2026/09/23 11:16:38.658, 3, 93 %, 1739 MiB, 72.50 W
2026/09/23 11:16:48.660, 0, 50 %, 1737 MiB, 130.89 W
2026/09/23 11:16:48.661, 1, 42 %, 1739 MiB, 129.27 W
2026/09/23 11:16:48.662, 2, 54 %, 1739 MiB, 131.64 W
2026/09/23 11:16:48.663, 3, 48 %, 1739 MiB, 132.34 W
2026/09/23 11:16:58.666, 0, 40 %, 1739 MiB, 121.89 W
2026/09/23 11:16:58.667, 1, 57 %, 1739 MiB, 117.31 W
2026/09/23 11:16:58.668, 2, 36 %, 1739 MiB, 123.10 W
2026/09/23 11:16:58.669, 3, 68 %, 1901 MiB, 117.13 W
2026/09/23 11:17:08.672, 0, 91 %, 1739 MiB, 140.93 W
2026/09/23 11:17:08.673, 1, 83 %, 1739 MiB, 136.41 W
2026/09/23 11:17:08.674, 2, 91 %, 1739 MiB, 137.44 W
2026/09/23 11:17:08.675, 3, 78 %, 1741 MiB, 134.36 W
2026/09/23 11:17:18.678, 0, 33 %, 1737 MiB, 140.45 W
2026/09/23 11:17:18.679, 1, 48 %, 1739 MiB, 133.52 W
2026/09/23 11:17:18.680, 2, 34 %, 1739 MiB, 134.06 W
2026/09/23 11:17:18.681, 3, 39 %, 1739 MiB, 129.05 W
2026/09/23 11:17:28.683, 0, 81 %, 1737 MiB, 140.06 W
2026/09/23 11:17:28.685, 1, 89 %, 1739 MiB, 136.80 W
2026/09/23 11:17:28.686, 2, 85 %, 1739 MiB, 136.47 W
2026/09/23 11:17:28.687, 3, 94 %, 1739 MiB, 135.72 W
2026/09/23 11:17:38.690, 0, 92 %, 1737 MiB, 135.33 W
2026/09/23 11:17:38.691, 1, 89 %, 1739 MiB, 125.02 W
2026/09/23 11:17:38.692, 2, 90 %, 1899 MiB, 124.07 W
2026/09/23 11:17:38.693, 3, 94 %, 1899 MiB, 123.90 W
2026/09/23 11:17:48.696, 0, 92 %, 1739 MiB, 130.50 W
2026/09/23 11:17:48.697, 1, 89 %, 1739 MiB, 125.50 W
2026/09/23 11:17:48.698, 2, 91 %, 1739 MiB, 130.27 W
2026/09/23 11:17:48.699, 3, 94 %, 1741 MiB, 131.46 W
2026/09/23 11:17:58.702, 0, 93 %, 1897 MiB, 132.52 W
2026/09/23 11:17:58.703, 1, 88 %, 1899 MiB, 120.76 W
2026/09/23 11:17:58.704, 2, 90 %, 1899 MiB, 124.63 W
2026/09/23 11:17:58.705, 3, 95 %, 1901 MiB, 119.07 W
2026/09/23 11:18:08.708, 0, 93 %, 1737 MiB, 134.36 W
2026/09/23 11:18:08.709, 1, 89 %, 1739 MiB, 128.31 W
2026/09/23 11:18:08.710, 2, 91 %, 1739 MiB, 132.60 W
2026/09/23 11:18:08.711, 3, 94 %, 1739 MiB, 134.76 W
2026/09/23 11:18:18.714, 0, 92 %, 1737 MiB, 136.78 W
2026/09/23 11:18:18.715, 1, 90 %, 1739 MiB, 128.40 W
2026/09/23 11:18:18.716, 2, 91 %, 1739 MiB, 131.73 W
2026/09/23 11:18:18.717, 3, 95 %, 1899 MiB, 130.59 W
2026/09/23 11:18:28.720, 0, 93 %, 1737 MiB, 137.26 W
2026/09/23 11:18:28.721, 1, 89 %, 1739 MiB, 123.09 W
2026/09/23 11:18:28.722, 2, 91 %, 1739 MiB, 123.10 W
2026/09/23 11:18:28.723, 3, 95 %, 1739 MiB, 121.00 W
2026/09/23 11:18:38.726, 0, 92 %, 1739 MiB, 142.38 W
2026/09/23 11:18:38.727, 1, 88 %, 1739 MiB, 137.38 W
2026/09/23 11:18:38.728, 2, 91 %, 1739 MiB, 138.41 W
2026/09/23 11:18:38.729, 3, 94 %, 1741 MiB, 139.19 W
2026/09/23 11:18:48.731, 0, 92 %, 1897 MiB, 131.46 W
2026/09/23 11:18:48.733, 1, 89 %, 1899 MiB, 118.35 W
2026/09/23 11:18:48.734, 2, 90 %, 1739 MiB, 120.76 W
2026/09/23 11:18:48.735, 3, 95 %, 1741 MiB, 117.21 W
2026/09/23 11:18:58.737, 0, 66 %, 1737 MiB, 80.70 W
2026/09/23 11:18:58.738, 1, 83 %, 1739 MiB, 75.26 W
2026/09/23 11:18:58.739, 2, 64 %, 1739 MiB, 81.78 W
2026/09/23 11:18:58.741, 3, 37 %, 1739 MiB, 83.62 W
2026/09/23 11:19:08.743, 0, 92 %, 1737 MiB, 142.38 W
2026/09/23 11:19:08.744, 1, 89 %, 1739 MiB, 128.31 W
2026/09/23 11:19:08.747, 2, 90 %, 1739 MiB, 129.79 W
2026/09/23 11:19:08.748, 3, 94 %, 1739 MiB, 127.69 W
2026/09/23 11:19:18.750, 0, 92 %, 1737 MiB, 133.88 W
2026/09/23 11:19:18.751, 1, 88 %, 1739 MiB, 128.79 W
2026/09/23 11:19:18.752, 2, 90 %, 1739 MiB, 133.18 W
2026/09/23 11:19:18.754, 3, 95 %, 1739 MiB, 135.24 W
2026/09/23 11:19:28.757, 0, 92 %, 1739 MiB, 134.84 W
2026/09/23 11:19:28.758, 1, 88 %, 1739 MiB, 121.24 W
2026/09/23 11:19:28.759, 2, 90 %, 1899 MiB, 122.61 W
2026/09/23 11:19:28.760, 3, 94 %, 1901 MiB, 121.97 W
2026/09/23 11:19:38.763, 0, 92 %, 1739 MiB, 141.51 W
2026/09/23 11:19:38.764, 1, 88 %, 1739 MiB, 136.90 W
2026/09/23 11:19:38.765, 2, 90 %, 1739 MiB, 136.96 W
2026/09/23 11:19:38.766, 3, 94 %, 1741 MiB, 139.10 W
2026/09/23 11:19:48.769, 0, 92 %, 1737 MiB, 123.90 W
2026/09/23 11:19:48.770, 1, 88 %, 1739 MiB, 113.19 W
2026/09/23 11:19:48.771, 2, 90 %, 1739 MiB, 113.08 W
2026/09/23 11:19:48.772, 3, 95 %, 1739 MiB, 111.48 W
2026/09/23 11:19:58.774, 0, 91 %, 1737 MiB, 137.26 W
2026/09/23 11:19:58.775, 1, 88 %, 1739 MiB, 125.02 W
2026/09/23 11:19:58.776, 2, 90 %, 1739 MiB, 126.00 W
2026/09/23 11:19:58.777, 3, 94 %, 1739 MiB, 123.42 W
2026/09/23 11:20:08.780, 0, 92 %, 1739 MiB, 141.03 W
2026/09/23 11:20:08.781, 1, 90 %, 1739 MiB, 136.80 W
2026/09/23 11:20:08.782, 2, 92 %, 1739 MiB, 141.21 W
2026/09/23 11:20:08.783, 3, 93 %, 1741 MiB, 139.01 W
2026/09/23 11:20:18.786, 0, 92 %, 1739 MiB, 146.24 W
2026/09/23 11:20:18.787, 1, 91 %, 1739 MiB, 139.88 W
2026/09/23 11:20:18.788, 2, 92 %, 1739 MiB, 137.92 W
2026/09/23 11:20:18.789, 3, 94 %, 1741 MiB, 129.62 W
2026/09/23 11:20:28.791, 0, 92 %, 1739 MiB, 147.59 W
2026/09/23 11:20:28.792, 1, 91 %, 1739 MiB, 141.62 W
2026/09/23 11:20:28.793, 2, 91 %, 1739 MiB, 144.60 W
2026/09/23 11:20:28.794, 3, 94 %, 1741 MiB, 141.51 W
2026/09/23 11:20:38.797, 0, 85 %, 1739 MiB, 144.79 W
2026/09/23 11:20:38.798, 1, 91 %, 1739 MiB, 139.21 W
2026/09/23 11:20:38.799, 2, 92 %, 1739 MiB, 141.21 W
2026/09/23 11:20:38.800, 3, 94 %, 1741 MiB, 140.84 W
2026/09/23 11:20:48.803, 0, 92 %, 1737 MiB, 137.74 W
2026/09/23 11:20:48.804, 1, 88 %, 1739 MiB, 127.43 W
2026/09/23 11:20:48.805, 2, 90 %, 1899 MiB, 126.00 W
2026/09/23 11:20:48.807, 3, 95 %, 1899 MiB, 125.35 W
2026/09/23 11:20:58.809, 0, 92 %, 1737 MiB, 82.21 W
2026/09/23 11:20:58.810, 1, 89 %, 1739 MiB, 76.77 W
2026/09/23 11:20:58.811, 2, 90 %, 1739 MiB, 78.43 W
2026/09/23 11:20:58.812, 3, 95 %, 1739 MiB, 77.84 W
2026/09/23 11:21:08.815, 0, 92 %, 1739 MiB, 137.74 W
2026/09/23 11:21:08.816, 1, 88 %, 1739 MiB, 126.95 W
2026/09/23 11:21:08.817, 2, 89 %, 1899 MiB, 128.82 W
2026/09/23 11:21:08.818, 3, 94 %, 1901 MiB, 121.08 W
2026/09/23 11:21:18.823, 0, 92 %, 1739 MiB, 141.51 W
2026/09/23 11:21:18.824, 1, 89 %, 1739 MiB, 134.49 W
2026/09/23 11:21:18.825, 2, 90 %, 1739 MiB, 138.41 W
