timestamp, index, utilization.gpu [%], utilization.memory [%], memory.used [MiB], power.draw [W]
2026/09/24 13:50:17.433, 0, 0 %, 0 %, 107 MiB, 41.98 W
2026/09/24 13:50:17.434, 1, 0 %, 0 %, 107 MiB, 41.98 W
2026/09/24 13:50:17.436, 2, 0 %, 0 %, 107 MiB, 44.99 W
2026/09/24 13:50:17.437, 3, 0 %, 0 %, 107 MiB, 42.01 W
2026/09/24 13:50:18.439, 0, 2 %, 0 %, 421 MiB, 58.90 W
2026/09/24 13:50:18.440, 1, 2 %, 0 %, 421 MiB, 58.37 W
2026/09/24 13:50:18.441, 2, 0 %, 0 %, 421 MiB, 61.45 W
2026/09/24 13:50:18.442, 3, 2 %, 0 %, 421 MiB, 58.41 W
2026/09/24 13:50:19.445, 0, 0 %, 0 %, 429 MiB, 58.90 W
2026/09/24 13:50:19.446, 1, 0 %, 0 %, 429 MiB, 58.37 W
2026/09/24 13:50:19.447, 2, 0 %, 0 %, 429 MiB, 61.45 W
2026/09/24 13:50:19.448, 3, 0 %, 0 %, 429 MiB, 58.45 W
2026/09/24 13:50:20.451, 0, 26 %, 2 %, 611 MiB, 59.38 W
2026/09/24 13:50:20.452, 1, 26 %, 2 %, 611 MiB, 58.86 W
2026/09/24 13:50:20.453, 2, 25 %, 2 %, 611 MiB, 62.42 W
2026/09/24 13:50:20.454, 3, 26 %, 2 %, 713 MiB, 59.42 W
2026/09/24 13:50:21.457, 0, 27 %, 2 %, 955 MiB, 63.23 W
2026/09/24 13:50:21.458, 1, 27 %, 2 %, 955 MiB, 59.79 W
2026/09/24 13:50:21.459, 2, 25 %, 2 %, 955 MiB, 63.88 W
2026/09/24 13:50:21.461, 3, 25 %, 2 %, 717 MiB, 59.38 W
2026/09/24 13:50:22.463, 0, 23 %, 1 %, 1167 MiB, 59.38 W
2026/09/24 13:50:22.465, 1, 28 %, 2 %, 1167 MiB, 58.82 W
2026/09/24 13:50:22.466, 2, 26 %, 2 %, 1167 MiB, 61.94 W
2026/09/24 13:50:22.467, 3, 24 %, 1 %, 1167 MiB, 58.90 W
2026/09/24 13:50:23.469, 0, 29 %, 3 %, 1385 MiB, 59.38 W
2026/09/24 13:50:23.470, 1, 33 %, 3 %, 1385 MiB, 58.82 W
2026/09/24 13:50:23.471, 2, 25 %, 2 %, 1385 MiB, 61.94 W
2026/09/24 13:50:23.472, 3, 31 %, 3 %, 1385 MiB, 58.90 W
2026/09/24 13:50:24.475, 0, 31 %, 2 %, 1061 MiB, 59.83 W
2026/09/24 13:50:24.476, 1, 27 %, 1 %, 1061 MiB, 59.31 W
2026/09/24 13:50:24.478, 2, 20 %, 1 %, 1061 MiB, 62.38 W
2026/09/24 13:50:24.479, 3, 26 %, 2 %, 1061 MiB, 59.38 W
2026/09/24 13:50:25.482, 0, 25 %, 1 %, 1179 MiB, 59.35 W
2026/09/24 13:50:25.483, 1, 31 %, 2 %, 1179 MiB, 59.31 W
2026/09/24 13:50:25.484, 2, 20 %, 2 %, 1179 MiB, 62.38 W
2026/09/24 13:50:25.485, 3, 29 %, 2 %, 1179 MiB, 59.38 W
2026/09/24 13:50:26.487, 0, 31 %, 3 %, 2069 MiB, 59.35 W
2026/09/24 13:50:26.488, 1, 28 %, 3 %, 2069 MiB, 59.35 W
2026/09/24 13:50:26.489, 2, 21 %, 1 %, 2069 MiB, 61.89 W
2026/09/24 13:50:26.492, 3, 25 %, 3 %, 2069 MiB, 58.94 W
2026/09/24 13:50:27.494, 0, 28 %, 2 %, 1403 MiB, 59.83 W
2026/09/24 13:50:27.495, 1, 26 %, 2 %, 1403 MiB, 59.31 W
2026/09/24 13:50:27.496, 2, 16 %, 2 %, 1403 MiB, 62.38 W
2026/09/24 13:50:27.497, 3, 21 %, 2 %, 1403 MiB, 59.38 W
2026/09/24 13:50:28.500, 0, 26 %, 1 %, 2587 MiB, 67.11 W
2026/09/24 13:50:28.501, 1, 33 %, 2 %, 2587 MiB, 59.79 W
2026/09/24 13:50:28.502, 2, 38 %, 2 %, 2587 MiB, 64.37 W
2026/09/24 13:50:28.503, 3, 38 %, 2 %, 2587 MiB, 59.38 W
2026/09/24 13:50:29.505, 0, 39 %, 2 %, 2797 MiB, 59.87 W
