timestamp, index, utilization.gpu [%], utilization.memory [%], memory.used [MiB], power.draw [W]
2026/09/24 10:41:16.635, 0, 0 %, 0 %, 107 MiB, 42.01 W
2026/09/24 10:41:16.636, 1, 0 %, 0 %, 107 MiB, 43.41 W
2026/09/24 10:41:16.638, 2, 0 %, 0 %, 107 MiB, 44.44 W
2026/09/24 10:41:16.639, 3, 0 %, 0 %, 107 MiB, 44.41 W
2026/09/24 10:41:17.641, 0, 0 %, 0 %, 417 MiB, 56.99 W
2026/09/24 10:41:17.642, 1, 0 %, 0 %, 417 MiB, 58.37 W
2026/09/24 10:41:17.643, 2, 0 %, 0 %, 163 MiB, 57.03 W
2026/09/24 10:41:17.644, 3, 0 %, 0 %, 133 MiB, 57.93 W
2026/09/24 10:41:18.646, 0, 0 %, 0 %, 429 MiB, 59.42 W
2026/09/24 10:41:18.648, 1, 0 %, 0 %, 429 MiB, 59.35 W
2026/09/24 10:41:18.649, 2, 0 %, 0 %, 429 MiB, 60.44 W
2026/09/24 10:41:18.650, 3, 0 %, 0 %, 429 MiB, 60.84 W
2026/09/24 10:41:19.652, 0, 25 %, 2 %, 659 MiB, 60.36 W
2026/09/24 10:41:19.653, 1, 27 %, 2 %, 583 MiB, 60.28 W
2026/09/24 10:41:19.654, 2, 26 %, 2 %, 659 MiB, 61.37 W
2026/09/24 10:41:19.656, 3, 25 %, 2 %, 659 MiB, 63.27 W
2026/09/24 10:41:20.658, 0, 26 %, 2 %, 697 MiB, 59.91 W
2026/09/24 10:41:20.659, 1, 25 %, 2 %, 697 MiB, 59.79 W
2026/09/24 10:41:20.660, 2, 25 %, 2 %, 697 MiB, 60.92 W
2026/09/24 10:41:20.662, 3, 26 %, 2 %, 877 MiB, 61.33 W
2026/09/24 10:41:21.664, 0, 23 %, 1 %, 1105 MiB, 59.91 W
2026/09/24 10:41:21.665, 1, 28 %, 2 %, 817 MiB, 59.79 W
2026/09/24 10:41:21.666, 2, 24 %, 1 %, 817 MiB, 61.41 W
2026/09/24 10:41:21.667, 3, 26 %, 2 %, 1105 MiB, 61.33 W
2026/09/24 10:41:22.670, 0, 33 %, 2 %, 921 MiB, 59.38 W
2026/09/24 10:41:22.671, 1, 26 %, 2 %, 921 MiB, 60.28 W
2026/09/24 10:41:22.672, 2, 23 %, 1 %, 921 MiB, 61.37 W
2026/09/24 10:41:22.673, 3, 22 %, 2 %, 921 MiB, 61.33 W
2026/09/24 10:41:23.675, 0, 23 %, 2 %, 1573 MiB, 59.91 W
2026/09/24 10:41:23.676, 1, 34 %, 3 %, 1573 MiB, 59.79 W
2026/09/24 10:41:23.677, 2, 22 %, 2 %, 1573 MiB, 60.92 W
2026/09/24 10:41:23.678, 3, 31 %, 3 %, 1573 MiB, 61.81 W
2026/09/24 10:41:24.681, 0, 28 %, 1 %, 1797 MiB, 59.91 W
2026/09/24 10:41:24.682, 1, 31 %, 3 %, 1797 MiB, 59.79 W
2026/09/24 10:41:24.683, 2, 21 %, 1 %, 1797 MiB, 60.88 W
2026/09/24 10:41:24.684, 3, 33 %, 3 %, 1797 MiB, 61.29 W
2026/09/24 10:41:25.686, 0, 22 %, 2 %, 1247 MiB, 60.36 W
2026/09/24 10:41:25.687, 1, 26 %, 1 %, 2069 MiB, 59.75 W
2026/09/24 10:41:25.688, 2, 14 %, 1 %, 2069 MiB, 61.37 W
2026/09/24 10:41:25.689, 3, 11 %, 1 %, 1247 MiB, 62.30 W
2026/09/24 10:41:26.692, 0, 29 %, 3 %, 2225 MiB, 59.87 W
2026/09/24 10:41:26.693, 1, 25 %, 1 %, 1403 MiB, 59.79 W
2026/09/24 10:41:26.694, 2, 21 %, 1 %, 1403 MiB, 62.38 W
2026/09/24 10:41:26.695, 3, 21 %, 1 %, 2225 MiB, 61.33 W
2026/09/24 10:41:27.697, 0, 16 %, 2 %, 1493 MiB, 59.87 W
2026/09/24 10:41:27.731, 1, 26 %, 1 %, 1493 MiB, 60.28 W
2026/09/24 10:41:27.732, 2, 15 %, 1 %, 1493 MiB, 61.37 W
2026/09/24 10:41:27.733, 3, 32 %, 2 %, 1493 MiB, 61.29 W
2026/09/24 10:41:28.735, 0, 29 %, 1 %, 1593 MiB, 60.32 W
2026/09/24 10:41:28.737, 1, 39 %, 2 %, 2797 MiB, 73.28 W
