timestamp, index, utilization.gpu [%], utilization.memory [%], memory.used [MiB], power.draw [W]
2026/09/24 10:09:27.834, 0, 0 %, 0 %, 116 MiB, 80.16 W
2026/09/24 10:09:27.834, 1, 0 %, 0 %, 116 MiB, 81.59 W
2026/09/24 10:09:27.835, 2, 0 %, 0 %, 116 MiB, 77.87 W
2026/09/24 10:09:27.835, 3, 0 %, 0 %, 116 MiB, 81.32 W
2026/09/24 10:09:28.835, 0, 0 %, 0 %, 116 MiB, 80.22 W
2026/09/24 10:09:28.835, 1, 0 %, 0 %, 116 MiB, 81.57 W
2026/09/24 10:09:28.835, 2, 0 %, 0 %, 120 MiB, 77.96 W
2026/09/24 10:09:28.835, 3, 0 %, 0 %, 120 MiB, 81.37 W
2026/09/24 10:09:29.835, 0, 0 %, 0 %, 120 MiB, 80.19 W
2026/09/24 10:09:29.837, 1, 0 %, 0 %, 120 MiB, 81.61 W
2026/09/24 10:09:29.837, 2, 0 %, 0 %, 120 MiB, 77.91 W
2026/09/24 10:09:29.837, 3, 0 %, 0 %, 120 MiB, 81.22 W
2026/09/24 10:09:30.837, 0, 0 %, 0 %, 120 MiB, 80.01 W
2026/09/24 10:09:30.837, 1, 0 %, 0 %, 120 MiB, 81.51 W
2026/09/24 10:09:30.837, 2, 0 %, 0 %, 120 MiB, 77.89 W
2026/09/24 10:09:30.837, 3, 0 %, 0 %, 120 MiB, 81.24 W
2026/09/24 10:09:31.837, 0, 0 %, 0 %, 703 MiB, 117.45 W
2026/09/24 10:09:31.837, 1, 0 %, 0 %, 703 MiB, 119.64 W
2026/09/24 10:09:31.837, 2, 0 %, 0 %, 703 MiB, 113.56 W
2026/09/24 10:09:31.837, 3, 0 %, 0 %, 707 MiB, 120.56 W
2026/09/24 10:09:32.838, 0, 20 %, 0 %, 1115 MiB, 122.68 W
2026/09/24 10:09:32.838, 1, 15 %, 0 %, 1147 MiB, 124.80 W
2026/09/24 10:09:32.838, 2, 80 %, 0 %, 1115 MiB, 117.68 W
2026/09/24 10:09:32.838, 3, 79 %, 0 %, 1115 MiB, 124.28 W
2026/09/24 10:09:33.838, 0, 22 %, 0 %, 1187 MiB, 123.65 W
2026/09/24 10:09:33.838, 1, 22 %, 0 %, 1609 MiB, 125.66 W
2026/09/24 10:09:33.838, 2, 30 %, 0 %, 1187 MiB, 117.71 W
2026/09/24 10:09:33.839, 3, 30 %, 0 %, 1537 MiB, 125.33 W
2026/09/24 10:09:34.839, 0, 24 %, 0 %, 1483 MiB, 124.09 W
2026/09/24 10:09:34.839, 1, 19 %, 0 %, 1483 MiB, 125.77 W
2026/09/24 10:09:34.839, 2, 21 %, 0 %, 1483 MiB, 119.89 W
2026/09/24 10:09:34.839, 3, 28 %, 0 %, 2101 MiB, 125.46 W
2026/09/24 10:09:35.839, 0, 26 %, 0 %, 2701 MiB, 124.04 W
2026/09/24 10:09:35.839, 1, 31 %, 1 %, 1797 MiB, 126.89 W
2026/09/24 10:09:35.839, 2, 37 %, 1 %, 1797 MiB, 118.93 W
2026/09/24 10:09:35.839, 3, 25 %, 1 %, 2701 MiB, 125.47 W
2026/09/24 10:09:36.839, 0, 18 %, 1 %, 2007 MiB, 124.46 W
2026/09/24 10:09:36.839, 1, 34 %, 1 %, 3331 MiB, 126.06 W
2026/09/24 10:09:36.839, 2, 24 %, 0 %, 3331 MiB, 118.39 W
2026/09/24 10:09:36.839, 3, 34 %, 1 %, 2007 MiB, 125.65 W
2026/09/24 10:09:37.839, 0, 32 %, 1 %, 2259 MiB, 123.59 W
2026/09/24 10:09:37.840, 1, 26 %, 0 %, 3861 MiB, 125.89 W
2026/09/24 10:09:37.840, 2, 32 %, 1 %, 3861 MiB, 118.90 W
2026/09/24 10:09:37.840, 3, 52 %, 1 %, 2259 MiB, 126.10 W
2026/09/24 10:09:38.840, 0, 32 %, 1 %, 2565 MiB, 124.33 W
2026/09/24 10:09:38.840, 1, 30 %, 0 %, 4503 MiB, 127.15 W
2026/09/24 10:09:38.840, 2, 15 %, 0 %, 4503 MiB, 118.67 W
2026/09/24 10:09:38.840, 3, 36 %, 1 %, 2565 MiB, 126.11 W
2026/09/24 10:09:39.840, 0, 15 %, 0 %, 4873 MiB, 124.21 W
2026/09/24 10:09:39.840, 1, 18 %, 0 %, 4873 MiB, 126.72 W
2026/09/24 10:09:39.840, 2, 43 %, 1 %, 4873 MiB, 119.48 W
2026/09/24 10:09:39.840, 3, 22 %, 0 %, 4873 MiB, 125.53 W
2026/09/24 10:09:40.840, 0, 23 %, 0 %, 5279 MiB, 123.89 W
2026/09/24 10:09:40.841, 1, 34 %, 0 %, 3147 MiB, 126.18 W
2026/09/24 10:09:40.841, 2, 27 %, 0 %, 5279 MiB, 118.57 W
2026/09/24 10:09:40.841, 3, 25 %, 0 %, 5279 MiB, 126.09 W
2026/09/24 10:09:41.841, 0, 10 %, 0 %, 5727 MiB, 123.84 W
2026/09/24 10:09:41.841, 1, 39 %, 1 %, 3383 MiB, 125.72 W
2026/09/24 10:09:41.841, 2, 37 %, 0 %, 3383 MiB, 118.96 W
2026/09/24 10:09:41.841, 3, 3 %, 0 %, 5727 MiB, 125.47 W
2026/09/24 10:09:42.841, 0, 36 %, 1 %, 6219 MiB, 124.45 W
2026/09/24 10:09:42.841, 1, 12 %, 0 %, 3639 MiB, 126.36 W
2026/09/24 10:09:42.841, 2, 16 %, 1 %, 3639 MiB, 119.38 W
2026/09/24 10:09:42.841, 3, 47 %, 1 %, 6219 MiB, 126.64 W
