timestamp, index, utilization.gpu [%], utilization.memory [%], memory.used [MiB], power.draw [W]
2026/09/22 13:24:29.517, 0, 0 %, 0 %, 116 MiB, 80.13 W
2026/09/22 13:24:30.518, 0, 0 %, 0 %, 120 MiB, 80.17 W
2026/09/22 13:24:31.519, 0, 0 %, 0 %, 138 MiB, 80.13 W
2026/09/22 13:24:32.519, 0, 0 %, 0 %, 699 MiB, 119.31 W
2026/09/22 13:24:33.519, 0, 20 %, 1 %, 1437 MiB, 123.61 W
2026/09/22 13:24:34.519, 0, 16 %, 1 %, 1511 MiB, 125.47 W
2026/09/22 13:24:35.520, 0, 24 %, 1 %, 1925 MiB, 124.81 W
2026/09/22 13:24:36.520, 0, 8 %, 0 %, 2287 MiB, 124.83 W
2026/09/22 13:24:37.520, 0, 37 %, 1 %, 2769 MiB, 126.09 W
2026/09/22 13:24:38.524, 0, 31 %, 1 %, 3175 MiB, 125.41 W
2026/09/22 13:24:39.524, 0, 0 %, 0 %, 6247 MiB, 124.67 W
2026/09/22 13:24:40.524, 0, 31 %, 1 %, 4147 MiB, 123.07 W
2026/09/22 13:24:41.524, 0, 97 %, 4 %, 4841 MiB, 161.27 W
2026/09/22 13:24:42.524, 0, 96 %, 4 %, 4841 MiB, 182.73 W
2026/09/22 13:24:43.524, 0, 99 %, 5 %, 4841 MiB, 185.43 W
2026/09/22 13:24:44.525, 0, 99 %, 5 %, 4841 MiB, 188.18 W
2026/09/22 13:24:45.525, 0, 99 %, 4 %, 4841 MiB, 188.46 W
2026/09/22 13:24:46.525, 0, 99 %, 5 %, 4841 MiB, 184.43 W
2026/09/22 13:24:47.525, 0, 99 %, 5 %, 4841 MiB, 191.40 W
2026/09/22 13:24:48.525, 0, 99 %, 4 %, 4841 MiB, 191.51 W
2026/09/22 13:24:49.525, 0, 99 %, 5 %, 4841 MiB, 192.72 W
2026/09/22 13:24:50.525, 0, 99 %, 5 %, 4841 MiB, 192.80 W
2026/09/22 13:24:51.525, 0, 99 %, 4 %, 4841 MiB, 193.15 W
2026/09/22 13:24:52.525, 0, 0 %, 0 %, 120 MiB, 151.91 W
2026/09/22 13:24:53.526, 0, 0 %, 0 %, 120 MiB, 121.82 W
