Generating SQLite file /hpc/data/cfd-students/nnoventa/sparta/nicola/results/sparta_nsys_h200_1214944_np30000000_ro0_reduce/nsys_rank0.sqlite from /hpc/data/cfd-students/nnoventa/sparta/nicola/results/sparta_nsys_h200_1214944_np30000000_ro0_reduce/nsys_rank0.nsys-rep
Processing [/hpc/data/cfd-students/nnoventa/sparta/nicola/results/sparta_nsys_h200_1214944_np30000000_ro0_reduce/nsys_rank0.sqlite] with [/cm/shared/apps/cuda12.8/visual-tools/12.8.1/nsight-systems/2024.6.2/host-linux-x64/reports/cuda_gpu_kern_sum.py]... 

 ** CUDA GPU Kernel Summary (cuda_gpu_kern_sum):

 Time (%)  Total Time (ns)  Instances    Avg (ns)      Med (ns)    Min (ns)    Max (ns)   StdDev (ns)                                                  Name                                                
 --------  ---------------  ---------  ------------  ------------  ---------  ----------  -----------  ----------------------------------------------------------------------------------------------------
     81.6    2,641,808,933        200  13,209,044.7  13,683,776.0  9,047,542  14,438,690  1,062,190.2  void Kokkos::Impl::cuda_parallel_launch_local_memory<Kokkos::Impl::ParallelReduce<Kokkos::Impl::Com…
      9.3      300,487,619        203   1,480,234.6   1,424,004.0  1,384,611   1,909,061    120,137.2  void Kokkos::Impl::cuda_parallel_launch_local_memory<Kokkos::Impl::ParallelFor<SPARTA_NS::ParticleK…
      5.6      181,695,923        200     908,479.6     921,682.5    207,201   1,016,163     86,985.0  void Kokkos::Impl::cuda_parallel_launch_local_memory<Kokkos::Impl::ParallelReduce<Kokkos::Impl::Com…
      2.0       64,663,906        400     161,659.8     158,704.5    120,704     193,856     13,871.7  void Kokkos::Impl::cuda_parallel_launch_local_memory<Kokkos::Impl::ParallelFor<SPARTA_NS::FixEmitSu…
      0.8       25,537,692         64     399,026.4     118,112.0      3,296   2,308,325    572,165.7  void Kokkos::Impl::cuda_parallel_launch_local_memory<Kokkos::Impl::ParallelFor<Kokkos::Impl::ViewCo…
      0.2        7,669,111        400      19,172.8      19,136.0     17,536      23,008        820.0  void Kokkos::Impl::cuda_parallel_launch_local_memory<Kokkos::Impl::ParallelReduce<Kokkos::Impl::Com…
      0.2        5,877,490      1,600       3,673.4       3,744.0      2,784       5,376        632.6  void Kokkos::Impl::cuda_parallel_launch_local_memory<Kokkos::Impl::ParallelScan<SPARTA_NS::ExclScan…
      0.1        2,668,260        400       6,670.6       6,816.0      5,600       8,288        837.0  void Kokkos::Impl::cuda_parallel_launch_local_memory<Kokkos::Impl::ParallelFor<SPARTA_NS::FixEmitSu…
      0.1        2,029,539          3     676,513.0     673,825.0    673,601     682,113      4,851.0  void Kokkos::Impl::cuda_parallel_launch_local_memory<Kokkos::Impl::ParallelReduce<Kokkos::Impl::Com…
      0.1        1,826,757        400       4,566.9       4,512.0      4,224       5,376        166.2  void Kokkos::Impl::cuda_parallel_launch_local_memory<Kokkos::Impl::ParallelFor<SPARTA_NS::FixEmitSu…
      0.1        1,785,832        400       4,464.6       4,448.0      4,192       5,376        150.4  void Kokkos::Impl::cuda_parallel_launch_local_memory<Kokkos::Impl::ParallelFor<SPARTA_NS::FixEmitSu…
      0.0          681,922        200       3,409.6       3,392.0      3,136       3,712        118.5  void Kokkos::Impl::cuda_parallel_launch_local_memory<Kokkos::Impl::ParallelFor<SPARTA_NS::ParticleK…
      0.0          628,480        200       3,142.4       3,136.0      2,944       3,616         92.3  void Kokkos::Impl::cuda_parallel_launch_local_memory<Kokkos::Impl::ParallelFor<SPARTA_NS::CommKokko…
      0.0           17,888         10       1,788.8       1,456.0      1,152       3,456        879.8  void Kokkos::Impl::cuda_parallel_launch_local_memory<Kokkos::Impl::ParallelFor<Kokkos::Impl::ViewFi…
      0.0           13,088          1      13,088.0      13,088.0     13,088      13,088          0.0  desul::<unnamed>::init_lock_arrays_cuda_kernel()                                                    
      0.0            7,456          1       7,456.0       7,456.0      7,456       7,456          0.0  void Kokkos::Impl::cuda_parallel_launch_local_memory<Kokkos::Impl::ParallelFor<SPARTA_NS::CollideVS…
      0.0            1,056          1       1,056.0       1,056.0      1,056       1,056          0.0  Kokkos::Impl::<unnamed>::query_cuda_kernel_arch(int *)                                              

