timestamp, index, utilization.gpu [%], utilization.memory [%], memory.used [MiB], power.draw [W]
2026/09/23 13:27:40.558, 0, 0 %, 0 %, 107 MiB, 43.98 W
2026/09/23 13:27:40.560, 1, 0 %, 0 %, 107 MiB, 42.49 W
2026/09/23 13:27:40.561, 2, 0 %, 0 %, 107 MiB, 43.04 W
2026/09/23 13:27:40.562, 3, 0 %, 0 %, 107 MiB, 42.03 W
2026/09/23 13:27:41.564, 0, 2 %, 0 %, 421 MiB, 61.41 W
2026/09/23 13:27:41.566, 1, 2 %, 0 %, 421 MiB, 58.90 W
2026/09/23 13:27:41.567, 2, 0 %, 0 %, 421 MiB, 60.47 W
2026/09/23 13:27:41.568, 3, 3 %, 0 %, 421 MiB, 58.98 W
2026/09/23 13:27:42.570, 0, 0 %, 0 %, 429 MiB, 61.41 W
2026/09/23 13:27:42.571, 1, 0 %, 0 %, 429 MiB, 58.90 W
2026/09/23 13:27:42.572, 2, 0 %, 0 %, 429 MiB, 60.47 W
2026/09/23 13:27:42.573, 3, 0 %, 0 %, 429 MiB, 58.98 W
2026/09/23 13:27:43.576, 0, 25 %, 2 %, 611 MiB, 61.41 W
2026/09/23 13:27:43.577, 1, 28 %, 2 %, 611 MiB, 59.87 W
2026/09/23 13:27:43.578, 2, 24 %, 2 %, 611 MiB, 60.96 W
2026/09/23 13:27:43.579, 3, 24 %, 2 %, 713 MiB, 59.42 W
2026/09/23 13:27:44.581, 0, 27 %, 2 %, 955 MiB, 61.85 W
2026/09/23 13:27:44.583, 1, 26 %, 2 %, 955 MiB, 59.87 W
2026/09/23 13:27:44.584, 2, 24 %, 2 %, 955 MiB, 61.94 W
2026/09/23 13:27:44.585, 3, 25 %, 2 %, 717 MiB, 59.91 W
2026/09/23 13:27:45.587, 0, 30 %, 2 %, 849 MiB, 62.83 W
2026/09/23 13:27:45.588, 1, 24 %, 1 %, 1167 MiB, 59.79 W
2026/09/23 13:27:45.589, 2, 24 %, 2 %, 1167 MiB, 60.96 W
2026/09/23 13:27:45.590, 3, 21 %, 1 %, 1167 MiB, 59.46 W
2026/09/23 13:27:46.592, 0, 30 %, 1 %, 963 MiB, 62.34 W
2026/09/23 13:27:46.593, 1, 26 %, 2 %, 1385 MiB, 59.38 W
2026/09/23 13:27:46.594, 2, 30 %, 2 %, 1385 MiB, 60.96 W
2026/09/23 13:27:46.596, 3, 25 %, 2 %, 1385 MiB, 59.46 W
2026/09/23 13:27:47.598, 0, 23 %, 1 %, 1061 MiB, 62.34 W
2026/09/23 13:27:47.599, 1, 31 %, 2 %, 1061 MiB, 60.32 W
2026/09/23 13:27:47.600, 2, 23 %, 1 %, 1061 MiB, 61.45 W
2026/09/23 13:27:47.603, 3, 21 %, 1 %, 1061 MiB, 59.42 W
2026/09/23 13:27:48.605, 0, 1 %, 0 %, 1335 MiB, 61.41 W
2026/09/23 13:27:48.606, 1, 19 %, 1 %, 1337 MiB, 59.38 W
2026/09/23 13:27:48.607, 2, 7 %, 0 %, 1335 MiB, 60.47 W
2026/09/23 13:27:48.608, 3, 15 %, 1 %, 1335 MiB, 59.46 W
2026/09/23 13:27:49.611, 0, 91 %, 24 %, 1487 MiB, 122.93 W
2026/09/23 13:27:49.612, 1, 91 %, 23 %, 1487 MiB, 118.91 W
2026/09/23 13:27:49.613, 2, 91 %, 24 %, 1493 MiB, 116.88 W
2026/09/23 13:27:49.615, 3, 91 %, 23 %, 1487 MiB, 109.95 W
2026/09/23 13:27:50.617, 0, 90 %, 25 %, 1519 MiB, 125.84 W
2026/09/23 13:27:50.618, 1, 91 %, 25 %, 1517 MiB, 122.69 W
2026/09/23 13:27:50.619, 2, 91 %, 24 %, 1493 MiB, 123.98 W
2026/09/23 13:27:50.620, 3, 91 %, 25 %, 1521 MiB, 124.30 W
2026/09/23 13:27:51.622, 0, 91 %, 25 %, 1673 MiB, 124.79 W
2026/09/23 13:27:51.624, 1, 90 %, 25 %, 1517 MiB, 118.02 W
2026/09/23 13:27:51.625, 2, 91 %, 26 %, 1529 MiB, 116.32 W
2026/09/23 13:27:51.626, 3, 91 %, 25 %, 1521 MiB, 111.40 W
2026/09/23 13:27:52.628, 0, 47 %, 5 %, 1519 MiB, 120.92 W
2026/09/23 13:27:52.629, 1, 47 %, 5 %, 1517 MiB, 118.83 W
2026/09/23 13:27:52.631, 2, 66 %, 15 %, 1529 MiB, 122.61 W
2026/09/23 13:27:52.632, 3, 84 %, 23 %, 1521 MiB, 117.62 W
2026/09/23 13:27:53.634, 0, 91 %, 26 %, 1519 MiB, 121.00 W
2026/09/23 13:27:53.636, 1, 90 %, 26 %, 1517 MiB, 118.91 W
2026/09/23 13:27:53.637, 2, 91 %, 26 %, 1529 MiB, 121.64 W
2026/09/23 13:27:53.638, 3, 91 %, 26 %, 1521 MiB, 120.52 W
2026/09/23 13:27:54.640, 0, 79 %, 22 %, 1519 MiB, 126.24 W
2026/09/23 13:27:54.641, 1, 90 %, 25 %, 1517 MiB, 119.31 W
2026/09/23 13:27:54.642, 2, 61 %, 13 %, 1529 MiB, 116.88 W
2026/09/23 13:27:54.643, 3, 45 %, 5 %, 1521 MiB, 113.34 W
2026/09/23 13:27:55.645, 0, 91 %, 26 %, 1519 MiB, 120.52 W
2026/09/23 13:27:55.646, 1, 91 %, 26 %, 1517 MiB, 115.53 W
2026/09/23 13:27:55.647, 2, 91 %, 27 %, 1529 MiB, 113.56 W
2026/09/23 13:27:55.648, 3, 91 %, 27 %, 1521 MiB, 110.99 W
2026/09/23 13:27:56.650, 0, 91 %, 27 %, 1519 MiB, 124.70 W
2026/09/23 13:27:56.651, 1, 90 %, 27 %, 1517 MiB, 122.61 W
2026/09/23 13:27:56.653, 2, 91 %, 27 %, 1693 MiB, 121.64 W
2026/09/23 13:27:56.654, 3, 77 %, 20 %, 1677 MiB, 114.31 W
2026/09/23 13:27:57.657, 0, 91 %, 27 %, 1519 MiB, 129.05 W
2026/09/23 13:27:57.659, 1, 90 %, 27 %, 1517 MiB, 126.47 W
