job        1211165.pbs60
date       2026-09-22T11:24:06+02:00
arch       cpu
nodes      1
ranks      192 (192 per node)
nsteps     10000
npart      120000000
gpu_aware  1
balance    dyn, every 1000 steps
input      /hpc/data/cfd-students/nnoventa/sparta/nicola/results/scaling/cpu_n1_baldyn_s10000_1211165/in.deck
commit     745437a511f90034590e24e030316653e995f251
build      arch    cpu-zen4 commit  a93d3916c57c611b1ff0aea6dd1908d4951cbee7 date    2026-09-22T10:00:43+02:00 
exe        /hpc/data/cfd-students/nnoventa/sparta/install_cpu/bin/spa_kokkos_mpi_only
hosts      pn6382.cm.cluster 

Step CPU T/CPU S/CPU Dt Np Natt Ncoll Nbound Nexit c_temp 
       0            0            0            0        3e-09 119999540        0        0        0        0    300.03775 
     100    6.5080636 4.6096637e-08    15.365543        3e-09 117877261  1749297   930173        0        0    297.73393 
     200     12.85166 4.7291782e-08    15.763929        3e-09 115515684  1739678   895768        0        0    295.98715 
     300    19.245238 4.6922068e-08    15.640689        3e-09 113125398  1703626   863247        0        0    294.58042 
     400    25.235075 5.0084861e-08    16.694954        3e-09 110738566  1658797   829568        0        0     293.5098 
     500    31.169491 5.0552569e-08    16.850856        3e-09 108373413  1609499   798002        0        0    292.74784 
     600    37.011204 5.1354786e-08    17.118262        3e-09 106041891  1559927   767835        0        0    292.20327 
     700    42.787346 5.1937777e-08    17.312593        3e-09 103754654  1512021   739672        0        0     291.8355 
     800    48.681037 5.0901903e-08    16.967301        3e-09 101529963  1465922   714715        0        0    291.50921 
     900    54.311724 5.3279465e-08    17.759822        3e-09 99385467  1423258   690714        0        0    291.33903 
    1000    60.084664 5.1966573e-08    17.322191        3e-09 97332742  1383600   669102        0        0    291.26019 
    1100    65.117901 5.9603805e-08    19.867935        3e-09 95377773  1347850   649757        0        0    291.16247 
    1200     70.02922 6.1083391e-08     20.36113        3e-09 93542012  1315171   633300        0        0     291.1604 
    1300    74.869597 6.1978631e-08    20.659544        3e-09 91823631  1285794   618838        0        0    291.27221 
    1400    79.816818 6.0640127e-08    20.213376        3e-09 90220742  1259342   604544        0        0    291.49096 
    1500      84.5358 6.3572999e-08    21.190999        3e-09 88727691  1235063   592169        0        0    291.79279 
    1600    89.181801 6.4571704e-08    21.523902        3e-09 87337566  1212995   579640        0        0    292.02035 
    1700    93.775137 6.5312002e-08    21.770667        3e-09 86048202  1193347   569951        0        0    292.31486 
    1800    98.302595 6.6262349e-08     22.08745        3e-09 84849659  1174214   560928        0        0     292.6153 
    1900    102.78576 6.6917056e-08    22.305685        3e-09 83734273  1157789   551477        0        0    292.90498 
    2000    107.75199 6.0407985e-08    20.135995        3e-09 82698434  1142377   542892        0        0    293.23147 
    2100    111.85286 7.3155108e-08    24.385036        3e-09 81733300  1127897   536271        0        0    293.46071 
    2200    115.87587 7.4571018e-08    24.857007        3e-09 80834247  1114589   529851        0        0    293.69622 
    2300    119.85171 7.5455883e-08     25.15196        3e-09 79994055  1101218   521546        0        0    293.96521 
    2400    123.79315 7.6114295e-08    25.371432        3e-09 79207331  1089771   515250        0        0    294.22339 
    2500    127.68719 7.7040658e-08    25.680219        3e-09 78470911  1078701   509538        0        0    294.50535 
    2600    131.55152 7.7633318e-08    25.877773        3e-09 77780279  1067980   504188        0        0    294.74237 
    2700    135.37982 7.8363619e-08    26.121206        3e-09 77128364  1057727   497883        0        0    294.95025 
    2800    139.37817 7.5030979e-08    25.010326        3e-09 76518204  1047915   494133        0        0    295.14657 
    2900    143.14299 7.9685127e-08    26.561709        3e-09 75944642  1038731   488665        0        0    295.34103 
    3000     146.9814 7.8157262e-08    26.052422        3e-09 75399627  1030154   485154        0        0    295.54836 
