job        1211045.pbs60
date       2026-09-22T10:47:26+02:00
arch       cpu
nodes      4
ranks      768 (192 per node)
nsteps     10000
npart      120000000
gpu_aware  1
balance    part
input      /hpc/data/cfd-students/nnoventa/sparta/nicola/results/scaling/cpu_n4_balpart_s10000_1211045/in.deck
commit     b7bf6d0247ba3b5b6388134e15e88e14360bbec8
build      arch    cpu-zen4 commit  a93d3916c57c611b1ff0aea6dd1908d4951cbee7 date    2026-09-22T10:00:43+02:00 
exe        /hpc/data/cfd-students/nnoventa/sparta/install_cpu/bin/spa_kokkos_mpi_only
hosts      pn6372.cm.cluster pn6383.cm.cluster pn6391.cm.cluster pn6399.cm.cluster 

Step CPU T/CPU S/CPU Dt Np Natt Ncoll Nbound Nexit c_temp 
       0            0            0            0        3e-09 119999573        0        0        0        0    299.95269 
     100    1.3384429 2.241402e-07    74.713311        3e-09 117877059  1749501   931212        0        0    297.65854 
     200    2.6456958 2.294894e-07    76.496489        3e-09 115512599  1739034   895707        0        0    295.97353 
     300    3.8998438 2.3920592e-07     79.73528        3e-09 113123654  1703900   862049        0        0    294.59328 
     400    5.1262567 2.4461567e-07    81.538562        3e-09 110737716  1658734   830760        0        0    293.53334 
     500    6.5159755 2.1587105e-07    71.957011        3e-09 108372578  1609980   798854        0        0    292.74178 
     600    7.6969854 2.5401981e-07    84.673302        3e-09 106044443  1559944   767758        0        0    292.19923 
     700    8.8881077 2.5186374e-07    83.954592        3e-09 103759975  1511375   741053        0        0    291.82525 
     800     10.04312 2.5973747e-07    86.579144        3e-09 101537901  1466014   714454        0        0    291.49699 
     900    11.192227 2.6107168e-07    87.023889        3e-09 99391800  1423761   692592        0        0    291.31926 
    1000    12.327455 2.6426406e-07    88.088029        3e-09 97339183  1383280   670685        0        0    291.23349 
    1100    13.479612 2.6038137e-07    86.793799        3e-09 95391212  1347935   651107        0        0    291.21704 
    1200     14.60452 2.6668847e-07    88.896141        3e-09 93551966  1315388   633564        0        0    291.26139 
    1300    15.717406 2.6956936e-07    89.856472        3e-09 91828033  1285629   617159        0        0    291.39428 
    1400    16.858801 2.6283672e-07    87.612235        3e-09 90221024  1259007   604849        0        0     291.5829 
    1500    17.977756 2.6810702e-07    89.368995        3e-09 88728711  1234849   591195        0        0    291.82204 
    1600     19.08067 2.7200698e-07    90.668996        3e-09 87341498  1213265   579588        0        0    292.06259 
    1700    20.181545 2.7250997e-07    90.836662        3e-09 86050475  1192608   569427        0        0    292.33688 
    1800    21.284472 2.7200351e-07    90.667846        3e-09 84851823  1174839   559429        0        0    292.63798 
    1900    22.400605 2.6878561e-07    89.595199        3e-09 83736763  1157553   551658        0        0    292.91679 
    2000    23.519221 2.6818854e-07     89.39618        3e-09 82702207  1142017   543540        0        0    293.21316 
    2100    24.825648 2.2963399e-07    76.544665        3e-09 81734647  1127505   536174        0        0    293.44317 
    2200    26.104644 2.3455906e-07    78.186351        3e-09 80834225  1113890   527034        0        0    293.71814 
    2300    27.381038 2.3503701e-07    78.345674        3e-09 79993928  1101370   521342        0        0    293.97506 
    2400    28.479773 2.7304133e-07    91.013769        3e-09 79205764  1089884   515669        0        0    294.19546 
    2500    29.569657 2.7525885e-07    91.752953        3e-09 78467336  1078481   509415        0        0    294.45051 
