timestamp, index, utilization.gpu [%], utilization.memory [%], memory.used [MiB], power.draw [W]
2026/09/23 09:56:23.516, 0, 0 %, 0 %, 107 MiB, 43.98 W
2026/09/23 09:56:23.517, 1, 0 %, 0 %, 107 MiB, 42.49 W
2026/09/23 09:56:23.518, 2, 0 %, 0 %, 107 MiB, 43.04 W
2026/09/23 09:56:23.519, 3, 0 %, 0 %, 107 MiB, 42.03 W
2026/09/23 09:56:24.521, 0, 1 %, 0 %, 137 MiB, 49.80 W
2026/09/23 09:56:24.525, 1, 4 %, 0 %, 139 MiB, 52.65 W
2026/09/23 09:56:24.526, 2, 0 %, 0 %, 135 MiB, 43.01 W
2026/09/23 09:56:24.527, 3, 0 %, 0 %, 135 MiB, 42.01 W
2026/09/23 09:56:25.530, 0, 0 %, 0 %, 747 MiB, 61.37 W
2026/09/23 09:56:25.532, 1, 0 %, 0 %, 747 MiB, 59.35 W
2026/09/23 09:56:25.533, 2, 0 %, 0 %, 747 MiB, 60.44 W
2026/09/23 09:56:25.534, 3, 0 %, 0 %, 747 MiB, 58.94 W
2026/09/23 09:56:26.536, 0, 44 %, 3 %, 1183 MiB, 75.32 W
2026/09/23 09:56:26.537, 1, 48 %, 4 %, 1315 MiB, 78.07 W
2026/09/23 09:56:26.538, 2, 47 %, 4 %, 1091 MiB, 73.47 W
2026/09/23 09:56:26.539, 3, 42 %, 3 %, 1275 MiB, 73.42 W
2026/09/23 09:56:27.542, 0, 48 %, 4 %, 1719 MiB, 77.25 W
2026/09/23 09:56:27.543, 1, 50 %, 4 %, 1323 MiB, 70.86 W
2026/09/23 09:56:27.544, 2, 45 %, 3 %, 1719 MiB, 74.01 W
2026/09/23 09:56:27.545, 3, 44 %, 3 %, 1501 MiB, 72.89 W
2026/09/23 09:56:28.547, 0, 50 %, 4 %, 1523 MiB, 74.83 W
2026/09/23 09:56:28.548, 1, 49 %, 3 %, 2223 MiB, 80.49 W
2026/09/23 09:56:28.550, 2, 47 %, 4 %, 1523 MiB, 73.47 W
2026/09/23 09:56:28.551, 3, 45 %, 4 %, 1811 MiB, 72.40 W
2026/09/23 09:56:29.553, 0, 46 %, 2 %, 1731 MiB, 75.32 W
2026/09/23 09:56:29.554, 1, 52 %, 5 %, 2659 MiB, 72.79 W
2026/09/23 09:56:29.556, 2, 44 %, 3 %, 1731 MiB, 73.47 W
2026/09/23 09:56:29.557, 3, 50 %, 4 %, 1731 MiB, 71.43 W
2026/09/23 09:56:30.559, 0, 45 %, 2 %, 3035 MiB, 75.32 W
2026/09/23 09:56:30.560, 1, 41 %, 1 %, 3035 MiB, 71.82 W
2026/09/23 09:56:30.561, 2, 43 %, 3 %, 3035 MiB, 74.44 W
2026/09/23 09:56:30.563, 3, 37 %, 3 %, 3035 MiB, 85.50 W
2026/09/23 09:56:31.565, 0, 53 %, 3 %, 3483 MiB, 75.32 W
2026/09/23 09:56:31.567, 1, 43 %, 1 %, 3483 MiB, 71.78 W
2026/09/23 09:56:31.568, 2, 46 %, 3 %, 3483 MiB, 75.41 W
