timestamp, index, utilization.gpu [%], utilization.memory [%], memory.used [MiB], power.draw [W]
2026/09/22 18:56:13.256, 0, 0 %, 0 %, 107 MiB, 44.90 W
2026/09/22 18:56:13.258, 1, 0 %, 0 %, 107 MiB, 42.44 W
2026/09/22 18:56:13.259, 2, 0 %, 0 %, 107 MiB, 43.01 W
2026/09/22 18:56:13.260, 3, 0 %, 0 %, 107 MiB, 44.87 W
2026/09/22 18:56:14.262, 0, 0 %, 0 %, 107 MiB, 44.90 W
2026/09/22 18:56:14.264, 1, 0 %, 0 %, 107 MiB, 42.41 W
2026/09/22 18:56:14.265, 2, 0 %, 0 %, 107 MiB, 43.01 W
2026/09/22 18:56:14.266, 3, 0 %, 0 %, 107 MiB, 44.87 W
2026/09/22 18:56:15.268, 0, 0 %, 0 %, 421 MiB, 61.77 W
2026/09/22 18:56:15.270, 1, 0 %, 0 %, 421 MiB, 58.30 W
2026/09/22 18:56:15.271, 2, 3 %, 0 %, 421 MiB, 59.95 W
2026/09/22 18:56:15.273, 3, 3 %, 0 %, 421 MiB, 60.80 W
2026/09/22 18:56:16.275, 0, 0 %, 0 %, 439 MiB, 62.30 W
2026/09/22 18:56:16.276, 1, 0 %, 0 %, 439 MiB, 58.34 W
2026/09/22 18:56:16.279, 2, 0 %, 0 %, 439 MiB, 59.95 W
2026/09/22 18:56:16.280, 3, 0 %, 0 %, 439 MiB, 61.29 W
2026/09/22 18:56:17.282, 0, 24 %, 2 %, 611 MiB, 62.78 W
2026/09/22 18:56:17.283, 1, 27 %, 2 %, 623 MiB, 58.78 W
2026/09/22 18:56:17.284, 2, 25 %, 2 %, 735 MiB, 60.92 W
2026/09/22 18:56:17.285, 3, 24 %, 2 %, 611 MiB, 61.77 W
2026/09/22 18:56:18.287, 0, 27 %, 2 %, 955 MiB, 64.73 W
2026/09/22 18:56:18.288, 1, 26 %, 1 %, 737 MiB, 59.31 W
2026/09/22 18:56:18.290, 2, 25 %, 2 %, 737 MiB, 61.41 W
2026/09/22 18:56:18.291, 3, 24 %, 2 %, 955 MiB, 62.74 W
2026/09/22 18:56:19.293, 0, 30 %, 2 %, 1167 MiB, 62.78 W
