timestamp, index, utilization.gpu [%], utilization.memory [%], memory.used [MiB], power.draw [W]
2026/09/24 09:31:19.482, 0, 0 %, 0 %, 116 MiB, 80.21 W
2026/09/24 09:31:19.482, 1, 0 %, 0 %, 116 MiB, 81.22 W
2026/09/24 09:31:19.482, 2, 0 %, 0 %, 116 MiB, 77.91 W
2026/09/24 09:31:19.482, 3, 0 %, 0 %, 116 MiB, 81.28 W
2026/09/24 09:31:20.483, 0, 0 %, 0 %, 116 MiB, 80.10 W
2026/09/24 09:31:20.484, 1, 0 %, 0 %, 116 MiB, 81.24 W
2026/09/24 09:31:20.486, 2, 0 %, 0 %, 120 MiB, 77.86 W
2026/09/24 09:31:20.488, 3, 0 %, 0 %, 120 MiB, 81.41 W
2026/09/24 09:31:21.490, 0, 0 %, 0 %, 120 MiB, 80.10 W
2026/09/24 09:31:21.491, 1, 0 %, 0 %, 120 MiB, 81.32 W
2026/09/24 09:31:21.494, 2, 0 %, 0 %, 120 MiB, 77.96 W
2026/09/24 09:31:21.494, 3, 0 %, 0 %, 120 MiB, 81.30 W
2026/09/24 09:31:22.494, 0, 0 %, 0 %, 120 MiB, 80.11 W
2026/09/24 09:31:22.494, 1, 0 %, 0 %, 120 MiB, 81.29 W
2026/09/24 09:31:22.494, 2, 0 %, 0 %, 120 MiB, 77.88 W
2026/09/24 09:31:22.494, 3, 0 %, 0 %, 120 MiB, 81.27 W
2026/09/24 09:31:23.494, 0, 0 %, 0 %, 671 MiB, 109.19 W
2026/09/24 09:31:23.494, 1, 0 %, 0 %, 671 MiB, 110.29 W
2026/09/24 09:31:23.494, 2, 0 %, 0 %, 671 MiB, 107.04 W
2026/09/24 09:31:23.494, 3, 0 %, 0 %, 671 MiB, 113.75 W
2026/09/24 09:31:24.495, 0, 13 %, 0 %, 1017 MiB, 122.20 W
2026/09/24 09:31:24.495, 1, 14 %, 0 %, 1017 MiB, 124.18 W
2026/09/24 09:31:24.495, 2, 67 %, 0 %, 895 MiB, 116.80 W
2026/09/24 09:31:24.495, 3, 73 %, 0 %, 979 MiB, 124.34 W
2026/09/24 09:31:25.495, 0, 12 %, 0 %, 1021 MiB, 122.47 W
2026/09/24 09:31:25.495, 1, 12 %, 0 %, 1021 MiB, 124.72 W
2026/09/24 09:31:25.496, 2, 83 %, 0 %, 1181 MiB, 117.26 W
