Generating SQLite file /hpc/data/cfd-students/nnoventa/sparta/nicola/results/sparta_nsys_v100_1209335/nsys_rank0.sqlite from /hpc/data/cfd-students/nnoventa/sparta/nicola/results/sparta_nsys_v100_1209335/nsys_rank0.nsys-rep
Processing [/hpc/data/cfd-students/nnoventa/sparta/nicola/results/sparta_nsys_v100_1209335/nsys_rank0.sqlite] with [/cm/shared/apps/cuda12.8/visual-tools/12.8.1/nsight-systems/2024.6.2/host-linux-x64/reports/cuda_gpu_kern_sum.py]... 

 ** CUDA GPU Kernel Summary (cuda_gpu_kern_sum):

 Time (%)  Total Time (ns)  Instances    Avg (ns)       Med (ns)      Min (ns)     Max (ns)    StdDev (ns)                                                   Name                                                
 --------  ---------------  ---------  -------------  -------------  -----------  -----------  ------------  ----------------------------------------------------------------------------------------------------
     81.2   43,329,647,717        200  216,648,238.6  217,337,029.0  209,002,217  218,402,895   1,703,997.5  void Kokkos::Impl::cuda_parallel_launch_local_memory<Kokkos::Impl::ParallelFor<SPARTA_NS::UpdateKok…
      8.9    4,759,151,382        200   23,795,756.9   24,195,183.5   16,230,191   24,427,424   1,015,133.8  void Kokkos::Impl::cuda_parallel_launch_local_memory<Kokkos::Impl::ParallelFor<SPARTA_NS::CollideVS…
      7.9    4,231,118,785        203   20,842,949.7   19,947,977.0   18,976,263   29,843,814   2,165,042.6  void Kokkos::Impl::cuda_parallel_launch_local_memory<Kokkos::Impl::ParallelFor<SPARTA_NS::ParticleK…
      1.2      616,506,755         79    7,803,883.0    1,298,363.0       11,872   56,196,469  13,157,307.9  void Kokkos::Impl::cuda_parallel_launch_local_memory<Kokkos::Impl::ParallelFor<Kokkos::Impl::ViewCo…
      0.6      311,560,752        400      778,901.9      764,206.0      523,038    1,194,236     142,252.5  void Kokkos::Impl::cuda_parallel_launch_local_memory<Kokkos::Impl::ParallelFor<SPARTA_NS::FixEmitSu…
      0.1       47,610,235          3   15,870,078.3   15,857,716.0   15,551,896   16,200,623     324,540.1  void Kokkos::Impl::cuda_parallel_launch_local_memory<Kokkos::Impl::ParallelReduce<Kokkos::Impl::Com…
      0.0       15,032,848        400       37,582.1       37,360.0       24,768       43,616       1,895.4  void Kokkos::Impl::cuda_parallel_launch_local_memory<Kokkos::Impl::ParallelReduce<Kokkos::Impl::Com…
      0.0        9,027,374      1,600        5,642.1        5,440.0        3,424       10,688       1,449.8  void Kokkos::Impl::cuda_parallel_launch_local_memory<Kokkos::Impl::ParallelScan<SPARTA_NS::ExclScan…
      0.0        8,695,467        400       21,738.7       21,152.0       11,264       26,176       2,367.4  void Kokkos::Impl::cuda_parallel_launch_local_memory<Kokkos::Impl::ParallelFor<SPARTA_NS::FixEmitSu…
      0.0        4,403,156        200       22,015.8       22,000.0       19,232       24,736       1,037.7  void Kokkos::Impl::cuda_parallel_launch_local_memory<Kokkos::Impl::ParallelFor<SPARTA_NS::ParticleK…
      0.0        2,660,438        400        6,651.1        6,576.0        4,832       10,464         982.0  void Kokkos::Impl::cuda_parallel_launch_local_memory<Kokkos::Impl::ParallelFor<SPARTA_NS::FixEmitSu…
      0.0        2,258,620        200       11,293.1       11,343.5       10,304       12,288         411.1  void Kokkos::Impl::cuda_parallel_launch_local_memory<Kokkos::Impl::ParallelFor<SPARTA_NS::CommKokko…
      0.0        2,109,405        400        5,273.5        5,280.0        3,936        6,240         325.2  void Kokkos::Impl::cuda_parallel_launch_local_memory<Kokkos::Impl::ParallelFor<SPARTA_NS::FixEmitSu…
      0.0           44,128          1       44,128.0       44,128.0       44,128       44,128           0.0  desul::<unnamed>::init_lock_arrays_cuda_kernel()                                                    
      0.0           33,088         10        3,308.8        1,360.0        1,344       10,944       3,935.4  void Kokkos::Impl::cuda_parallel_launch_local_memory<Kokkos::Impl::ParallelFor<Kokkos::Impl::ViewFi…
      0.0           18,112          1       18,112.0       18,112.0       18,112       18,112           0.0  void Kokkos::Impl::cuda_parallel_launch_local_memory<Kokkos::Impl::ParallelFor<SPARTA_NS::CollideVS…
      0.0            1,856          1        1,856.0        1,856.0        1,856        1,856           0.0  Kokkos::Impl::<unnamed>::query_cuda_kernel_arch(int *)                                              

