
NOTICE: Existing SQLite export found: /hpc/data/cfd-students/nnoventa/sparta/nicola/results/sparta_nsys_v100_1209335/nsys_rank0.sqlite
        It is assumed file was previously exported from: /hpc/data/cfd-students/nnoventa/sparta/nicola/results/sparta_nsys_v100_1209335/nsys_rank0.nsys-rep
        Consider using --force-export=true if needed.

Processing [/hpc/data/cfd-students/nnoventa/sparta/nicola/results/sparta_nsys_v100_1209335/nsys_rank0.sqlite] with [/cm/shared/apps/cuda12.8/visual-tools/12.8.1/nsight-systems/2024.6.2/host-linux-x64/reports/osrt_sum.py]... 
Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
43.1,517181549002,84,6156923202.4,56849.0,1096,172529902801,29634887555.2,epoll_wait
14.4,172361370271,6,28726895045.2,73283467.0,1541898,171799991688,70091392262.2,sem_wait
14.3,172024493463,1730,99436123.4,100120782.0,1119,134285246,8844251.4,poll
14.3,172007663225,43,4000178214.5,4000067990.0,4000055915,4004778615,718290.7,sem_timedwait
13.7,164842075526,141,1169092734.2,8456.0,1048,15016447769,3991407259.2,read
0.1,646309402,4625,139742.6,30535.0,1019,32565045,747875.5,ioctl
0.0,45877674,12,3823139.5,56191.5,39249,38270207,11017212.5,pthread_cond_wait
0.0,17491036,128,136648.7,20439.0,1549,8049614,794306.6,write
0.0,12572959,139,90452.9,2859.0,1034,5073627,489764.0,fopen
0.0,12301945,615,20003.2,3228.0,1213,7942595,324808.3,fgets
0.0,10388680,10,1038868.0,55417.5,2178,6066535,2162274.8,fwrite
0.0,6882528,12,573544.0,19922.0,1415,6673835,1921102.3,pthread_cond_broadcast
0.0,6052349,12,504362.4,17121.0,1402,5807920,1670315.3,writev
0.0,5086446,1,5086446.0,5086446.0,5086446,5086446,0.0,nanosleep
0.0,5006324,16,312895.3,20279.0,19018,4030055,997841.9,pthread_mutex_lock
0.0,1571780,37,42480.5,4635.0,3308,1208317,197317.0,mmap64
0.0,970994,8,121374.3,66472.0,61522,495738,151422.9,pthread_create
0.0,730408,159,4593.8,2915.0,1189,80414,6935.9,open
0.0,539121,94,5735.3,1304.0,1002,242689,26248.0,fclose
0.0,334333,6,55722.2,32761.0,8155,218290,80546.6,fputs
0.0,325028,2,162514.0,162514.0,161275,163753,1752.2,usleep
0.0,245138,67,3658.8,2981.0,1008,11718,1994.4,open64
0.0,230676,120,1922.3,1256.0,1000,9136,1484.8,socket
0.0,198730,32,6210.3,2752.5,1113,21449,6247.1,sendmsg
0.0,153970,9,17107.8,22835.0,7217,32322,9613.6,fputc
0.0,141648,20,7082.4,2869.0,999,18711,6332.0,recvmsg
0.0,117283,3,39094.3,53530.0,9452,54301,25673.9,fflush
0.0,91649,10,9164.9,5460.5,1417,31115,10033.3,fread
0.0,74595,34,2194.0,1494.0,1051,14645,2334.7,epoll_ctl
0.0,70127,12,5843.9,5436.0,1877,10394,2565.6,shmget
0.0,65046,4,16261.5,14813.5,6509,28910,9575.4,connect
0.0,52481,5,10496.2,9265.0,6152,15319,4185.5,openat
0.0,20208,1,20208.0,20208.0,20208,20208,0.0,shmdt
0.0,19584,9,2176.0,1382.0,1037,5108,1425.7,mprotect
0.0,17154,4,4288.5,4091.5,3029,5942,1476.8,process_vm_writev
0.0,15969,3,5323.0,5294.0,5033,5642,305.5,socketpair
0.0,15231,9,1692.3,1586.0,1198,2894,541.0,bind
0.0,12852,6,2142.0,1754.5,1261,3553,929.0,mmap
0.0,12285,4,3071.3,1925.5,1127,7307,2903.0,pthread_rwlock_trywrlock
0.0,11726,2,5863.0,5863.0,3947,7779,2709.6,pipe
0.0,10936,3,3645.3,3888.0,1755,5293,1781.4,pipe2
0.0,10301,1,10301.0,10301.0,10301,10301,0.0,shutdown
0.0,9863,1,9863.0,9863.0,9863,9863,0.0,shmat
0.0,8324,2,4162.0,4162.0,2517,5807,2326.4,send
0.0,7660,2,3830.0,3830.0,3808,3852,31.1,pthread_spin_trylock
0.0,5553,5,1110.6,1101.0,1020,1241,81.4,fcntl
0.0,3457,3,1152.3,1180.0,1045,1232,96.5,shmctl
0.0,2605,1,2605.0,2605.0,2605,2605,0.0,process_vm_readv
0.0,2052,1,2052.0,2052.0,2052,2052,0.0,fgets_unlocked
0.0,1706,1,1706.0,1706.0,1706,1706,0.0,recvfrom
0.0,1271,1,1271.0,1271.0,1271,1271,0.0,listen

