
NOTICE: Existing SQLite export found: /hpc/data/cfd-students/nnoventa/sparta/nicola/results/sparta_nsys_v100_1209388_np30000000_ro0/nsys_rank0.sqlite
        It is assumed file was previously exported from: /hpc/data/cfd-students/nnoventa/sparta/nicola/results/sparta_nsys_v100_1209388_np30000000_ro0/nsys_rank0.nsys-rep
        Consider using --force-export=true if needed.

Processing [/hpc/data/cfd-students/nnoventa/sparta/nicola/results/sparta_nsys_v100_1209388_np30000000_ro0/nsys_rank0.sqlite] with [/cm/shared/apps/cuda12.8/visual-tools/12.8.1/nsight-systems/2024.6.2/host-linux-x64/reports/osrt_sum.py]... 
Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
43.2,139828013233,102,1370862874.8,49197.5,1123,46758370556,7811979322.7,epoll_wait
14.4,46583847665,6,7763974610.8,74331502.0,1034681,46010696173,18737680414.7,sem_wait
14.3,46243880437,475,97355537.8,100120584.0,47227,135537503,16288846.9,poll
14.3,46206840727,159,290609061.2,8210.0,1017,15016669302,1860685228.2,read
13.6,44000697020,11,4000063365.5,4000069170.0,4000001778,4000076093,20984.0,sem_timedwait
0.2,594614446,4560,130397.9,33379.5,1046,106063666,1727412.7,ioctl
0.0,49678681,13,3821437.0,61289.0,39130,40627433,11287545.7,pthread_cond_wait
0.0,18294330,132,138593.4,20299.5,1010,8163984,791127.6,write
0.0,12996749,204,63709.6,3042.0,1054,12094002,846465.3,open
0.0,11661191,10,1166119.1,33152.0,1850,6042068,2390363.6,fwrite
0.0,9721497,139,69938.8,3011.0,1045,3434503,381274.5,fopen
0.0,8279157,752,11009.5,3263.0,1012,3382909,130392.0,fgets
0.0,7109495,14,507821.1,19674.5,1053,6902515,1840536.6,pthread_cond_broadcast
0.0,6067346,10,606734.6,25897.0,3575,5815496,1830277.8,writev
0.0,5086337,1,5086337.0,5086337.0,5086337,5086337,0.0,nanosleep
0.0,4723375,12,393614.6,20587.5,19085,4066802,1159080.5,pthread_mutex_lock
0.0,1735844,37,46914.7,4726.0,3470,1360595,222280.9,mmap64
0.0,621799,8,77724.9,70713.5,59434,127425,22578.2,pthread_create
0.0,610726,90,6785.8,1264.5,1003,228545,28608.6,fclose
0.0,325871,2,162935.5,162935.5,161458,164413,2089.5,usleep
0.0,258707,7,36958.1,32277.0,2530,137638,46630.6,fputs
0.0,246650,66,3737.1,3181.0,1080,12339,1925.6,open64
0.0,241220,125,1929.8,1300.0,1001,8732,1498.3,socket
0.0,232049,32,7251.5,3227.0,1215,32882,7978.0,sendmsg
0.0,153281,4,38320.3,40198.0,1052,71833,36094.6,fflush
0.0,146158,23,6354.7,1742.0,1020,17307,6151.9,recvmsg
0.0,144282,10,14428.2,16917.0,1409,23113,7820.2,fputc
0.0,100396,10,10039.6,10039.0,5679,14630,3594.6,openat
0.0,96412,14,6886.6,6179.0,1499,16994,4332.6,shmget
0.0,90180,10,9018.0,6113.5,1453,31597,9542.0,fread
0.0,80705,47,1717.1,1485.0,1000,3908,711.2,epoll_ctl
0.0,62168,4,15542.0,12354.0,7263,30197,10110.5,connect
0.0,22069,10,2206.9,1218.5,1038,5353,1581.0,mprotect
0.0,22048,3,7349.3,6959.0,5625,9464,1949.0,socketpair
0.0,16222,6,2703.7,2445.5,1361,5151,1395.9,mmap
0.0,15886,9,1765.1,1761.0,1091,3406,700.5,bind
0.0,12610,3,4203.3,4743.0,2279,5588,1719.2,pipe2
0.0,11727,2,5863.5,5863.5,5685,6042,252.4,pthread_spin_trylock
0.0,11707,4,2926.8,3012.5,2194,3488,561.6,process_vm_writev
0.0,11311,4,2827.8,2497.5,1012,5304,2007.9,pthread_rwlock_trywrlock
0.0,10522,2,5261.0,5261.0,2844,7678,3418.2,pipe
0.0,10310,1,10310.0,10310.0,10310,10310,0.0,shutdown
0.0,8158,2,4079.0,4079.0,2400,5758,2374.5,send
0.0,8062,1,8062.0,8062.0,8062,8062,0.0,shmdt
0.0,6053,5,1210.6,1157.0,1122,1340,103.3,fcntl
0.0,5177,1,5177.0,5177.0,5177,5177,0.0,shmat
0.0,2577,1,2577.0,2577.0,2577,2577,0.0,process_vm_readv
0.0,2267,1,2267.0,2267.0,2267,2267,0.0,fgets_unlocked
0.0,1698,1,1698.0,1698.0,1698,1698,0.0,listen
0.0,1378,1,1378.0,1378.0,1378,1378,0.0,recvfrom
0.0,1071,1,1071.0,1071.0,1071,1071,0.0,recv

