
NOTICE: Existing SQLite export found: /hpc/data/cfd-students/nnoventa/sparta/nicola/results/sparta_nsys_v100_1209388_np30000000_ro0/nsys_rank0.sqlite
        It is assumed file was previously exported from: /hpc/data/cfd-students/nnoventa/sparta/nicola/results/sparta_nsys_v100_1209388_np30000000_ro0/nsys_rank0.nsys-rep
        Consider using --force-export=true if needed.

Processing [/hpc/data/cfd-students/nnoventa/sparta/nicola/results/sparta_nsys_v100_1209388_np30000000_ro0/nsys_rank0.sqlite] with [/cm/shared/apps/cuda12.8/visual-tools/12.8.1/nsight-systems/2024.6.2/host-linux-x64/reports/osrt_sum.py]... 

 ** OS Runtime Summary (osrt_sum):

 Time (%)  Total Time (ns)  Num Calls     Avg (ns)         Med (ns)        Min (ns)        Max (ns)       StdDev (ns)               Name          
 --------  ---------------  ---------  ---------------  ---------------  -------------  --------------  ----------------  ------------------------
     43.2  139,828,013,233        102  1,370,862,874.8         49,197.5          1,123  46,758,370,556   7,811,979,322.7  epoll_wait              
     14.4   46,583,847,665          6  7,763,974,610.8     74,331,502.0      1,034,681  46,010,696,173  18,737,680,414.7  sem_wait                
     14.3   46,243,880,437        475     97,355,537.8    100,120,584.0         47,227     135,537,503      16,288,846.9  poll                    
     14.3   46,206,840,727        159    290,609,061.2          8,210.0          1,017  15,016,669,302   1,860,685,228.2  read                    
     13.6   44,000,697,020         11  4,000,063,365.5  4,000,069,170.0  4,000,001,778   4,000,076,093          20,984.0  sem_timedwait           
      0.2      594,614,446      4,560        130,397.9         33,379.5          1,046     106,063,666       1,727,412.7  ioctl                   
      0.0       49,678,681         13      3,821,437.0         61,289.0         39,130      40,627,433      11,287,545.7  pthread_cond_wait       
      0.0       18,294,330        132        138,593.4         20,299.5          1,010       8,163,984         791,127.6  write                   
      0.0       12,996,749        204         63,709.6          3,042.0          1,054      12,094,002         846,465.3  open                    
      0.0       11,661,191         10      1,166,119.1         33,152.0          1,850       6,042,068       2,390,363.6  fwrite                  
