timestamp, index, utilization.gpu [%], utilization.memory [%], memory.used [MiB], power.draw [W]
2026/09/21 14:22:13.546, 0, 0 %, 0 %, 107 MiB, 42.44 W
2026/09/21 14:22:14.548, 0, 0 %, 0 %, 111 MiB, 42.44 W
2026/09/21 14:22:15.551, 0, 0 %, 0 %, 449 MiB, 59.91 W
2026/09/21 14:22:16.553, 0, 0 %, 0 %, 457 MiB, 59.91 W
2026/09/21 14:22:17.556, 0, 0 %, 0 %, 457 MiB, 59.91 W
2026/09/21 14:22:18.558, 0, 27 %, 2 %, 611 MiB, 60.36 W
2026/09/21 14:22:19.560, 0, 28 %, 2 %, 725 MiB, 59.95 W
2026/09/21 14:22:20.562, 0, 26 %, 2 %, 1133 MiB, 60.36 W
2026/09/21 14:22:21.565, 0, 26 %, 2 %, 949 MiB, 60.36 W
2026/09/21 14:22:22.567, 0, 25 %, 1 %, 1601 MiB, 60.36 W
2026/09/21 14:22:23.569, 0, 35 %, 3 %, 1825 MiB, 60.40 W
2026/09/21 14:22:24.571, 0, 11 %, 1 %, 1275 MiB, 60.84 W
2026/09/21 14:22:25.574, 0, 23 %, 1 %, 2253 MiB, 60.36 W
2026/09/21 14:22:26.576, 0, 35 %, 2 %, 1521 MiB, 59.95 W
2026/09/21 14:22:27.578, 0, 9 %, 1 %, 1621 MiB, 60.92 W
2026/09/21 14:22:28.581, 0, 2 %, 0 %, 1731 MiB, 60.92 W
2026/09/21 14:22:29.583, 0, 0 %, 0 %, 1851 MiB, 61.85 W
2026/09/21 14:22:30.585, 0, 37 %, 3 %, 1983 MiB, 60.92 W
2026/09/21 14:22:31.587, 0, 24 %, 1 %, 3585 MiB, 61.41 W
2026/09/21 14:22:32.590, 0, 31 %, 6 %, 3891 MiB, 61.41 W
2026/09/21 14:22:33.592, 0, 19 %, 1 %, 2289 MiB, 61.89 W
2026/09/21 14:22:34.594, 0, 25 %, 1 %, 4227 MiB, 63.35 W
2026/09/21 14:22:35.596, 0, 36 %, 8 %, 4597 MiB, 73.08 W
2026/09/21 14:22:36.599, 0, 2 %, 0 %, 2659 MiB, 72.60 W
2026/09/21 14:22:37.601, 0, 25 %, 1 %, 5003 MiB, 72.60 W
2026/09/21 14:22:38.603, 0, 0 %, 0 %, 2871 MiB, 72.60 W
2026/09/21 14:22:39.605, 0, 25 %, 1 %, 5451 MiB, 73.08 W
2026/09/21 14:22:40.608, 0, 0 %, 0 %, 3107 MiB, 72.60 W
2026/09/21 14:22:41.610, 0, 25 %, 1 %, 5943 MiB, 73.08 W
2026/09/21 14:22:42.612, 0, 39 %, 5 %, 3363 MiB, 72.60 W
2026/09/21 14:22:43.615, 0, 38 %, 2 %, 3633 MiB, 73.57 W
2026/09/21 14:22:44.617, 0, 0 %, 0 %, 3845 MiB, 72.60 W
2026/09/21 14:22:45.619, 0, 20 %, 1 %, 3845 MiB, 73.57 W
2026/09/21 14:22:46.623, 0, 99 %, 26 %, 4537 MiB, 116.07 W
2026/09/21 14:22:47.625, 0, 99 %, 26 %, 4537 MiB, 120.92 W
2026/09/21 14:22:48.627, 0, 99 %, 26 %, 4537 MiB, 123.83 W
2026/09/21 14:22:49.630, 0, 98 %, 28 %, 4537 MiB, 127.22 W
2026/09/21 14:22:50.632, 0, 98 %, 28 %, 4537 MiB, 131.50 W
2026/09/21 14:22:51.634, 0, 98 %, 28 %, 4537 MiB, 128.59 W
2026/09/21 14:22:52.636, 0, 99 %, 26 %, 7613 MiB, 137.80 W
2026/09/21 14:22:53.639, 0, 99 %, 26 %, 7613 MiB, 119.95 W
2026/09/21 14:22:54.641, 0, 99 %, 25 %, 7613 MiB, 122.86 W
2026/09/21 14:22:55.643, 0, 98 %, 25 %, 7613 MiB, 125.28 W
2026/09/21 14:22:56.645, 0, 98 %, 25 %, 7613 MiB, 129.56 W
2026/09/21 14:22:57.647, 0, 98 %, 28 %, 7613 MiB, 131.99 W
2026/09/21 14:22:58.650, 0, 98 %, 29 %, 7613 MiB, 127.62 W
2026/09/21 14:22:59.652, 0, 99 %, 25 %, 7613 MiB, 82.75 W
2026/09/21 14:23:00.654, 0, 46 %, 6 %, 111 MiB, 73.57 W
2026/09/21 14:23:01.656, 0, 0 %, 0 %, 111 MiB, 73.08 W
2026/09/21 14:23:02.659, 0, 0 %, 0 %, 111 MiB, 73.08 W
2026/09/21 14:23:03.661, 0, 0 %, 0 %, 111 MiB, 46.39 W
