Generating SQLite file /hpc/data/cfd-students/nnoventa/sparta/nicola/results/sparta_nsys_v100_1209458_np30000000_ro0_mb2/nsys_rank0.sqlite from /hpc/data/cfd-students/nnoventa/sparta/nicola/results/sparta_nsys_v100_1209458_np30000000_ro0_mb2/nsys_rank0.nsys-rep
Processing [/hpc/data/cfd-students/nnoventa/sparta/nicola/results/sparta_nsys_v100_1209458_np30000000_ro0_mb2/nsys_rank0.sqlite] with [/cm/shared/apps/cuda12.8/visual-tools/12.8.1/nsight-systems/2024.6.2/host-linux-x64/reports/cuda_gpu_kern_sum.py]... 

 ** CUDA GPU Kernel Summary (cuda_gpu_kern_sum):

 Time (%)  Total Time (ns)  Instances    Avg (ns)      Med (ns)     Min (ns)    Max (ns)   StdDev (ns)                                                  Name                                                
 --------  ---------------  ---------  ------------  ------------  ----------  ----------  -----------  ----------------------------------------------------------------------------------------------------
     89.5   13,365,032,085        200  66,825,160.4  67,530,135.5  58,734,256  70,022,596  2,516,217.7  void Kokkos::Impl::cuda_parallel_launch_local_memory<Kokkos::Impl::ParallelFor<SPARTA_NS::UpdateKok…
      6.2      919,383,693        203   4,528,983.7   4,544,327.0   4,196,936   4,758,823    103,280.0  void Kokkos::Impl::cuda_parallel_launch_local_memory<Kokkos::Impl::ParallelFor<SPARTA_NS::ParticleK…
      2.3      343,951,970        200   1,719,759.9   1,746,854.0     678,844   2,453,778    159,214.5  void Kokkos::Impl::cuda_parallel_launch_local_memory<Kokkos::Impl::ParallelFor<SPARTA_NS::CollideVS…
      1.0      143,014,470         64   2,234,601.1     642,684.5      11,616  13,429,843  3,293,329.3  void Kokkos::Impl::cuda_parallel_launch_local_memory<Kokkos::Impl::ParallelFor<Kokkos::Impl::ViewCo…
      0.8      114,537,499        400     286,343.7     287,982.0     193,407     322,430     15,596.3  void Kokkos::Impl::cuda_parallel_launch_local_memory<Kokkos::Impl::ParallelFor<SPARTA_NS::FixEmitSu…
      0.1       14,958,159        400      37,395.4      37,599.0      24,704      42,464      2,138.5  void Kokkos::Impl::cuda_parallel_launch_local_memory<Kokkos::Impl::ParallelReduce<Kokkos::Impl::Com…
      0.1       12,114,269          3   4,038,089.7   4,019,050.0   4,017,579   4,077,640     34,259.5  void Kokkos::Impl::cuda_parallel_launch_local_memory<Kokkos::Impl::ParallelReduce<Kokkos::Impl::Com…
      0.1        9,151,615      1,600       5,719.8       5,583.5       3,679       9,664      1,491.5  void Kokkos::Impl::cuda_parallel_launch_local_memory<Kokkos::Impl::ParallelScan<SPARTA_NS::ExclScan…
      0.1        8,196,346        400      20,490.9      19,647.0      10,816      24,480      2,358.7  void Kokkos::Impl::cuda_parallel_launch_local_memory<Kokkos::Impl::ParallelFor<SPARTA_NS::FixEmitSu…
      0.0        3,090,870        400       7,727.2       7,840.0       5,024       9,632        824.4  void Kokkos::Impl::cuda_parallel_launch_local_memory<Kokkos::Impl::ParallelFor<SPARTA_NS::FixEmitSu…
      0.0        2,245,879        400       5,614.7       5,600.0       4,576       7,072        351.5  void Kokkos::Impl::cuda_parallel_launch_local_memory<Kokkos::Impl::ParallelFor<SPARTA_NS::FixEmitSu…
      0.0        1,053,594        200       5,268.0       5,216.0       4,896       6,048        209.3  void Kokkos::Impl::cuda_parallel_launch_local_memory<Kokkos::Impl::ParallelFor<SPARTA_NS::ParticleK…
      0.0        1,001,403        200       5,007.0       4,992.0       4,544       5,600        216.3  void Kokkos::Impl::cuda_parallel_launch_local_memory<Kokkos::Impl::ParallelFor<SPARTA_NS::CommKokko…
      0.0           43,936          1      43,936.0      43,936.0      43,936      43,936          0.0  desul::<unnamed>::init_lock_arrays_cuda_kernel()                                                    
      0.0           33,504         10       3,350.4       1,440.0       1,344      10,944      3,939.4  void Kokkos::Impl::cuda_parallel_launch_local_memory<Kokkos::Impl::ParallelFor<Kokkos::Impl::ViewFi…
      0.0           18,112          1      18,112.0      18,112.0      18,112      18,112          0.0  void Kokkos::Impl::cuda_parallel_launch_local_memory<Kokkos::Impl::ParallelFor<SPARTA_NS::CollideVS…
      0.0            1,888          1       1,888.0       1,888.0       1,888       1,888          0.0  Kokkos::Impl::<unnamed>::query_cuda_kernel_arch(int *)                                              

