
NOTICE: Existing SQLite export found: /hpc/data/cfd-students/nnoventa/sparta/nicola/results/sparta_nsys_v100_1209458_np30000000_ro0_mb2/nsys_rank0.sqlite
        It is assumed file was previously exported from: /hpc/data/cfd-students/nnoventa/sparta/nicola/results/sparta_nsys_v100_1209458_np30000000_ro0_mb2/nsys_rank0.nsys-rep
        Consider using --force-export=true if needed.

Processing [/hpc/data/cfd-students/nnoventa/sparta/nicola/results/sparta_nsys_v100_1209458_np30000000_ro0_mb2/nsys_rank0.sqlite] with [/cm/shared/apps/cuda12.8/visual-tools/12.8.1/nsight-systems/2024.6.2/host-linux-x64/reports/osrt_sum.py]... 
Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
44.1,145821842733,76,1918708457.0,93058.0,1133,48721251098,9426684851.4,epoll_wait
14.7,48617427144,6,8102904524.0,72107030.0,950965,48119008822,19604268261.1,sem_wait
14.6,48338649485,494,97851517.2,100119941.0,42877,132972324,14550962.0,poll
14.5,48000827280,12,4000068940.0,4000069796.5,4000050335,4000076713,6787.6,sem_timedwait
11.8,39042864658,124,314861811.8,8446.0,1007,15015078709,2055019151.6,read
0.1,386154552,4298,89845.2,29660.0,1003,24648588,489839.4,ioctl
0.0,47292756,12,3941063.0,58231.0,39383,39292389,11285362.4,pthread_cond_wait
0.0,29765940,136,218867.2,2838.5,1126,12022767,1261432.9,fopen
0.0,17141918,127,134975.7,20264.0,1082,8146753,803210.7,write
0.0,10862214,9,1206912.7,62902.0,3082,6764278,2401379.5,fwrite
0.0,7427396,756,9824.6,3097.0,1250,3346403,123285.8,fgets
0.0,6898191,12,574849.3,20107.0,1508,6684609,1924085.5,pthread_cond_broadcast
0.0,5831057,12,485921.4,15641.0,1390,5608510,1613307.8,writev
0.0,5086084,1,5086084.0,5086084.0,5086084,5086084,0.0,nanosleep
0.0,5008104,16,313006.5,20367.5,19379,3990841,987325.6,pthread_mutex_lock
0.0,1157158,29,39902.0,4608.0,3360,821748,150954.7,mmap64
0.0,1094819,8,136852.4,75873.5,64968,500562,149090.9,pthread_create
0.0,642236,160,4014.0,2706.0,1045,72687,6204.9,open
0.0,587178,6,97863.0,33715.5,7674,402832,153251.2,fputs
0.0,547724,94,5826.9,1341.5,1006,200721,23826.2,fclose
0.0,325598,2,162799.0,162799.0,161991,163607,1142.7,usleep
0.0,215145,104,2068.7,1241.5,1008,9756,1655.8,socket
0.0,206271,57,3618.8,3349.0,1012,11082,1894.4,open64
0.0,204048,32,6376.5,2875.5,1117,24018,6470.7,sendmsg
0.0,184405,3,61468.3,55938.0,52473,75994,12698.3,fflush
0.0,135339,19,7123.1,1800.0,1012,16856,6309.3,recvmsg
0.0,121581,10,12158.1,15122.0,1474,17456,5876.6,fputc
0.0,83827,47,1783.6,1587.0,1030,4428,670.4,epoll_ctl
0.0,75521,12,6293.4,6031.5,1608,10145,2823.3,shmget
0.0,66506,10,6650.6,5496.0,1409,14504,5307.7,fread
0.0,58977,4,14744.3,9532.0,6007,33906,12953.8,connect
0.0,38808,5,7761.6,6114.0,5496,11928,2833.1,openat
0.0,26952,16,1684.5,1108.5,1016,4472,1070.3,mprotect
0.0,18754,9,2083.8,1605.0,1158,5409,1355.0,bind
0.0,17418,2,8709.0,8709.0,4152,13266,6444.6,pthread_spin_trylock
0.0,16256,3,5418.7,5261.0,5222,5773,307.5,socketpair
0.0,14506,6,2417.7,2223.5,1223,4077,1179.1,mmap
0.0,13909,3,4636.3,4886.0,2288,6735,2234.0,pipe2
0.0,12295,2,6147.5,6147.5,3852,8443,3246.3,pipe
0.0,11586,4,2896.5,3003.0,2156,3424,559.8,process_vm_writev
0.0,10365,1,10365.0,10365.0,10365,10365,0.0,shutdown
0.0,10191,4,2547.8,2435.5,1063,4257,1647.2,pthread_rwlock_trywrlock
0.0,8493,2,4246.5,4246.5,2587,5906,2346.9,send
0.0,7993,1,7993.0,7993.0,7993,7993,0.0,shmdt
0.0,5127,1,5127.0,5127.0,5127,5127,0.0,shmat
0.0,3482,3,1160.7,1149.0,1080,1253,87.1,fcntl
0.0,2489,1,2489.0,2489.0,2489,2489,0.0,process_vm_readv
0.0,2378,1,2378.0,2378.0,2378,2378,0.0,fgets_unlocked
0.0,2295,1,2295.0,2295.0,2295,2295,0.0,listen
0.0,2251,2,1125.5,1125.5,1038,1213,123.7,shmctl
0.0,1496,1,1496.0,1496.0,1496,1496,0.0,recvfrom

