
NOTICE: Existing SQLite export found: /hpc/data/cfd-students/nnoventa/sparta/nicola/results/sparta_nsys_v100_1209483_np30000000_ro0_base/nsys_rank0.sqlite
        It is assumed file was previously exported from: /hpc/data/cfd-students/nnoventa/sparta/nicola/results/sparta_nsys_v100_1209483_np30000000_ro0_base/nsys_rank0.nsys-rep
        Consider using --force-export=true if needed.

Processing [/hpc/data/cfd-students/nnoventa/sparta/nicola/results/sparta_nsys_v100_1209483_np30000000_ro0_base/nsys_rank0.sqlite] with [/cm/shared/apps/cuda12.8/visual-tools/12.8.1/nsight-systems/2024.6.2/host-linux-x64/reports/mpi_event_sum.py]... 

 ** MPI Event Summary (mpi_event_sum):

 Time (%)  Total Time (ns)  Instances    Avg (ns)       Med (ns)      Min (ns)     Max (ns)    StdDev (ns)    Source            Name       
 --------  ---------------  ---------  -------------  -------------  -----------  -----------  -----------  -----------  ------------------
     82.8      603,854,280          1  603,854,280.0  603,854,280.0  603,854,280  603,854,280          0.0  other        MPI_Init          
     14.0      101,969,374          1  101,969,374.0  101,969,374.0  101,969,374  101,969,374          0.0  other        MPI_Finalize      
      2.4       17,549,740        774       22,674.1        5,105.0        1,816      198,691     31,945.6  collectives  MPI_Allreduce     
      0.3        2,451,835          1    2,451,835.0    2,451,835.0    2,451,835    2,451,835          0.0  collectives  MPI_Alltoallv     
      0.3        2,107,351          3      702,450.3        3,258.0        1,676    2,102,417  1,212,407.0  collectives  MPI_Allgatherv    
      0.1          640,987        240        2,670.8          658.5          189       94,306     11,230.5  collectives  MPI_Barrier       
      0.1          483,079         10       48,307.9       42,378.5        1,807      104,671     37,911.8  collectives  MPI_Reduce_scatter
      0.1          451,336        335        1,347.3          283.0          145      313,779     17,127.4  collectives  MPI_Bcast         
      0.0          162,689          1      162,689.0      162,689.0      162,689      162,689          0.0  collectives  MPI_Scan          
      0.0           25,663          4        6,415.8        6,576.0        3,306        9,205      2,525.6  collectives  MPI_Allgather     
      0.0            9,479          1        9,479.0        9,479.0        9,479        9,479          0.0  collectives  MPI_Alltoall      

