
NOTICE: Existing SQLite export found: /hpc/data/cfd-students/nnoventa/sparta/nicola/results/sparta_nsys_v100_1214902_np30000000_ro0_reduce/nsys_rank0.sqlite
        It is assumed file was previously exported from: /hpc/data/cfd-students/nnoventa/sparta/nicola/results/sparta_nsys_v100_1214902_np30000000_ro0_reduce/nsys_rank0.nsys-rep
        Consider using --force-export=true if needed.

Processing [/hpc/data/cfd-students/nnoventa/sparta/nicola/results/sparta_nsys_v100_1214902_np30000000_ro0_reduce/nsys_rank0.sqlite] with [/cm/shared/apps/cuda12.8/visual-tools/12.8.1/nsight-systems/2024.6.2/host-linux-x64/reports/osrt_sum.py]... 
Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
43.2,133355155084,96,1389116198.8,54458.5,1018,44574795378,7677169537.1,epoll_wait
14.4,44496766876,5,8899353375.2,125200440.0,14427756,43905200131,19569543993.2,sem_wait
14.3,44143304415,455,97018251.5,100121427.0,1137,131875743,16982884.6,poll
14.3,44000731994,11,4000066544.9,4000070350.0,4000022405,4000076718,15044.8,sem_timedwait
13.6,41912882422,154,272161574.2,6616.5,1019,15016610175,1948130729.1,read
0.2,493474625,4582,107698.5,31870.0,1049,32915524,654430.6,ioctl
0.0,49216858,13,3785912.2,60254.0,39190,40822377,11270676.9,pthread_cond_wait
0.0,11739660,203,57830.8,3309.0,1052,10745608,753889.4,open
0.0,9922616,9,1102512.9,40287.0,1575,6134874,2213846.9,fwrite
0.0,9374148,133,70482.3,20384.0,1035,3921160,346888.1,write
0.0,9136425,140,65260.2,3021.0,1067,3287972,340503.5,fopen
0.0,8025576,648,12385.1,3169.0,1218,3418709,143085.8,fgets
0.0,6881447,14,491531.9,19961.5,1077,6673095,1779194.4,pthread_cond_broadcast
0.0,5862013,11,532910.3,24366.0,1338,5623827,1688577.7,writev
0.0,5086237,1,5086237.0,5086237.0,5086237,5086237,0.0,nanosleep
0.0,5035975,13,387382.7,20667.0,19066,3913738,1070322.3,pthread_mutex_lock
0.0,1511945,37,40863.4,4599.0,3219,1137491,185683.4,mmap64
0.0,665089,8,83136.1,72267.0,63216,131958,24183.7,pthread_create
0.0,556221,91,6112.3,1296.0,1006,227700,25488.9,fclose
0.0,325443,2,162721.5,162721.5,161286,164157,2030.1,usleep
0.0,284318,143,1988.2,1376.0,1002,14851,1861.2,socket
0.0,249383,63,3958.5,3181.0,1311,13612,2229.2,open64
0.0,233074,7,33296.3,34647.0,2220,78752,24828.3,fputs
0.0,208408,32,6512.8,3079.5,1113,22870,6520.6,sendmsg
0.0,134518,19,7079.9,1895.0,1002,16976,6213.9,recvmsg
0.0,123387,4,30846.8,28694.0,1095,64904,29327.2,fflush
0.0,102106,10,10210.6,10389.0,5332,15399,3911.9,openat
0.0,100266,14,7161.9,6644.5,1592,13340,3408.8,shmget
0.0,94580,53,1784.5,1611.0,1001,4029,741.4,epoll_ctl
0.0,80863,9,8984.8,7197.0,7003,19746,4149.8,fputc
0.0,66454,10,6645.4,5374.5,1508,14729,5320.3,fread
0.0,64206,4,16051.5,10768.0,7861,34809,12688.8,connect
0.0,25733,13,1979.5,1306.0,1004,4297,1238.0,mprotect
0.0,18760,3,6253.3,6083.0,6004,6673,365.6,socketpair
0.0,18655,5,3731.0,3675.0,2273,5459,1177.7,pthread_spin_trylock
0.0,18061,9,2006.8,1841.0,1188,4809,1118.7,bind
0.0,12842,4,3210.5,1989.5,1080,7783,3156.6,pthread_rwlock_trywrlock
0.0,12350,3,4116.7,4555.0,2055,5740,1881.2,pipe2
0.0,11971,4,2992.8,3107.0,2098,3659,754.7,process_vm_writev
0.0,11941,6,1990.2,1757.5,1222,3157,744.3,mmap
0.0,11169,2,5584.5,5584.5,2947,8222,3730.0,pipe
0.0,10910,1,10910.0,10910.0,10910,10910,0.0,shutdown
0.0,8607,1,8607.0,8607.0,8607,8607,0.0,shmdt
0.0,8148,2,4074.0,4074.0,2179,5969,2679.9,send
0.0,5081,1,5081.0,5081.0,5081,5081,0.0,shmat
0.0,3701,3,1233.7,1150.0,1016,1535,269.4,fcntl
0.0,3635,3,1211.7,1143.0,1135,1357,125.9,shmctl
0.0,2496,1,2496.0,2496.0,2496,2496,0.0,process_vm_readv
0.0,2131,1,2131.0,2131.0,2131,2131,0.0,fgets_unlocked
0.0,2054,1,2054.0,2054.0,2054,2054,0.0,listen
0.0,1636,1,1636.0,1636.0,1636,1636,0.0,recvfrom
0.0,1009,1,1009.0,1009.0,1009,1009,0.0,sigaction

