timestamp, index, utilization.gpu [%], utilization.memory [%], memory.used [MiB], power.draw [W]
2026/09/23 13:05:10.777, 0, 0 %, 0 %, 107 MiB, 43.47 W
2026/09/23 13:05:10.778, 1, 0 %, 0 %, 107 MiB, 41.98 W
2026/09/23 13:05:10.779, 2, 0 %, 0 %, 107 MiB, 43.55 W
2026/09/23 13:05:10.780, 3, 0 %, 0 %, 107 MiB, 42.49 W
2026/09/23 13:05:11.781, 0, 0 %, 0 %, 107 MiB, 43.50 W
2026/09/23 13:05:11.783, 1, 0 %, 0 %, 107 MiB, 42.01 W
2026/09/23 13:05:11.784, 2, 0 %, 0 %, 107 MiB, 43.55 W
2026/09/23 13:05:11.785, 3, 0 %, 0 %, 107 MiB, 42.49 W
2026/09/23 13:05:12.787, 0, 0 %, 0 %, 111 MiB, 43.47 W
2026/09/23 13:05:12.788, 1, 0 %, 0 %, 111 MiB, 42.47 W
2026/09/23 13:05:12.790, 2, 0 %, 0 %, 111 MiB, 43.55 W
2026/09/23 13:05:12.791, 3, 0 %, 0 %, 111 MiB, 42.49 W
2026/09/23 13:05:13.794, 0, 0 %, 0 %, 421 MiB, 60.88 W
2026/09/23 13:05:13.796, 1, 0 %, 0 %, 421 MiB, 58.37 W
2026/09/23 13:05:13.798, 2, 0 %, 0 %, 421 MiB, 59.05 W
2026/09/23 13:05:13.800, 3, 0 %, 0 %, 421 MiB, 59.91 W
2026/09/23 13:05:14.802, 0, 24 %, 2 %, 609 MiB, 61.85 W
2026/09/23 13:05:14.803, 1, 26 %, 2 %, 621 MiB, 61.29 W
2026/09/23 13:05:14.804, 2, 26 %, 2 %, 557 MiB, 59.54 W
2026/09/23 13:05:14.805, 3, 24 %, 2 %, 609 MiB, 62.30 W
2026/09/23 13:05:15.807, 0, 25 %, 1 %, 843 MiB, 61.33 W
2026/09/23 13:05:15.808, 1, 27 %, 2 %, 843 MiB, 59.35 W
2026/09/23 13:05:15.809, 2, 24 %, 1 %, 843 MiB, 59.54 W
2026/09/23 13:05:15.811, 3, 27 %, 2 %, 843 MiB, 63.76 W
2026/09/23 13:05:16.813, 0, 28 %, 2 %, 787 MiB, 60.88 W
2026/09/23 13:05:16.814, 1, 27 %, 2 %, 787 MiB, 58.86 W
2026/09/23 13:05:16.815, 2, 26 %, 2 %, 787 MiB, 59.54 W
2026/09/23 13:05:16.816, 3, 26 %, 2 %, 787 MiB, 61.33 W
2026/09/23 13:05:17.818, 0, 25 %, 1 %, 1305 MiB, 61.37 W
2026/09/23 13:05:17.820, 1, 23 %, 1 %, 1305 MiB, 59.35 W
2026/09/23 13:05:17.822, 2, 21 %, 1 %, 1305 MiB, 59.54 W
2026/09/23 13:05:17.823, 3, 21 %, 1 %, 1305 MiB, 65.21 W
2026/09/23 13:05:18.825, 0, 26 %, 1 %, 1011 MiB, 61.85 W
2026/09/23 13:05:18.826, 1, 28 %, 1 %, 1011 MiB, 58.86 W
2026/09/23 13:05:18.827, 2, 27 %, 1 %, 1011 MiB, 60.03 W
2026/09/23 13:05:18.829, 3, 21 %, 1 %, 1011 MiB, 60.36 W
2026/09/23 13:05:19.831, 0, 19 %, 1 %, 1797 MiB, 61.85 W
2026/09/23 13:05:19.833, 1, 0 %, 0 %, 1011 MiB, 58.90 W
2026/09/23 13:05:19.834, 2, 16 %, 1 %, 1117 MiB, 60.03 W
2026/09/23 13:05:19.835, 3, 0 %, 0 %, 1011 MiB, 60.40 W
2026/09/23 13:05:20.837, 0, 3 %, 0 %, 1353 MiB, 61.81 W
2026/09/23 13:05:20.839, 1, 1 %, 0 %, 1185 MiB, 59.35 W
2026/09/23 13:05:20.840, 2, 7 %, 0 %, 1353 MiB, 60.03 W
2026/09/23 13:05:20.841, 3, 1 %, 0 %, 1185 MiB, 60.84 W
2026/09/23 13:05:21.843, 0, 92 %, 23 %, 1493 MiB, 111.40 W
2026/09/23 13:05:21.844, 1, 74 %, 18 %, 1315 MiB, 101.59 W
2026/09/23 13:05:21.845, 2, 92 %, 24 %, 1493 MiB, 106.78 W
2026/09/23 13:05:21.847, 3, 74 %, 19 %, 1389 MiB, 107.95 W
2026/09/23 13:05:22.849, 0, 92 %, 24 %, 1493 MiB, 90.29 W
2026/09/23 13:05:22.850, 1, 73 %, 19 %, 1389 MiB, 82.00 W
2026/09/23 13:05:22.851, 2, 91 %, 25 %, 1493 MiB, 85.67 W
2026/09/23 13:05:22.852, 3, 75 %, 19 %, 1389 MiB, 83.02 W
2026/09/23 13:05:23.854, 0, 92 %, 25 %, 1493 MiB, 125.75 W
2026/09/23 13:05:23.855, 1, 75 %, 19 %, 1389 MiB, 103.94 W
2026/09/23 13:05:23.856, 2, 92 %, 25 %, 1493 MiB, 113.56 W
2026/09/23 13:05:23.857, 3, 76 %, 19 %, 1389 MiB, 102.69 W
2026/09/23 13:05:24.860, 0, 91 %, 25 %, 1493 MiB, 123.42 W
2026/09/23 13:05:24.861, 1, 75 %, 20 %, 1389 MiB, 102.63 W
2026/09/23 13:05:24.862, 2, 93 %, 25 %, 1493 MiB, 108.86 W
2026/09/23 13:05:24.863, 3, 77 %, 20 %, 1389 MiB, 97.92 W
2026/09/23 13:05:25.866, 0, 92 %, 25 %, 1493 MiB, 122.45 W
2026/09/23 13:05:25.867, 1, 77 %, 20 %, 1389 MiB, 102.08 W
2026/09/23 13:05:25.868, 2, 92 %, 25 %, 1493 MiB, 112.18 W
2026/09/23 13:05:25.869, 3, 77 %, 20 %, 1389 MiB, 104.63 W
2026/09/23 13:05:26.872, 0, 92 %, 25 %, 1493 MiB, 125.67 W
2026/09/23 13:05:26.873, 1, 78 %, 21 %, 1389 MiB, 118.27 W
2026/09/23 13:05:26.874, 2, 92 %, 25 %, 1493 MiB, 120.27 W
2026/09/23 13:05:26.875, 3, 77 %, 21 %, 1389 MiB, 114.64 W
2026/09/23 13:05:27.877, 0, 92 %, 25 %, 1493 MiB, 126.15 W
2026/09/23 13:05:27.879, 1, 79 %, 21 %, 1389 MiB, 112.56 W
2026/09/23 13:05:27.880, 2, 92 %, 25 %, 1493 MiB, 120.27 W
2026/09/23 13:05:27.881, 3, 78 %, 21 %, 1389 MiB, 110.85 W
2026/09/23 13:05:28.883, 0, 92 %, 25 %, 1493 MiB, 122.77 W
2026/09/23 13:05:28.885, 1, 79 %, 21 %, 1517 MiB, 107.73 W
2026/09/23 13:05:28.886, 2, 92 %, 26 %, 1601 MiB, 115.50 W
2026/09/23 13:05:28.887, 3, 79 %, 21 %, 1517 MiB, 108.02 W
2026/09/23 13:05:29.890, 0, 91 %, 25 %, 1493 MiB, 125.67 W
2026/09/23 13:05:29.891, 1, 80 %, 21 %, 1389 MiB, 115.45 W
2026/09/23 13:05:29.892, 2, 91 %, 25 %, 1493 MiB, 121.32 W
2026/09/23 13:05:29.894, 3, 80 %, 22 %, 1389 MiB, 110.85 W
2026/09/23 13:05:30.896, 0, 93 %, 26 %, 1493 MiB, 127.69 W
2026/09/23 13:05:30.897, 1, 81 %, 22 %, 1415 MiB, 104.97 W
2026/09/23 13:05:30.901, 2, 92 %, 26 %, 1493 MiB, 107.33 W
2026/09/23 13:05:30.902, 3, 80 %, 22 %, 1389 MiB, 100.76 W
2026/09/23 13:05:31.908, 0, 93 %, 26 %, 1493 MiB, 123.25 W
2026/09/23 13:05:31.909, 1, 82 %, 23 %, 1415 MiB, 116.34 W
2026/09/23 13:05:31.910, 2, 92 %, 26 %, 1493 MiB, 120.27 W
2026/09/23 13:05:31.911, 3, 82 %, 23 %, 1413 MiB, 124.22 W
2026/09/23 13:05:32.914, 0, 91 %, 25 %, 1493 MiB, 125.19 W
2026/09/23 13:05:32.915, 1, 81 %, 22 %, 1415 MiB, 118.27 W
2026/09/23 13:05:32.916, 2, 90 %, 25 %, 1493 MiB, 121.24 W
2026/09/23 13:05:32.917, 3, 83 %, 23 %, 1413 MiB, 123.25 W
2026/09/23 13:05:33.920, 0, 91 %, 26 %, 1493 MiB, 125.27 W
2026/09/23 13:05:33.921, 1, 82 %, 23 %, 1415 MiB, 113.04 W
2026/09/23 13:05:33.923, 2, 91 %, 25 %, 1601 MiB, 113.49 W
2026/09/23 13:05:33.924, 3, 83 %, 23 %, 1565 MiB, 109.88 W
2026/09/23 13:05:34.927, 0, 88 %, 25 %, 1601 MiB, 123.34 W
2026/09/23 13:05:34.928, 1, 84 %, 24 %, 1627 MiB, 111.18 W
2026/09/23 13:05:34.929, 2, 92 %, 26 %, 1601 MiB, 111.62 W
2026/09/23 13:05:34.930, 3, 80 %, 24 %, 1471 MiB, 108.99 W
