 REG  STACK  LOCAL  KERNEL
 191    160      0  TagCollideCollisionsOneSubcell<3, 1, 1>
 190    160      0  TagCollideCollisionsOneSubcell<3, 1, 0>
 188      0      0  TagComputeDistSurfGrid_surf_distance
 186    160      0  TagCollideCollisionsOneSubcell<2, 1, 1>
 186    160      0  TagCollideCollisionsOneSubcell<3, 1, -1>
 185    160      0  TagCollideCollisionsOneSubcell<2, 1, 0>
 184    160      0  TagCollideCollisionsOneAmbipolar<1, 0>
 184    160      0  TagCollideCollisionsOneAmbipolar<1, -1>
 184    160      0  TagCollideCollisionsOneAmbipolar<1, 1>
 180    160      0  TagCollideCollisionsOneSubcell<2, 1, -1>
 179    144      0  TagCollideCollisionsGroupAmbipolar<1, 0>
 179    144      0  TagCollideCollisionsGroupAmbipolar<1, 1>
 179    160      0  TagCollideCollisionsGroup<0, 1, -1>
 178    160      0  TagCollideCollisionsGroup<1, 1, -1>
 178    160      0  TagCollideCollisionsGroupAmbipolar<1, -1>
 177    160      0  TagCollideCollisionsOne<0, 1, 1>
 177    160      0  TagCollideCollisionsOne<1, 1, 1>
 176    144      0  TagCollideCollisionsGroup<0, 1, 0>
 176    144      0  TagCollideCollisionsGroup<0, 1, 1>
 176    144      0  TagCollideCollisionsGroup<1, 1, 0>
 176    144      0  TagCollideCollisionsGroup<1, 1, 1>
 176    160      0  TagCollideCollisionsOne<0, 1, 0>
 176    160      0  TagCollideCollisionsOne<1, 1, 0>
 168    160      0  TagCollideCollisionsOne<1, 1, -1>
 167    160      0  TagCollideCollisionsOne<0, 1, -1>
 167    160      0  TagCollideCollisionsOneSubcell<3, 0, 1>
 166    160      0  TagCollideCollisionsGroupAmbipolar<0, -1>
 166    160      0  TagCollideCollisionsOneSubcell<3, 0, 0>
 162    144      0  TagCollideCollisionsGroupAmbipolar<0, 0>
 162    144      0  TagCollideCollisionsGroupAmbipolar<0, 1>
 162    160      0  TagCollideCollisionsOneAmbipolar<0, 1>
 162    160      0  TagCollideCollisionsOneSubcell<2, 0, 1>
 162    160      0  TagCollideCollisionsOneSubcell<3, 0, -1>
 161    160      0  TagCollideCollisionsOneAmbipolar<0, 0>
 161    160      0  TagCollideCollisionsOneSubcell<2, 0, 0>
 159    160      0  TagCollideCollisionsGroup<0, 0, -1>
 159    160      0  TagCollideCollisionsGroup<1, 0, -1>
 158    144      0  TagCollideCollisionsGroup<0, 0, 0>
 158    144      0  TagCollideCollisionsGroup<0, 0, 1>
 158    144      0  TagCollideCollisionsGroup<1, 0, 0>
 158    144      0  TagCollideCollisionsGroup<1, 0, 1>
 158    160      0  TagCollideCollisionsOneAmbipolar<0, -1>
 157    160      0  TagCollideCollisionsOneSubcell<2, 0, -1>
 154    160      0  TagCollideCollisionsOne<0, 0, 1>
 154    160      0  TagCollideCollisionsOne<1, 0, 1>
 153    160      0  TagCollideCollisionsOne<0, 0, 0>
 153    160      0  TagCollideCollisionsOne<1, 0, 0>
 148    160      0  TagCollideCollisionsOne<1, 0, -1>
 145    160      0  TagCollideCollisionsOne<0, 0, -1>
 128   1088      0  TagUpdateMove<1, 0, 1, 0, 1>
 128   1088      0  TagUpdateMove<2, 0, 1, 0, 1>
 128   1088      0  TagUpdateMove<3, 0, 1, 0, 1>
 128   1520      0  TagUpdateMove<2, 1, 1, 0, 1>
 128   1552      0  TagUpdateMove<1, 1, 1, 0, 1>
 128   1552      0  TagUpdateMove<3, 1, 1, 0, 1>
 128    184      0  TagUpdateMove<1, 0, 0, 0, 1>
 128    184      0  TagUpdateMove<3, 0, 0, 0, 1>
 128    184      0  TagUpdateMove<3, 0, 0, 1, 1>
 128    208      0  TagUpdateMove<2, 0, 0, 0, 1>
 128    208      0  TagUpdateMove<2, 0, 0, 1, 1>
 128    216      0  TagUpdateMove<1, 0, 0, 1, 1>
 128    752      0  TagUpdateMove<1, 1, 0, 0, 1>
 128    752      0  TagUpdateMove<2, 1, 0, 0, 1>
 128    784      0  TagUpdateMove<3, 1, 0, 0, 1>
 124    160      0  TagFixEmitSurf_perform_task
 102    112      0  TagFixEmitFaceFile_perform_task
  96    112      0  TagFixEmitFace_perform_task
  94     24      0  TagFixEmitSurf_insert_particles<0>
  91     24      0  TagFixEmitSurf_insert_particles<1>
  64      0      0  TagComputeLambdaGrid_ComputePerGrid
  64      0      0  TagComputeTvibGrid_post_process_grid
  62      0      0  TagComputeSonineGrid_normalize_vcom
  58      0      0  TagComputeEFluxGrid_post_process_grid
  56      0      0  TagComputeTvibGrid_compute_per_grid
  56      0      0  TagFixEmitFaceFile_subsonic_grid
  56      0      0  TagFixEmitFace_subsonic_grid
  56      0      0  TagFixEmitSurf_mflow_grid
  56      0      0  TagFixEmitSurf_subsonic_grid
  56      0      0  TagFixTempRescale_end_of_step_average1
  56    264      0  void Kokkos::Impl::cuda_parallel_launch_local_memory<Kokkos::Impl::ParallelFor<SPARTA_NS::FixEmitFaceFileKokko
  56    280      0  void Kokkos::Impl::cuda_parallel_launch_local_memory<Kokkos::Impl::ParallelFor<SPARTA_NS::FixEmitFaceKokkos::p
  54      0      0  TagComputeTvibGrid_compute_per_grid_atomic<1>
  54      0      0  TagFixedMemoryReorder
  54      0      0  void Kokkos::Impl::cuda_parallel_launch_local_memory<Kokkos::Impl::ParallelFor<Kokkos::Impl::ViewCopy<Kokkos::
  54      0      0  void Kokkos::Impl::cuda_parallel_launch_local_memory<Kokkos::Impl::ParallelFor<Kokkos::Impl::ViewCopy<Kokkos::
