timestamp, index, utilization.gpu [%], utilization.memory [%], memory.used [MiB], power.draw [W]
2026/09/23 13:27:41.868, 0, 0 %, 0 %, 107 MiB, 43.47 W
2026/09/23 13:27:41.869, 1, 0 %, 0 %, 107 MiB, 43.41 W
2026/09/23 13:27:41.870, 2, 0 %, 0 %, 107 MiB, 41.09 W
2026/09/23 13:27:41.871, 3, 0 %, 0 %, 107 MiB, 42.95 W
2026/09/23 13:27:42.874, 0, 2 %, 0 %, 421 MiB, 59.87 W
2026/09/23 13:27:42.876, 1, 3 %, 0 %, 421 MiB, 59.79 W
2026/09/23 13:27:42.877, 2, 0 %, 0 %, 421 MiB, 58.53 W
2026/09/23 13:27:42.878, 3, 3 %, 0 %, 421 MiB, 59.87 W
2026/09/23 13:27:43.880, 0, 0 %, 0 %, 429 MiB, 60.36 W
2026/09/23 13:27:43.881, 1, 0 %, 0 %, 429 MiB, 59.79 W
2026/09/23 13:27:43.882, 2, 0 %, 0 %, 429 MiB, 58.53 W
2026/09/23 13:27:43.883, 3, 0 %, 0 %, 429 MiB, 59.87 W
2026/09/23 13:27:44.885, 0, 27 %, 2 %, 713 MiB, 61.29 W
2026/09/23 13:27:44.886, 1, 26 %, 2 %, 713 MiB, 60.76 W
2026/09/23 13:27:44.887, 2, 23 %, 2 %, 713 MiB, 61.45 W
2026/09/23 13:27:44.889, 3, 26 %, 2 %, 601 MiB, 60.80 W
2026/09/23 13:27:45.891, 0, 26 %, 2 %, 717 MiB, 60.80 W
2026/09/23 13:27:45.892, 1, 27 %, 2 %, 955 MiB, 60.72 W
2026/09/23 13:27:45.893, 2, 25 %, 2 %, 717 MiB, 59.01 W
2026/09/23 13:27:45.894, 3, 25 %, 2 %, 717 MiB, 60.32 W
2026/09/23 13:27:46.896, 0, 22 %, 1 %, 1167 MiB, 60.84 W
2026/09/23 13:27:46.897, 1, 28 %, 2 %, 849 MiB, 60.28 W
2026/09/23 13:27:46.898, 2, 23 %, 2 %, 1167 MiB, 59.01 W
2026/09/23 13:27:46.899, 3, 24 %, 2 %, 1167 MiB, 60.84 W
2026/09/23 13:27:47.901, 0, 26 %, 2 %, 1385 MiB, 60.80 W
2026/09/23 13:27:47.903, 1, 24 %, 1 %, 963 MiB, 60.72 W
2026/09/23 13:27:47.904, 2, 28 %, 2 %, 1385 MiB, 59.01 W
2026/09/23 13:27:47.905, 3, 28 %, 2 %, 1385 MiB, 60.32 W
2026/09/23 13:27:48.907, 0, 24 %, 1 %, 1061 MiB, 60.36 W
2026/09/23 13:27:48.908, 1, 36 %, 3 %, 1679 MiB, 60.76 W
2026/09/23 13:27:48.909, 2, 19 %, 1 %, 1061 MiB, 59.01 W
2026/09/23 13:27:48.910, 3, 19 %, 1 %, 1061 MiB, 59.83 W
2026/09/23 13:27:49.912, 0, 25 %, 1 %, 1179 MiB, 60.84 W
2026/09/23 13:27:49.914, 1, 33 %, 2 %, 1927 MiB, 60.76 W
2026/09/23 13:27:49.915, 2, 21 %, 2 %, 1179 MiB, 58.53 W
2026/09/23 13:27:49.916, 3, 24 %, 2 %, 1179 MiB, 60.36 W
2026/09/23 13:27:50.918, 0, 33 %, 4 %, 2069 MiB, 60.88 W
2026/09/23 13:27:50.919, 1, 32 %, 2 %, 1321 MiB, 60.28 W
2026/09/23 13:27:50.920, 2, 21 %, 1 %, 2069 MiB, 59.01 W
2026/09/23 13:27:50.921, 3, 24 %, 3 %, 2069 MiB, 60.36 W
2026/09/23 13:27:51.923, 0, 32 %, 2 %, 1403 MiB, 60.36 W
2026/09/23 13:27:51.925, 1, 38 %, 2 %, 2397 MiB, 61.73 W
2026/09/23 13:27:51.926, 2, 19 %, 2 %, 1403 MiB, 58.53 W
2026/09/23 13:27:51.927, 3, 23 %, 2 %, 1403 MiB, 60.36 W
2026/09/23 13:27:52.929, 0, 27 %, 1 %, 1493 MiB, 61.33 W
2026/09/23 13:27:52.931, 1, 29 %, 4 %, 2587 MiB, 60.72 W
2026/09/23 13:27:52.932, 2, 34 %, 2 %, 1493 MiB, 59.50 W
