job        1211043.pbs60
date       2026-09-22T10:47:26+02:00
arch       cpu
nodes      4
ranks      768 (192 per node)
nsteps     10000
npart      120000000
gpu_aware  1
balance    deck (rcb cell)
input      /hpc/data/cfd-students/nnoventa/sparta/nicola/input/in.sparta.gpu
commit     b7bf6d0247ba3b5b6388134e15e88e14360bbec8
build      arch    cpu-zen4 commit  a93d3916c57c611b1ff0aea6dd1908d4951cbee7 date    2026-09-22T10:00:43+02:00 
exe        /hpc/data/cfd-students/nnoventa/sparta/install_cpu/bin/spa_kokkos_mpi_only
hosts      pn6334.cm.cluster pn6346.cm.cluster pn6352.cm.cluster pn6377.cm.cluster 

Step CPU T/CPU S/CPU Dt Np Natt Ncoll Nbound Nexit c_temp 
       0            0            0            0        3e-09 119999556        0        0        0        0    299.94861 
     100    3.0059432 9.9802222e-08    33.267395        3e-09 117878165  1748369   929172        0        0     297.7195 
     200    10.173606 4.1854635e-08    13.951545        3e-09 115513343  1739225   895358        0        0    296.06052 
     300    12.695129 1.1897577e-07    39.658591        3e-09 113123444  1703185   863446        0        0    294.70872 
     400    15.129767 1.2322157e-07    41.073854        3e-09 110735729  1658336   830401        0        0    293.62006 
     500    17.452058 1.2918278e-07    43.060926        3e-09 108370915  1609521   799094        0        0    292.80125 
     600    19.645523 1.3676996e-07    45.589989        3e-09 106035421  1559827   768222        0        0    292.21997 
     700    21.862516 1.3531838e-07    45.106124        3e-09 103749412  1511374   739702        0        0    291.84224 
     800    23.802826 1.5461458e-07    51.538195        3e-09 101523590  1465342   714492        0        0    291.51127 
     900    25.616289 1.6542934e-07    55.143113        3e-09 99374832  1422293   689634        0        0    291.32528 
    1000    27.429743 1.6543014e-07    55.143375        3e-09 97320644  1382648   669053        0        0    291.25324 
    1100    29.011752 1.896323e-07     63.21078        3e-09 95369402  1347008   649733        0        0    291.24836 
    1200    30.995122 1.5125768e-07    50.419224        3e-09 93527669  1314571   634674        0        0     291.3599 
    1300    32.460094 2.0478216e-07    68.260716        3e-09 91804296  1285105   617100        0        0    291.48049 
    1400    33.903912 2.0778239e-07    69.260788        3e-09 90196799  1258368   602947        0        0    291.67773 
    1500    35.346061 2.0802286e-07    69.340963        3e-09 88700331  1234317   591264        0        0    291.88166 
    1600    36.737485 2.1560649e-07    71.868828        3e-09 87309521  1212375   580179        0        0    292.11863 
    1700    38.131921 2.1514059e-07    71.713535        3e-09 86020678  1192272   570402        0        0    292.36754 
    1800     39.49585 2.1995292e-07    73.317632        3e-09 84823987  1173859   558983        0        0    292.67923 
    1900    40.817661 2.2696117e-07    75.653716        3e-09 83708660  1156816   550459        0        0    292.98816 
    2000    42.123921 2.296634e-07    76.554478        3e-09 82673567  1141946   543168        0        0    293.24492 
    2100    43.422053 2.3110114e-07    77.033715        3e-09 81708278  1126868   534540        0        0    293.53875 
    2200    44.734468 2.2858634e-07    76.195453        3e-09 80808411  1113524   528426        0        0    293.79212 
    2300    46.025579  2.32358e-07     77.45266        3e-09 79967127  1100870   521941        0        0    294.03196 
    2400    47.355654 2.2555123e-07    75.183752        3e-09 79179490  1089022   515239        0        0    294.31145 
    2500    48.633886 2.3469941e-07    78.233126        3e-09 78442071  1077930   509445        0        0     294.5226 
    2600    49.901627 2.3664099e-07    78.880337        3e-09 77751598  1067301   503388        0        0    294.77148 
    2700    51.321369 2.113062e-07    70.435401        3e-09 77103614  1057080   500053        0        0    294.95366 
    2800     52.58559 2.3730034e-07      79.1001        3e-09 76496723  1048097   494304        0        0    295.10366 
    2900    53.844659 2.3827114e-07    79.423722        3e-09 75925263  1038526   489495        0        0    295.32554 
    3000    55.102636 2.3847838e-07    79.492796        3e-09 75386662  1029315   483964        0        0    295.48197 
    3100    56.377855 2.3525369e-07    78.417894        3e-09 74878874  1021156   479996        0        0     295.6701 
    3200    57.638252 2.3802019e-07    79.340055        3e-09 74400301  1013131   476974        0        0    295.81399 
    3300    58.887703 2.4010543e-07    80.035154        3e-09 73945947  1005433   470750        0        0    295.98225 
    3400    60.316536 2.0996151e-07    69.987169        3e-09 73514228   997200   468754        0        0    296.10006 
    3500    61.753379 2.0879097e-07    69.596986        3e-09 73104052   990005   463186        0        0    296.27316 
    3600    62.993329 2.4194557e-07     80.64853        3e-09 72712827   983215   460142        0        0    296.39874 
    3700    64.238515 2.4092779e-07    80.309266        3e-09 72336584   975696   457396        0        0    296.52108 
    3800    65.518144  2.34443e-07    78.147649        3e-09 71977725   969831   454589        0        0    296.64257 
    3900     66.76852 2.3992768e-07     79.97591        3e-09 71632049   962644   449686        0        0    296.78596 
    4000    68.175176 2.1327172e-07    71.090582        3e-09 71298161   956245   446591        0        0    296.88309 
    4100     69.42218 2.4057659e-07    80.192194        3e-09 70979282   949584   442604        0        0    296.96282 
    4200    70.651776 2.4398259e-07    81.327519        3e-09 70665661   943281   439442        0        0    297.07788 
    4300     71.87866 2.4452201e-07    81.507343        3e-09 70364984   937327   437077        0        0     297.1642 
    4400    73.101961 2.452379e-07    81.745968        3e-09 70071809   931296   434204        0        0    297.25365 
