timestamp, index, utilization.gpu [%], utilization.memory [%], memory.used [MiB], power.draw [W]
2026/09/22 12:23:35.080, 0, 0 %, 0 %, 107 MiB, 43.98 W
2026/09/22 12:23:35.081, 1, 0 %, 0 %, 107 MiB, 42.49 W
2026/09/22 12:23:35.083, 2, 0 %, 0 %, 107 MiB, 43.04 W
2026/09/22 12:23:35.084, 3, 0 %, 0 %, 107 MiB, 42.52 W
2026/09/22 12:23:36.086, 0, 0 %, 0 %, 111 MiB, 43.98 W
2026/09/22 12:23:36.088, 1, 0 %, 0 %, 111 MiB, 42.49 W
2026/09/22 12:23:36.089, 2, 0 %, 0 %, 111 MiB, 43.04 W
2026/09/22 12:23:36.090, 3, 0 %, 0 %, 111 MiB, 42.52 W
2026/09/22 12:23:37.093, 0, 0 %, 0 %, 429 MiB, 61.41 W
2026/09/22 12:23:37.094, 1, 0 %, 0 %, 429 MiB, 59.42 W
2026/09/22 12:23:37.095, 2, 0 %, 0 %, 429 MiB, 59.50 W
2026/09/22 12:23:37.096, 3, 0 %, 0 %, 429 MiB, 58.98 W
2026/09/22 12:23:38.098, 0, 26 %, 2 %, 599 MiB, 63.31 W
2026/09/22 12:23:38.099, 1, 27 %, 2 %, 599 MiB, 60.32 W
2026/09/22 12:23:38.100, 2, 24 %, 2 %, 547 MiB, 60.47 W
2026/09/22 12:23:38.101, 3, 24 %, 2 %, 547 MiB, 59.95 W
2026/09/22 12:23:39.104, 0, 23 %, 2 %, 663 MiB, 61.89 W
2026/09/22 12:23:39.105, 1, 27 %, 1 %, 843 MiB, 62.26 W
2026/09/22 12:23:39.106, 2, 25 %, 2 %, 663 MiB, 60.47 W
2026/09/22 12:23:39.107, 3, 27 %, 2 %, 663 MiB, 59.46 W
2026/09/22 12:23:40.109, 0, 24 %, 2 %, 1049 MiB, 62.34 W
2026/09/22 12:23:40.110, 1, 28 %, 2 %, 787 MiB, 59.83 W
2026/09/22 12:23:40.111, 2, 26 %, 2 %, 1049 MiB, 59.99 W
2026/09/22 12:23:40.114, 3, 25 %, 1 %, 1049 MiB, 59.91 W
2026/09/22 12:23:41.116, 0, 27 %, 2 %, 883 MiB, 62.34 W
2026/09/22 12:23:41.117, 1, 27 %, 2 %, 1305 MiB, 60.32 W
2026/09/22 12:23:41.118, 2, 22 %, 1 %, 1305 MiB, 64.81 W
2026/09/22 12:23:41.119, 3, 20 %, 1 %, 883 MiB, 60.40 W
2026/09/22 12:23:42.121, 0, 31 %, 3 %, 1011 MiB, 61.89 W
2026/09/22 12:23:42.122, 1, 23 %, 1 %, 1011 MiB, 60.36 W
2026/09/22 12:23:42.124, 2, 27 %, 1 %, 1011 MiB, 59.99 W
2026/09/22 12:23:42.125, 3, 21 %, 1 %, 1011 MiB, 59.95 W
2026/09/22 12:23:43.127, 0, 25 %, 1 %, 1117 MiB, 62.34 W
2026/09/22 12:23:43.128, 1, 19 %, 1 %, 1797 MiB, 61.33 W
2026/09/22 12:23:43.129, 2, 18 %, 1 %, 1117 MiB, 60.47 W
2026/09/22 12:23:43.131, 3, 25 %, 2 %, 1117 MiB, 59.46 W
2026/09/22 12:23:44.133, 0, 25 %, 1 %, 1247 MiB, 63.35 W
2026/09/22 12:23:44.135, 1, 23 %, 2 %, 1247 MiB, 60.36 W
2026/09/22 12:23:44.136, 2, 26 %, 1 %, 1247 MiB, 59.99 W
2026/09/22 12:23:44.138, 3, 21 %, 1 %, 1247 MiB, 60.88 W
2026/09/22 12:23:45.142, 0, 20 %, 1 %, 2225 MiB, 62.83 W
2026/09/22 12:23:45.144, 1, 31 %, 3 %, 2225 MiB, 59.83 W
2026/09/22 12:23:45.145, 2, 39 %, 4 %, 2225 MiB, 60.47 W
2026/09/22 12:23:45.146, 3, 26 %, 1 %, 2225 MiB, 80.76 W
2026/09/22 12:23:46.148, 0, 24 %, 1 %, 2397 MiB, 63.31 W
2026/09/22 12:23:46.149, 1, 24 %, 1 %, 1493 MiB, 59.38 W
2026/09/22 12:23:46.150, 2, 21 %, 1 %, 2397 MiB, 60.47 W
2026/09/22 12:23:46.151, 3, 21 %, 1 %, 2397 MiB, 59.95 W
2026/09/22 12:23:47.155, 0, 25 %, 1 %, 1593 MiB, 62.83 W
2026/09/22 12:23:47.156, 1, 25 %, 2 %, 1593 MiB, 60.36 W
2026/09/22 12:23:47.157, 2, 22 %, 1 %, 1593 MiB, 59.99 W
2026/09/22 12:23:47.158, 3, 21 %, 1 %, 2587 MiB, 59.46 W
2026/09/22 12:23:48.160, 0, 25 %, 1 %, 1703 MiB, 62.87 W
2026/09/22 12:23:48.161, 1, 12 %, 1 %, 1703 MiB, 60.36 W
2026/09/22 12:23:48.162, 2, 34 %, 3 %, 1703 MiB, 59.99 W
2026/09/22 12:23:48.164, 3, 21 %, 1 %, 1703 MiB, 59.95 W
2026/09/22 12:23:49.166, 0, 25 %, 1 %, 1823 MiB, 62.87 W
2026/09/22 12:23:49.167, 1, 24 %, 3 %, 1823 MiB, 60.84 W
2026/09/22 12:23:49.168, 2, 21 %, 1 %, 1823 MiB, 59.99 W
2026/09/22 12:23:49.169, 3, 21 %, 1 %, 1823 MiB, 60.92 W
2026/09/22 12:23:50.171, 0, 24 %, 1 %, 1955 MiB, 65.26 W
2026/09/22 12:23:50.172, 1, 35 %, 2 %, 1955 MiB, 60.84 W
2026/09/22 12:23:50.173, 2, 21 %, 1 %, 3279 MiB, 60.47 W
2026/09/22 12:23:50.176, 3, 21 %, 1 %, 3279 MiB, 59.95 W
2026/09/22 12:23:51.178, 0, 25 %, 1 %, 3557 MiB, 66.71 W
2026/09/22 12:23:51.179, 1, 25 %, 1 %, 3557 MiB, 60.80 W
2026/09/22 12:23:51.180, 2, 21 %, 1 %, 3557 MiB, 60.47 W
2026/09/22 12:23:51.181, 3, 24 %, 5 %, 3557 MiB, 59.95 W
2026/09/22 12:23:52.183, 0, 39 %, 2 %, 3863 MiB, 66.71 W
2026/09/22 12:23:52.186, 1, 30 %, 6 %, 3863 MiB, 61.25 W
2026/09/22 12:23:52.187, 2, 38 %, 2 %, 3863 MiB, 66.76 W
2026/09/22 12:23:52.188, 3, 38 %, 2 %, 2101 MiB, 60.40 W
2026/09/22 12:23:53.190, 0, 0 %, 0 %, 2261 MiB, 67.20 W
2026/09/22 12:23:53.191, 1, 31 %, 2 %, 2261 MiB, 61.29 W
2026/09/22 12:23:53.192, 2, 6 %, 1 %, 2261 MiB, 59.99 W
2026/09/22 12:23:53.193, 3, 32 %, 3 %, 2261 MiB, 59.42 W
2026/09/22 12:23:54.196, 0, 24 %, 1 %, 4199 MiB, 66.67 W
2026/09/22 12:23:54.197, 1, 25 %, 1 %, 2437 MiB, 60.80 W
2026/09/22 12:23:54.198, 2, 21 %, 1 %, 4199 MiB, 60.51 W
2026/09/22 12:23:54.199, 3, 20 %, 1 %, 4199 MiB, 59.95 W
2026/09/22 12:23:55.202, 0, 29 %, 7 %, 4569 MiB, 66.67 W
2026/09/22 12:23:55.203, 1, 27 %, 1 %, 4569 MiB, 64.16 W
2026/09/22 12:23:55.204, 2, 38 %, 2 %, 4569 MiB, 90.96 W
2026/09/22 12:23:55.205, 3, 38 %, 2 %, 2437 MiB, 60.36 W
2026/09/22 12:23:56.208, 0, 0 %, 0 %, 2631 MiB, 66.23 W
2026/09/22 12:23:56.209, 1, 0 %, 0 %, 2631 MiB, 71.00 W
2026/09/22 12:23:56.210, 2, 31 %, 2 %, 2631 MiB, 59.99 W
2026/09/22 12:23:56.211, 3, 20 %, 1 %, 2631 MiB, 64.28 W
2026/09/22 12:23:57.213, 0, 25 %, 1 %, 4975 MiB, 66.67 W
2026/09/22 12:23:57.214, 1, 31 %, 1 %, 4975 MiB, 71.97 W
2026/09/22 12:23:57.216, 2, 27 %, 7 %, 4975 MiB, 60.44 W
2026/09/22 12:23:57.218, 3, 34 %, 8 %, 4975 MiB, 62.38 W
2026/09/22 12:23:58.220, 0, 6 %, 0 %, 2843 MiB, 73.47 W
2026/09/22 12:23:58.221, 1, 0 %, 0 %, 2843 MiB, 71.92 W
2026/09/22 12:23:58.222, 2, 36 %, 4 %, 2843 MiB, 59.95 W
2026/09/22 12:23:58.223, 3, 45 %, 5 %, 2843 MiB, 71.04 W
2026/09/22 12:23:59.225, 0, 25 %, 1 %, 5423 MiB, 73.03 W
2026/09/22 12:23:59.226, 1, 31 %, 1 %, 5423 MiB, 72.40 W
2026/09/22 12:23:59.227, 2, 21 %, 1 %, 5423 MiB, 60.47 W
2026/09/22 12:23:59.229, 3, 28 %, 8 %, 5423 MiB, 71.04 W
2026/09/22 12:24:00.231, 0, 0 %, 0 %, 3079 MiB, 74.44 W
2026/09/22 12:24:00.232, 1, 40 %, 5 %, 3079 MiB, 71.92 W
2026/09/22 12:24:00.233, 2, 48 %, 6 %, 3079 MiB, 72.60 W
2026/09/22 12:24:00.234, 3, 48 %, 5 %, 3079 MiB, 71.04 W
2026/09/22 12:24:01.238, 0, 25 %, 1 %, 5915 MiB, 75.36 W
2026/09/22 12:24:01.239, 1, 39 %, 10 %, 5915 MiB, 72.40 W
2026/09/22 12:24:01.240, 2, 38 %, 10 %, 5915 MiB, 73.03 W
2026/09/22 12:24:01.241, 3, 42 %, 10 %, 5915 MiB, 71.48 W
2026/09/22 12:24:02.244, 0, 0 %, 0 %, 3335 MiB, 74.93 W
2026/09/22 12:24:02.245, 1, 32 %, 1 %, 5915 MiB, 71.92 W
2026/09/22 12:24:02.247, 2, 21 %, 1 %, 5915 MiB, 73.03 W
2026/09/22 12:24:02.248, 3, 21 %, 1 %, 5915 MiB, 71.04 W
2026/09/22 12:24:03.251, 0, 39 %, 2 %, 3403 MiB, 75.85 W
2026/09/22 12:24:03.252, 1, 39 %, 2 %, 3403 MiB, 72.84 W
2026/09/22 12:24:03.253, 2, 38 %, 2 %, 3403 MiB, 73.52 W
2026/09/22 12:24:03.254, 3, 38 %, 2 %, 3403 MiB, 71.97 W
2026/09/22 12:24:04.256, 0, 39 %, 2 %, 3553 MiB, 75.85 W
2026/09/22 12:24:04.257, 1, 38 %, 2 %, 3555 MiB, 72.84 W
2026/09/22 12:24:04.258, 2, 38 %, 2 %, 3553 MiB, 73.52 W
2026/09/22 12:24:04.259, 3, 38 %, 2 %, 3553 MiB, 71.97 W
2026/09/22 12:24:05.261, 0, 96 %, 24 %, 4589 MiB, 126.24 W
2026/09/22 12:24:05.263, 1, 95 %, 27 %, 4591 MiB, 117.38 W
2026/09/22 12:24:05.264, 2, 97 %, 25 %, 4137 MiB, 113.97 W
2026/09/22 12:24:05.266, 3, 97 %, 25 %, 4131 MiB, 108.09 W
2026/09/22 12:24:06.269, 0, 97 %, 25 %, 4133 MiB, 122.93 W
2026/09/22 12:24:06.270, 1, 97 %, 25 %, 4135 MiB, 121.73 W
2026/09/22 12:24:06.271, 2, 96 %, 28 %, 4137 MiB, 125.44 W
2026/09/22 12:24:06.273, 3, 96 %, 28 %, 4131 MiB, 123.82 W
2026/09/22 12:24:07.275, 0, 97 %, 26 %, 4135 MiB, 124.79 W
2026/09/22 12:24:07.276, 1, 97 %, 25 %, 4133 MiB, 120.76 W
2026/09/22 12:24:07.277, 2, 96 %, 28 %, 4137 MiB, 118.82 W
2026/09/22 12:24:07.278, 3, 95 %, 28 %, 4129 MiB, 111.89 W
2026/09/22 12:24:08.281, 0, 98 %, 26 %, 4135 MiB, 123.90 W
2026/09/22 12:24:08.282, 1, 97 %, 25 %, 4135 MiB, 118.43 W
2026/09/22 12:24:08.283, 2, 96 %, 28 %, 4137 MiB, 114.53 W
2026/09/22 12:24:08.284, 3, 96 %, 28 %, 4129 MiB, 110.03 W
2026/09/22 12:24:09.286, 0, 97 %, 27 %, 4133 MiB, 127.69 W
