timestamp, index, utilization.gpu [%], utilization.memory [%], memory.used [MiB], power.draw [W]
2026/09/23 09:46:06.469, 0, 0 %, 0 %, 107 MiB, 43.98 W
2026/09/23 09:46:06.470, 1, 0 %, 0 %, 107 MiB, 42.49 W
2026/09/23 09:46:06.471, 2, 0 %, 0 %, 107 MiB, 43.04 W
2026/09/23 09:46:06.472, 3, 0 %, 0 %, 107 MiB, 42.03 W
2026/09/23 09:46:07.474, 0, 0 %, 0 %, 135 MiB, 45.90 W
2026/09/23 09:46:07.481, 1, 1 %, 0 %, 135 MiB, 42.47 W
2026/09/23 09:46:07.482, 2, 1 %, 0 %, 137 MiB, 49.35 W
2026/09/23 09:46:07.484, 3, 0 %, 0 %, 137 MiB, 46.88 W
2026/09/23 09:46:08.486, 0, 0 %, 0 %, 747 MiB, 61.37 W
2026/09/23 09:46:08.487, 1, 0 %, 0 %, 747 MiB, 59.35 W
2026/09/23 09:46:08.488, 2, 0 %, 0 %, 747 MiB, 60.47 W
2026/09/23 09:46:08.489, 3, 0 %, 0 %, 747 MiB, 59.42 W
2026/09/23 09:46:09.491, 0, 43 %, 3 %, 1183 MiB, 75.80 W
2026/09/23 09:46:09.492, 1, 45 %, 3 %, 1091 MiB, 72.31 W
2026/09/23 09:46:09.494, 2, 43 %, 3 %, 1275 MiB, 74.01 W
2026/09/23 09:46:09.495, 3, 43 %, 3 %, 1275 MiB, 73.86 W
2026/09/23 09:46:10.497, 0, 46 %, 3 %, 1719 MiB, 79.20 W
2026/09/23 09:46:10.498, 1, 46 %, 3 %, 1323 MiB, 71.34 W
2026/09/23 09:46:10.499, 2, 46 %, 3 %, 1719 MiB, 74.44 W
2026/09/23 09:46:10.500, 3, 45 %, 4 %, 1501 MiB, 73.86 W
2026/09/23 09:46:11.503, 0, 49 %, 5 %, 1523 MiB, 75.85 W
2026/09/23 09:46:11.504, 1, 37 %, 2 %, 1523 MiB, 73.28 W
2026/09/23 09:46:11.505, 2, 49 %, 4 %, 1523 MiB, 73.52 W
2026/09/23 09:46:11.506, 3, 42 %, 2 %, 1811 MiB, 73.86 W
2026/09/23 09:46:12.508, 0, 50 %, 4 %, 1731 MiB, 75.32 W
2026/09/23 09:46:12.509, 1, 47 %, 3 %, 2195 MiB, 81.94 W
2026/09/23 09:46:12.510, 2, 46 %, 2 %, 1731 MiB, 73.47 W
2026/09/23 09:46:12.511, 3, 55 %, 5 %, 1731 MiB, 71.92 W
2026/09/23 09:46:13.513, 0, 43 %, 3 %, 3035 MiB, 75.26 W
2026/09/23 09:46:13.515, 1, 46 %, 5 %, 3035 MiB, 72.26 W
2026/09/23 09:46:13.517, 2, 54 %, 4 %, 3035 MiB, 74.44 W
2026/09/23 09:46:13.518, 3, 35 %, 2 %, 3035 MiB, 102.90 W
2026/09/23 09:46:14.520, 0, 37 %, 2 %, 3483 MiB, 75.32 W
2026/09/23 09:46:14.521, 1, 49 %, 6 %, 3483 MiB, 72.31 W
2026/09/23 09:46:14.523, 2, 58 %, 3 %, 3483 MiB, 76.39 W
2026/09/23 09:46:14.524, 3, 54 %, 3 %, 2123 MiB, 73.37 W
2026/09/23 09:46:15.526, 0, 54 %, 3 %, 2383 MiB, 76.29 W
2026/09/23 09:46:15.527, 1, 36 %, 2 %, 2383 MiB, 73.23 W
2026/09/23 09:46:15.528, 2, 46 %, 4 %, 2383 MiB, 73.03 W
2026/09/23 09:46:15.529, 3, 46 %, 3 %, 2383 MiB, 71.92 W
2026/09/23 09:46:16.532, 0, 71 %, 6 %, 4339 MiB, 75.80 W
2026/09/23 09:46:16.534, 1, 42 %, 4 %, 4339 MiB, 72.31 W
2026/09/23 09:46:16.535, 2, 66 %, 3 %, 4339 MiB, 75.90 W
2026/09/23 09:46:16.536, 3, 68 %, 9 %, 4339 MiB, 86.42 W
2026/09/23 09:46:17.539, 0, 42 %, 1 %, 4683 MiB, 75.32 W
2026/09/23 09:46:17.540, 1, 48 %, 3 %, 3779 MiB, 71.82 W
2026/09/23 09:46:17.541, 2, 43 %, 4 %, 4683 MiB, 74.01 W
2026/09/23 09:46:17.542, 3, 41 %, 1 %, 4683 MiB, 72.40 W
2026/09/23 09:46:18.544, 0, 43 %, 1 %, 3075 MiB, 75.80 W
2026/09/23 09:46:18.545, 1, 46 %, 5 %, 3075 MiB, 71.34 W
2026/09/23 09:46:18.547, 2, 42 %, 1 %, 5063 MiB, 73.96 W
2026/09/23 09:46:18.548, 3, 42 %, 1 %, 5063 MiB, 72.94 W
2026/09/23 09:46:19.550, 0, 43 %, 1 %, 3295 MiB, 74.83 W
2026/09/23 09:46:19.551, 1, 42 %, 5 %, 3295 MiB, 71.29 W
2026/09/23 09:46:19.552, 2, 42 %, 1 %, 5483 MiB, 74.01 W
2026/09/23 09:46:19.554, 3, 42 %, 1 %, 5483 MiB, 72.94 W
2026/09/23 09:46:20.556, 0, 50 %, 1 %, 3535 MiB, 76.82 W
2026/09/23 09:46:20.557, 1, 0 %, 0 %, 3295 MiB, 71.39 W
2026/09/23 09:46:20.558, 2, 42 %, 1 %, 5943 MiB, 74.01 W
2026/09/23 09:46:20.561, 3, 0 %, 0 %, 3295 MiB, 71.48 W
2026/09/23 09:46:21.563, 0, 49 %, 1 %, 6447 MiB, 75.85 W
2026/09/23 09:46:21.565, 1, 0 %, 0 %, 3295 MiB, 71.82 W
2026/09/23 09:46:21.566, 2, 42 %, 1 %, 6447 MiB, 74.01 W
2026/09/23 09:46:21.567, 3, 0 %, 0 %, 3295 MiB, 71.48 W
2026/09/23 09:46:22.570, 0, 50 %, 1 %, 7003 MiB, 75.90 W
2026/09/23 09:46:22.571, 1, 0 %, 0 %, 3295 MiB, 59.31 W
2026/09/23 09:46:22.572, 2, 57 %, 11 %, 7003 MiB, 74.01 W
2026/09/23 09:46:22.573, 3, 0 %, 0 %, 3295 MiB, 58.90 W
2026/09/23 09:46:23.575, 0, 60 %, 3 %, 4171 MiB, 76.29 W
2026/09/23 09:46:23.578, 1, 61 %, 3 %, 3371 MiB, 66.01 W
2026/09/23 09:46:23.579, 2, 55 %, 3 %, 4171 MiB, 74.44 W
2026/09/23 09:46:23.580, 3, 59 %, 3 %, 3371 MiB, 65.13 W
2026/09/23 09:46:24.582, 0, 73 %, 13 %, 4819 MiB, 94.11 W
2026/09/23 09:46:24.583, 1, 39 %, 4 %, 4127 MiB, 83.40 W
2026/09/23 09:46:24.585, 2, 65 %, 3 %, 4887 MiB, 88.47 W
2026/09/23 09:46:24.587, 3, 30 %, 6 %, 4123 MiB, 80.65 W
2026/09/23 09:46:25.590, 0, 99 %, 23 %, 5033 MiB, 115.28 W
