timestamp, index, utilization.gpu [%], utilization.memory [%], memory.used [MiB], power.draw [W]
2026/09/24 13:42:21.454, 0, 0 %, 0 %, 107 MiB, 41.98 W
2026/09/24 13:42:21.455, 1, 0 %, 0 %, 107 MiB, 41.95 W
2026/09/24 13:42:21.457, 2, 0 %, 0 %, 107 MiB, 44.96 W
2026/09/24 13:42:21.458, 3, 0 %, 0 %, 107 MiB, 42.01 W
2026/09/24 13:42:22.460, 0, 0 %, 0 %, 421 MiB, 57.93 W
2026/09/24 13:42:22.461, 1, 0 %, 0 %, 421 MiB, 57.89 W
2026/09/24 13:42:22.463, 2, 0 %, 0 %, 421 MiB, 59.99 W
2026/09/24 13:42:22.464, 3, 0 %, 0 %, 421 MiB, 57.48 W
2026/09/24 13:42:23.466, 0, 0 %, 0 %, 429 MiB, 58.90 W
2026/09/24 13:42:23.468, 1, 0 %, 0 %, 429 MiB, 58.37 W
2026/09/24 13:42:23.469, 2, 0 %, 0 %, 429 MiB, 61.45 W
2026/09/24 13:42:23.470, 3, 0 %, 0 %, 429 MiB, 58.45 W
2026/09/24 13:42:24.472, 0, 26 %, 2 %, 659 MiB, 59.87 W
2026/09/24 13:42:24.473, 1, 27 %, 2 %, 659 MiB, 59.31 W
2026/09/24 13:42:24.474, 2, 25 %, 2 %, 659 MiB, 62.38 W
2026/09/24 13:42:24.476, 3, 25 %, 2 %, 659 MiB, 60.36 W
2026/09/24 13:42:25.478, 0, 27 %, 2 %, 697 MiB, 59.38 W
2026/09/24 13:42:25.479, 1, 28 %, 2 %, 697 MiB, 58.82 W
2026/09/24 13:42:25.481, 2, 24 %, 2 %, 697 MiB, 62.42 W
2026/09/24 13:42:25.482, 3, 23 %, 2 %, 697 MiB, 59.38 W
2026/09/24 13:42:26.484, 0, 27 %, 2 %, 817 MiB, 59.87 W
2026/09/24 13:42:26.486, 1, 28 %, 2 %, 817 MiB, 59.83 W
2026/09/24 13:42:26.487, 2, 26 %, 2 %, 1105 MiB, 61.94 W
2026/09/24 13:42:26.488, 3, 25 %, 1 %, 1105 MiB, 58.94 W
2026/09/24 13:42:27.490, 0, 27 %, 2 %, 921 MiB, 59.83 W
2026/09/24 13:42:27.492, 1, 26 %, 2 %, 921 MiB, 59.31 W
2026/09/24 13:42:27.494, 2, 25 %, 1 %, 921 MiB, 61.94 W
2026/09/24 13:42:27.495, 3, 25 %, 2 %, 921 MiB, 58.90 W
2026/09/24 13:42:28.497, 0, 25 %, 1 %, 1573 MiB, 59.38 W
2026/09/24 13:42:28.498, 1, 33 %, 3 %, 1573 MiB, 58.86 W
2026/09/24 13:42:28.500, 2, 34 %, 3 %, 1573 MiB, 61.94 W
2026/09/24 13:42:28.501, 3, 29 %, 3 %, 1573 MiB, 58.94 W
2026/09/24 13:42:29.503, 0, 37 %, 4 %, 1797 MiB, 59.38 W
2026/09/24 13:42:29.504, 1, 32 %, 3 %, 1797 MiB, 58.86 W
2026/09/24 13:42:29.505, 2, 30 %, 3 %, 1797 MiB, 61.94 W
2026/09/24 13:42:29.507, 3, 34 %, 3 %, 1797 MiB, 58.90 W
2026/09/24 13:42:30.509, 0, 17 %, 2 %, 1247 MiB, 59.87 W
2026/09/24 13:42:30.511, 1, 24 %, 1 %, 2069 MiB, 59.31 W
2026/09/24 13:42:30.512, 2, 21 %, 1 %, 1247 MiB, 62.38 W
