timestamp, index, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/09/23 15:43:46.964, 0, 0 %, 0 %, 116 MiB, 143771 MiB, 82.07 W
2026/09/23 15:43:47.215, 0, 0 %, 0 %, 116 MiB, 143771 MiB, 82.07 W
2026/09/23 15:43:47.465, 0, 0 %, 0 %, 120 MiB, 143771 MiB, 82.12 W
2026/09/23 15:43:47.716, 0, 0 %, 0 %, 120 MiB, 143771 MiB, 82.15 W
2026/09/23 15:43:47.967, 0, 0 %, 0 %, 120 MiB, 143771 MiB, 82.17 W
2026/09/23 15:43:48.217, 0, 0 %, 0 %, 120 MiB, 143771 MiB, 82.19 W
2026/09/23 15:43:48.468, 0, 0 %, 0 %, 645 MiB, 143771 MiB, 91.12 W
2026/09/23 15:43:48.718, 0, 1 %, 0 %, 669 MiB, 143771 MiB, 99.50 W
2026/09/23 15:43:48.968, 0, 0 %, 0 %, 669 MiB, 143771 MiB, 112.06 W
2026/09/23 15:43:49.218, 0, 0 %, 0 %, 669 MiB, 143771 MiB, 120.37 W
2026/09/23 15:43:49.468, 0, 0 %, 0 %, 819 MiB, 143771 MiB, 123.92 W
2026/09/23 15:43:49.719, 0, 12 %, 0 %, 1037 MiB, 143771 MiB, 124.40 W
2026/09/23 15:43:49.969, 0, 23 %, 1 %, 1019 MiB, 143771 MiB, 125.74 W
2026/09/23 15:43:50.219, 0, 21 %, 1 %, 1119 MiB, 143771 MiB, 126.76 W
2026/09/23 15:43:50.469, 0, 25 %, 1 %, 1223 MiB, 143771 MiB, 128.10 W
2026/09/23 15:43:50.719, 0, 22 %, 1 %, 1777 MiB, 143771 MiB, 128.10 W
2026/09/23 15:43:50.970, 0, 12 %, 0 %, 1313 MiB, 143771 MiB, 126.95 W
2026/09/23 15:43:51.220, 0, 23 %, 1 %, 1419 MiB, 143771 MiB, 127.14 W
2026/09/23 15:43:51.470, 0, 22 %, 1 %, 2229 MiB, 143771 MiB, 126.89 W
2026/09/23 15:43:51.720, 0, 18 %, 1 %, 1623 MiB, 143771 MiB, 127.31 W
2026/09/23 15:43:51.971, 0, 24 %, 1 %, 1705 MiB, 143771 MiB, 128.05 W
2026/09/23 15:43:52.221, 0, 23 %, 1 %, 2889 MiB, 143771 MiB, 128.05 W
2026/09/23 15:43:52.471, 0, 27 %, 1 %, 3099 MiB, 143771 MiB, 128.39 W
2026/09/23 15:43:52.721, 0, 30 %, 1 %, 3329 MiB, 143771 MiB, 128.18 W
2026/09/23 15:43:52.971, 0, 21 %, 1 %, 2125 MiB, 143771 MiB, 128.54 W
2026/09/23 15:43:53.221, 0, 36 %, 1 %, 2257 MiB, 143771 MiB, 128.20 W
2026/09/23 15:43:53.472, 0, 19 %, 1 %, 2403 MiB, 143771 MiB, 128.65 W
2026/09/23 15:43:53.722, 0, 21 %, 0 %, 4165 MiB, 143771 MiB, 128.17 W
2026/09/23 15:43:53.972, 0, 28 %, 1 %, 2563 MiB, 143771 MiB, 128.64 W
2026/09/23 15:43:54.222, 0, 31 %, 1 %, 4501 MiB, 143771 MiB, 128.70 W
2026/09/23 15:43:54.472, 0, 16 %, 0 %, 2739 MiB, 143771 MiB, 127.68 W
2026/09/23 15:43:54.722, 0, 28 %, 1 %, 2933 MiB, 143771 MiB, 128.95 W
2026/09/23 15:43:54.973, 0, 26 %, 1 %, 2933 MiB, 143771 MiB, 127.58 W
2026/09/23 15:43:55.223, 0, 40 %, 1 %, 3145 MiB, 143771 MiB, 128.50 W
2026/09/23 15:43:55.473, 0, 8 %, 0 %, 3145 MiB, 143771 MiB, 128.30 W
2026/09/23 15:43:55.723, 0, 30 %, 1 %, 5725 MiB, 143771 MiB, 127.93 W
2026/09/23 15:43:55.973, 0, 34 %, 1 %, 3381 MiB, 143771 MiB, 128.21 W
2026/09/23 15:43:56.223, 0, 34 %, 1 %, 6217 MiB, 143771 MiB, 128.45 W
2026/09/23 15:43:56.473, 0, 34 %, 0 %, 3637 MiB, 143771 MiB, 129.14 W
2026/09/23 15:43:56.724, 0, 4 %, 0 %, 3637 MiB, 143771 MiB, 127.76 W
2026/09/23 15:43:56.974, 0, 29 %, 0 %, 6757 MiB, 143771 MiB, 128.74 W
2026/09/23 15:43:57.224, 0, 14 %, 1 %, 3921 MiB, 143771 MiB, 127.35 W
2026/09/23 15:43:57.474, 0, 0 %, 0 %, 7353 MiB, 143771 MiB, 126.90 W
2026/09/23 15:43:57.724, 0, 48 %, 2 %, 7353 MiB, 143771 MiB, 129.44 W
2026/09/23 15:43:57.974, 0, 34 %, 0 %, 4233 MiB, 143771 MiB, 128.86 W
2026/09/23 15:43:58.225, 0, 3 %, 0 %, 4233 MiB, 143771 MiB, 128.79 W
2026/09/23 15:43:58.475, 0, 46 %, 2 %, 8009 MiB, 143771 MiB, 131.46 W
2026/09/23 15:43:58.725, 0, 33 %, 0 %, 4577 MiB, 143771 MiB, 129.96 W
2026/09/23 15:43:58.975, 0, 8 %, 1 %, 4577 MiB, 143771 MiB, 129.35 W
2026/09/23 15:43:59.225, 0, 0 %, 0 %, 8729 MiB, 143771 MiB, 131.56 W
2026/09/23 15:43:59.475, 0, 33 %, 0 %, 8729 MiB, 143771 MiB, 129.52 W
2026/09/23 15:43:59.725, 0, 27 %, 1 %, 4953 MiB, 143771 MiB, 129.22 W
2026/09/23 15:43:59.976, 0, 0 %, 0 %, 4953 MiB, 143771 MiB, 129.28 W
2026/09/23 15:44:00.226, 0, 8 %, 0 %, 9521 MiB, 143771 MiB, 130.62 W
2026/09/23 15:44:00.476, 0, 32 %, 0 %, 5369 MiB, 143771 MiB, 129.25 W
2026/09/23 15:44:00.726, 0, 41 %, 1 %, 5369 MiB, 143771 MiB, 125.68 W
2026/09/23 15:44:00.977, 0, 0 %, 0 %, 5369 MiB, 143771 MiB, 129.51 W
