timestamp, index, utilization.gpu [%], utilization.memory [%], memory.used [MiB], power.draw [W]
2026/09/24 14:49:58.187, 0, 0 %, 0 %, 116 MiB, 79.80 W
2026/09/24 14:49:58.188, 1, 0 %, 0 %, 116 MiB, 77.88 W
2026/09/24 14:49:58.188, 2, 0 %, 0 %, 116 MiB, 81.57 W
2026/09/24 14:49:58.188, 3, 0 %, 0 %, 116 MiB, 80.81 W
2026/09/24 14:49:59.188, 0, 0 %, 0 %, 116 MiB, 79.82 W
2026/09/24 14:49:59.196, 1, 0 %, 0 %, 116 MiB, 77.94 W
2026/09/24 14:49:59.268, 2, 0 %, 0 %, 116 MiB, 81.56 W
2026/09/24 14:49:59.268, 3, 0 %, 0 %, 120 MiB, 80.89 W
2026/09/24 14:50:00.268, 0, 0 %, 0 %, 120 MiB, 79.83 W
2026/09/24 14:50:00.269, 1, 0 %, 0 %, 120 MiB, 77.93 W
2026/09/24 14:50:00.269, 2, 0 %, 0 %, 120 MiB, 83.82 W
2026/09/24 14:50:00.271, 3, 0 %, 0 %, 120 MiB, 80.82 W
2026/09/24 14:50:01.272, 0, 0 %, 0 %, 120 MiB, 79.78 W
2026/09/24 14:50:01.272, 1, 0 %, 0 %, 120 MiB, 77.93 W
2026/09/24 14:50:01.272, 2, 0 %, 0 %, 120 MiB, 83.80 W
2026/09/24 14:50:01.272, 3, 0 %, 0 %, 120 MiB, 80.88 W
2026/09/24 14:50:02.272, 0, 0 %, 0 %, 120 MiB, 79.76 W
2026/09/24 14:50:02.272, 1, 0 %, 0 %, 120 MiB, 77.92 W
2026/09/24 14:50:02.272, 2, 0 %, 0 %, 120 MiB, 81.50 W
2026/09/24 14:50:02.272, 3, 0 %, 0 %, 120 MiB, 80.85 W
2026/09/24 14:50:03.273, 0, 0 %, 0 %, 120 MiB, 79.77 W
2026/09/24 14:50:03.273, 1, 0 %, 0 %, 120 MiB, 77.94 W
2026/09/24 14:50:03.273, 2, 0 %, 0 %, 120 MiB, 81.51 W
2026/09/24 14:50:03.273, 3, 0 %, 0 %, 120 MiB, 80.82 W
2026/09/24 14:50:04.273, 0, 0 %, 0 %, 120 MiB, 79.78 W
2026/09/24 14:50:04.273, 1, 0 %, 0 %, 120 MiB, 77.85 W
2026/09/24 14:50:04.273, 2, 0 %, 0 %, 120 MiB, 81.54 W
2026/09/24 14:50:04.273, 3, 0 %, 0 %, 120 MiB, 80.79 W
2026/09/24 14:50:05.273, 0, 0 %, 0 %, 138 MiB, 86.55 W
2026/09/24 14:50:05.278, 1, 0 %, 0 %, 138 MiB, 83.06 W
2026/09/24 14:50:05.283, 2, 0 %, 0 %, 138 MiB, 90.41 W
2026/09/24 14:50:05.286, 3, 0 %, 0 %, 138 MiB, 87.21 W
2026/09/24 14:50:06.287, 0, 0 %, 0 %, 887 MiB, 120.97 W
2026/09/24 14:50:06.288, 1, 0 %, 0 %, 979 MiB, 118.65 W
2026/09/24 14:50:06.288, 2, 7 %, 0 %, 887 MiB, 124.26 W
2026/09/24 14:50:06.288, 3, 0 %, 0 %, 887 MiB, 122.37 W
2026/09/24 14:50:07.288, 0, 22 %, 0 %, 1537 MiB, 123.14 W
2026/09/24 14:50:07.288, 1, 23 %, 1 %, 1187 MiB, 120.54 W
2026/09/24 14:50:07.288, 2, 21 %, 0 %, 1537 MiB, 127.60 W
2026/09/24 14:50:07.288, 3, 26 %, 1 %, 1187 MiB, 125.30 W
2026/09/24 14:50:08.288, 0, 22 %, 0 %, 2101 MiB, 123.55 W
2026/09/24 14:50:08.288, 1, 21 %, 0 %, 2231 MiB, 121.59 W
2026/09/24 14:50:08.288, 2, 21 %, 1 %, 1483 MiB, 127.24 W
2026/09/24 14:50:08.288, 3, 27 %, 0 %, 1483 MiB, 125.47 W
2026/09/24 14:50:09.288, 0, 24 %, 0 %, 2701 MiB, 123.40 W
2026/09/24 14:50:09.288, 1, 19 %, 0 %, 1797 MiB, 122.15 W
2026/09/24 14:50:09.288, 2, 23 %, 1 %, 2701 MiB, 127.50 W
2026/09/24 14:50:09.288, 3, 32 %, 1 %, 1797 MiB, 124.87 W
2026/09/24 14:50:10.288, 0, 34 %, 1 %, 3331 MiB, 123.35 W
2026/09/24 14:50:10.288, 1, 14 %, 0 %, 2127 MiB, 122.16 W
2026/09/24 14:50:10.289, 2, 23 %, 0 %, 3331 MiB, 126.78 W
2026/09/24 14:50:10.289, 3, 32 %, 1 %, 2127 MiB, 124.86 W
2026/09/24 14:50:11.289, 0, 30 %, 1 %, 3861 MiB, 123.76 W
2026/09/24 14:50:11.289, 1, 35 %, 1 %, 2405 MiB, 121.09 W
2026/09/24 14:50:11.289, 2, 9 %, 0 %, 3861 MiB, 127.65 W
2026/09/24 14:50:11.289, 3, 32 %, 0 %, 2405 MiB, 124.34 W
2026/09/24 14:50:12.289, 0, 23 %, 1 %, 4503 MiB, 123.77 W
2026/09/24 14:50:12.289, 1, 35 %, 1 %, 2741 MiB, 121.52 W
2026/09/24 14:50:12.289, 2, 5 %, 0 %, 4503 MiB, 126.26 W
2026/09/24 14:50:12.289, 3, 33 %, 1 %, 4503 MiB, 125.03 W
2026/09/24 14:50:13.289, 0, 19 %, 0 %, 2935 MiB, 124.13 W
