timestamp, index, utilization.gpu [%], utilization.memory [%], memory.used [MiB], power.draw [W]
2026/09/24 10:09:27.450, 0, 0 %, 0 %, 116 MiB, 80.98 W
2026/09/24 10:09:28.450, 0, 0 %, 0 %, 120 MiB, 82.14 W
2026/09/24 10:09:29.452, 0, 0 %, 0 %, 669 MiB, 116.12 W
2026/09/24 10:09:30.452, 0, 18 %, 1 %, 1119 MiB, 123.76 W
2026/09/24 10:09:31.452, 0, 16 %, 1 %, 1549 MiB, 126.36 W
2026/09/24 10:09:32.452, 0, 20 %, 1 %, 3099 MiB, 125.82 W
2026/09/24 10:09:33.452, 0, 10 %, 0 %, 2403 MiB, 126.42 W
2026/09/24 10:09:34.453, 0, 25 %, 1 %, 4871 MiB, 126.21 W
2026/09/24 10:09:35.453, 0, 15 %, 0 %, 5725 MiB, 127.27 W
2026/09/24 10:09:36.453, 0, 28 %, 0 %, 3637 MiB, 124.91 W
2026/09/24 10:09:37.453, 0, 0 %, 0 %, 7353 MiB, 126.24 W
2026/09/24 10:09:38.453, 0, 38 %, 2 %, 4577 MiB, 126.98 W
2026/09/24 10:09:39.453, 0, 28 %, 0 %, 4953 MiB, 125.30 W
2026/09/24 10:09:40.454, 0, 44 %, 1 %, 5369 MiB, 126.60 W
2026/09/24 10:09:41.454, 0, 24 %, 1 %, 5825 MiB, 125.59 W
2026/09/24 10:09:42.454, 0, 46 %, 1 %, 6329 MiB, 126.19 W
2026/09/24 10:09:43.454, 0, 28 %, 0 %, 12409 MiB, 125.38 W
2026/09/24 10:09:44.458, 0, 44 %, 1 %, 13569 MiB, 124.02 W
2026/09/24 10:09:45.458, 0, 0 %, 0 %, 7489 MiB, 126.15 W
2026/09/24 10:09:46.458, 0, 28 %, 0 %, 14845 MiB, 127.32 W
2026/09/24 10:09:47.459, 0, 11 %, 0 %, 8157 MiB, 123.82 W
2026/09/24 10:09:48.459, 0, 45 %, 1 %, 8893 MiB, 130.76 W
2026/09/24 10:09:49.459, 0, 25 %, 0 %, 17795 MiB, 124.09 W
2026/09/24 10:09:50.459, 0, 54 %, 1 %, 9703 MiB, 130.02 W
2026/09/24 10:09:51.459, 0, 51 %, 1 %, 19495 MiB, 127.66 W
2026/09/24 10:09:52.459, 0, 60 %, 1 %, 10593 MiB, 125.47 W
2026/09/24 10:09:53.460, 0, 16 %, 0 %, 10593 MiB, 123.17 W
2026/09/24 10:09:54.460, 0, 29 %, 0 %, 11571 MiB, 129.35 W
2026/09/24 10:09:55.460, 0, 0 %, 0 %, 11571 MiB, 122.00 W
2026/09/24 10:09:56.461, 0, 29 %, 0 %, 23417 MiB, 129.83 W
2026/09/24 10:09:57.461, 0, 2 %, 0 %, 12915 MiB, 126.26 W
2026/09/24 10:09:58.461, 0, 22 %, 0 %, 13127 MiB, 125.49 W
2026/09/24 10:09:59.461, 0, 99 %, 20 %, 17941 MiB, 296.95 W
2026/09/24 10:10:00.461, 0, 99 %, 22 %, 17941 MiB, 345.00 W
2026/09/24 10:10:01.461, 0, 99 %, 21 %, 17941 MiB, 351.38 W
2026/09/24 10:10:02.462, 0, 99 %, 22 %, 17941 MiB, 353.87 W
2026/09/24 10:10:03.462, 0, 99 %, 22 %, 17941 MiB, 356.33 W
2026/09/24 10:10:04.462, 0, 99 %, 21 %, 17941 MiB, 355.95 W
2026/09/24 10:10:05.462, 0, 99 %, 22 %, 17941 MiB, 359.75 W
2026/09/24 10:10:06.462, 0, 99 %, 22 %, 17941 MiB, 358.47 W
2026/09/24 10:10:07.462, 0, 99 %, 21 %, 17941 MiB, 359.73 W
2026/09/24 10:10:08.462, 0, 99 %, 22 %, 17941 MiB, 361.85 W
2026/09/24 10:10:09.462, 0, 99 %, 21 %, 17941 MiB, 362.19 W
2026/09/24 10:10:10.462, 0, 99 %, 21 %, 17941 MiB, 363.01 W
2026/09/24 10:10:11.462, 0, 99 %, 23 %, 17941 MiB, 362.30 W
2026/09/24 10:10:12.463, 0, 99 %, 22 %, 17941 MiB, 363.15 W
2026/09/24 10:10:13.463, 0, 99 %, 22 %, 17941 MiB, 363.46 W
2026/09/24 10:10:14.463, 0, 99 %, 21 %, 17941 MiB, 363.09 W
2026/09/24 10:10:15.463, 0, 99 %, 21 %, 17941 MiB, 363.75 W
2026/09/24 10:10:16.463, 0, 99 %, 23 %, 17941 MiB, 364.74 W
2026/09/24 10:10:17.463, 0, 99 %, 23 %, 17941 MiB, 362.65 W
2026/09/24 10:10:18.463, 0, 99 %, 23 %, 17941 MiB, 364.79 W
2026/09/24 10:10:19.463, 0, 99 %, 21 %, 17941 MiB, 363.60 W
2026/09/24 10:10:20.463, 0, 99 %, 21 %, 17941 MiB, 362.72 W
2026/09/24 10:10:21.463, 0, 99 %, 23 %, 17941 MiB, 362.70 W
2026/09/24 10:10:22.464, 0, 99 %, 22 %, 17941 MiB, 363.64 W
2026/09/24 10:10:23.464, 0, 99 %, 21 %, 17941 MiB, 363.08 W
2026/09/24 10:10:24.464, 0, 99 %, 21 %, 17941 MiB, 360.78 W
2026/09/24 10:10:25.464, 0, 99 %, 24 %, 17941 MiB, 361.32 W
2026/09/24 10:10:26.464, 0, 99 %, 21 %, 17941 MiB, 363.85 W
2026/09/24 10:10:27.464, 0, 99 %, 23 %, 17941 MiB, 362.41 W
2026/09/24 10:10:28.464, 0, 99 %, 23 %, 17941 MiB, 361.68 W
2026/09/24 10:10:29.464, 0, 99 %, 21 %, 17941 MiB, 364.97 W
2026/09/24 10:10:30.464, 0, 99 %, 21 %, 17941 MiB, 362.45 W
2026/09/24 10:10:31.464, 0, 99 %, 20 %, 17941 MiB, 361.75 W
2026/09/24 10:10:32.464, 0, 99 %, 20 %, 17941 MiB, 363.03 W
2026/09/24 10:10:33.465, 0, 99 %, 20 %, 17941 MiB, 363.70 W
2026/09/24 10:10:34.465, 0, 99 %, 21 %, 17941 MiB, 364.10 W
2026/09/24 10:10:35.465, 0, 99 %, 23 %, 17941 MiB, 362.21 W
2026/09/24 10:10:36.465, 0, 99 %, 23 %, 17941 MiB, 362.48 W
2026/09/24 10:10:37.465, 0, 99 %, 24 %, 17941 MiB, 364.78 W
2026/09/24 10:10:38.465, 0, 99 %, 21 %, 17941 MiB, 362.90 W
2026/09/24 10:10:39.465, 0, 99 %, 22 %, 17941 MiB, 362.30 W
2026/09/24 10:10:40.466, 0, 99 %, 21 %, 17941 MiB, 364.14 W
2026/09/24 10:10:41.466, 0, 99 %, 23 %, 17941 MiB, 361.75 W
2026/09/24 10:10:42.466, 0, 99 %, 21 %, 17941 MiB, 362.20 W
2026/09/24 10:10:43.466, 0, 99 %, 21 %, 17941 MiB, 361.19 W
2026/09/24 10:10:44.466, 0, 99 %, 23 %, 17941 MiB, 362.07 W
2026/09/24 10:10:45.466, 0, 99 %, 23 %, 17941 MiB, 336.55 W
