timestamp, index, utilization.gpu [%], utilization.memory [%], memory.used [MiB], power.draw [W]
2026/09/24 14:49:59.396, 0, 0 %, 0 %, 107 MiB, 41.98 W
2026/09/24 14:49:59.398, 1, 0 %, 0 %, 107 MiB, 41.49 W
2026/09/24 14:49:59.399, 2, 0 %, 0 %, 107 MiB, 44.99 W
2026/09/24 14:49:59.401, 3, 0 %, 0 %, 107 MiB, 42.01 W
2026/09/24 14:50:00.403, 0, 3 %, 0 %, 421 MiB, 58.86 W
2026/09/24 14:50:00.404, 1, 3 %, 0 %, 421 MiB, 58.34 W
2026/09/24 14:50:00.405, 2, 1 %, 0 %, 421 MiB, 61.41 W
2026/09/24 14:50:00.406, 3, 4 %, 0 %, 421 MiB, 58.41 W
2026/09/24 14:50:01.408, 0, 0 %, 0 %, 429 MiB, 58.90 W
2026/09/24 14:50:01.410, 1, 0 %, 0 %, 429 MiB, 58.37 W
2026/09/24 14:50:01.411, 2, 0 %, 0 %, 429 MiB, 61.45 W
2026/09/24 14:50:01.412, 3, 0 %, 0 %, 429 MiB, 58.45 W
2026/09/24 14:50:02.416, 0, 26 %, 2 %, 693 MiB, 59.38 W
2026/09/24 14:50:02.418, 1, 27 %, 2 %, 601 MiB, 59.31 W
2026/09/24 14:50:02.419, 2, 25 %, 2 %, 693 MiB, 61.94 W
2026/09/24 14:50:02.420, 3, 23 %, 2 %, 693 MiB, 58.90 W
2026/09/24 14:50:03.422, 0, 27 %, 2 %, 717 MiB, 59.87 W
2026/09/24 14:50:03.423, 1, 28 %, 2 %, 717 MiB, 58.86 W
2026/09/24 14:50:03.424, 2, 25 %, 2 %, 717 MiB, 62.42 W
2026/09/24 14:50:03.425, 3, 25 %, 2 %, 717 MiB, 59.38 W
2026/09/24 14:50:04.428, 0, 25 %, 2 %, 817 MiB, 59.83 W
2026/09/24 14:50:04.430, 1, 22 %, 1 %, 1167 MiB, 58.82 W
2026/09/24 14:50:04.432, 2, 27 %, 2 %, 1167 MiB, 63.35 W
2026/09/24 14:50:04.433, 3, 27 %, 2 %, 1167 MiB, 62.78 W
2026/09/24 14:50:05.435, 0, 22 %, 1 %, 1385 MiB, 59.83 W
2026/09/24 14:50:05.436, 1, 28 %, 2 %, 1385 MiB, 59.31 W
2026/09/24 14:50:05.437, 2, 30 %, 3 %, 1385 MiB, 61.89 W
2026/09/24 14:50:05.438, 3, 22 %, 1 %, 1385 MiB, 58.90 W
2026/09/24 14:50:06.441, 0, 27 %, 2 %, 1061 MiB, 59.38 W
2026/09/24 14:50:06.442, 1, 25 %, 1 %, 1061 MiB, 58.86 W
2026/09/24 14:50:06.443, 2, 26 %, 2 %, 1061 MiB, 61.45 W
2026/09/24 14:50:06.444, 3, 24 %, 2 %, 1061 MiB, 58.45 W
2026/09/24 14:50:07.446, 0, 24 %, 1 %, 1179 MiB, 60.84 W
2026/09/24 14:50:07.447, 1, 25 %, 1 %, 1179 MiB, 58.86 W
