timestamp, index, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/09/22 14:01:47.273, 0, 0 %, 0 %, 116 MiB, 143771 MiB, 77.89 W
2026/09/22 14:01:47.528, 0, 0 %, 0 %, 120 MiB, 143771 MiB, 77.90 W
2026/09/22 14:01:47.788, 0, 0 %, 0 %, 647 MiB, 143771 MiB, 83.12 W
2026/09/22 14:01:48.038, 0, 2 %, 0 %, 116 MiB, 143771 MiB, 91.21 W
2026/09/22 14:01:48.288, 0, 0 %, 0 %, 116 MiB, 143771 MiB, 103.16 W
2026/09/22 14:01:48.538, 0, 0 %, 0 %, 116 MiB, 143771 MiB, 111.76 W
2026/09/22 14:01:48.789, 0, 0 %, 0 %, 116 MiB, 143771 MiB, 118.62 W
2026/09/22 14:01:49.039, 0, 0 %, 0 %, 116 MiB, 143771 MiB, 118.54 W
2026/09/22 14:01:49.289, 0, 0 %, 0 %, 116 MiB, 143771 MiB, 118.56 W
2026/09/22 14:01:49.539, 0, 0 %, 0 %, 116 MiB, 143771 MiB, 118.52 W
2026/09/22 14:01:49.790, 0, 0 %, 0 %, 116 MiB, 143771 MiB, 118.57 W
