timestamp, index, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/09/22 14:19:03.669, 0, 0 %, 0 %, 116 MiB, 143771 MiB, 77.80 W
2026/09/22 14:19:03.920, 0, 0 %, 0 %, 116 MiB, 143771 MiB, 77.80 W
2026/09/22 14:19:04.170, 0, 0 %, 0 %, 120 MiB, 143771 MiB, 77.84 W
2026/09/22 14:19:04.421, 0, 0 %, 0 %, 120 MiB, 143771 MiB, 77.86 W
2026/09/22 14:19:04.688, 0, 0 %, 0 %, 120 MiB, 143771 MiB, 77.86 W
2026/09/22 14:19:04.939, 0, 0 %, 0 %, 645 MiB, 143771 MiB, 83.29 W
2026/09/22 14:19:05.189, 0, 1 %, 0 %, 669 MiB, 143771 MiB, 95.42 W
2026/09/22 14:19:05.439, 0, 0 %, 0 %, 669 MiB, 143771 MiB, 103.51 W
2026/09/22 14:19:05.689, 0, 0 %, 0 %, 669 MiB, 143771 MiB, 115.73 W
2026/09/22 14:19:05.939, 0, 0 %, 0 %, 831 MiB, 143771 MiB, 118.48 W
2026/09/22 14:19:06.189, 0, 10 %, 0 %, 937 MiB, 143771 MiB, 119.49 W
2026/09/22 14:19:06.440, 0, 21 %, 1 %, 1039 MiB, 143771 MiB, 120.91 W
2026/09/22 14:19:06.690, 0, 21 %, 1 %, 1469 MiB, 143771 MiB, 121.78 W
2026/09/22 14:19:06.940, 0, 23 %, 1 %, 1687 MiB, 143771 MiB, 122.83 W
2026/09/22 14:19:07.190, 0, 21 %, 1 %, 1875 MiB, 143771 MiB, 123.16 W
2026/09/22 14:19:07.440, 0, 17 %, 1 %, 2099 MiB, 143771 MiB, 122.72 W
2026/09/22 14:19:07.690, 0, 24 %, 1 %, 1549 MiB, 143771 MiB, 123.03 W
2026/09/22 14:19:07.940, 0, 22 %, 1 %, 2527 MiB, 143771 MiB, 122.71 W
2026/09/22 14:19:08.191, 0, 21 %, 1 %, 2699 MiB, 143771 MiB, 123.01 W
2026/09/22 14:19:08.441, 0, 20 %, 1 %, 1895 MiB, 143771 MiB, 122.49 W
2026/09/22 14:19:08.691, 0, 16 %, 0 %, 3099 MiB, 143771 MiB, 122.76 W
2026/09/22 14:19:08.941, 0, 21 %, 1 %, 3329 MiB, 143771 MiB, 122.34 W
2026/09/22 14:19:09.191, 0, 16 %, 1 %, 3581 MiB, 143771 MiB, 122.04 W
2026/09/22 14:19:09.441, 0, 17 %, 0 %, 2257 MiB, 143771 MiB, 122.49 W
2026/09/22 14:19:09.691, 0, 27 %, 1 %, 2403 MiB, 143771 MiB, 122.28 W
2026/09/22 14:19:09.942, 0, 8 %, 0 %, 4165 MiB, 143771 MiB, 122.84 W
2026/09/22 14:19:10.192, 0, 35 %, 1 %, 2563 MiB, 143771 MiB, 122.63 W
2026/09/22 14:19:10.442, 0, 37 %, 1 %, 2739 MiB, 143771 MiB, 122.91 W
2026/09/22 14:19:10.692, 0, 6 %, 0 %, 4871 MiB, 143771 MiB, 122.30 W
2026/09/22 14:19:10.942, 0, 33 %, 1 %, 2933 MiB, 143771 MiB, 122.57 W
2026/09/22 14:19:11.192, 0, 14 %, 0 %, 5277 MiB, 143771 MiB, 122.00 W
2026/09/22 14:19:11.442, 0, 28 %, 1 %, 3145 MiB, 143771 MiB, 122.51 W
2026/09/22 14:19:11.693, 0, 0 %, 0 %, 3145 MiB, 143771 MiB, 122.34 W
2026/09/22 14:19:11.943, 0, 37 %, 1 %, 3381 MiB, 143771 MiB, 123.05 W
2026/09/22 14:19:12.193, 0, 21 %, 1 %, 3381 MiB, 143771 MiB, 123.34 W
2026/09/22 14:19:12.443, 0, 42 %, 1 %, 6217 MiB, 143771 MiB, 123.48 W
2026/09/22 14:19:12.693, 0, 21 %, 1 %, 3637 MiB, 143771 MiB, 124.04 W
2026/09/22 14:19:12.943, 0, 1 %, 0 %, 3803 MiB, 143771 MiB, 121.82 W
2026/09/22 14:19:13.193, 0, 5 %, 0 %, 4117 MiB, 143771 MiB, 122.09 W
2026/09/22 14:19:13.444, 0, 0 %, 0 %, 4117 MiB, 143771 MiB, 120.28 W
2026/09/22 14:19:13.694, 0, 1 %, 0 %, 4673 MiB, 143771 MiB, 119.70 W
2026/09/22 14:19:13.944, 0, 67 %, 3 %, 4811 MiB, 143771 MiB, 132.17 W
2026/09/22 14:19:14.194, 0, 97 %, 4 %, 4811 MiB, 143771 MiB, 142.58 W
2026/09/22 14:19:14.444, 0, 97 %, 4 %, 4811 MiB, 143771 MiB, 159.78 W
2026/09/22 14:19:14.694, 0, 97 %, 4 %, 4811 MiB, 143771 MiB, 170.82 W
2026/09/22 14:19:14.944, 0, 96 %, 4 %, 4811 MiB, 143771 MiB, 176.00 W
2026/09/22 14:19:15.194, 0, 97 %, 4 %, 4811 MiB, 143771 MiB, 176.70 W
2026/09/22 14:19:15.445, 0, 97 %, 4 %, 4811 MiB, 143771 MiB, 177.52 W
