Generating SQLite file /hpc/data/cfd-students/nnoventa/sparta/nicola/results/sparta_nsys_h200_1211770_np30000000_ro0_h200/nsys_rank0.sqlite from /hpc/data/cfd-students/nnoventa/sparta/nicola/results/sparta_nsys_h200_1211770_np30000000_ro0_h200/nsys_rank0.nsys-rep
Processing [/hpc/data/cfd-students/nnoventa/sparta/nicola/results/sparta_nsys_h200_1211770_np30000000_ro0_h200/nsys_rank0.sqlite] with [/cm/shared/apps/cuda12.8/visual-tools/12.8.1/nsight-systems/2024.6.2/host-linux-x64/reports/cuda_gpu_kern_sum.py]... 

 ** CUDA GPU Kernel Summary (cuda_gpu_kern_sum):

 Time (%)  Total Time (ns)  Instances    Avg (ns)      Med (ns)     Min (ns)    Max (ns)   StdDev (ns)                                                  Name                                                
 --------  ---------------  ---------  ------------  ------------  ----------  ----------  -----------  ----------------------------------------------------------------------------------------------------
     95.1   10,161,472,226        200  50,807,361.1  50,813,968.5  50,504,095  51,160,231     62,574.8  void Kokkos::Impl::cuda_parallel_launch_local_memory<Kokkos::Impl::ParallelFor<SPARTA_NS::UpdateKok…
      2.8      299,772,845        203   1,476,713.5   1,421,889.0   1,380,449   1,898,017    119,415.8  void Kokkos::Impl::cuda_parallel_launch_local_memory<Kokkos::Impl::ParallelFor<SPARTA_NS::ParticleK…
      1.0      110,365,390        200     551,826.9     560,480.0     143,776     625,217     51,962.5  void Kokkos::Impl::cuda_parallel_launch_local_memory<Kokkos::Impl::ParallelFor<SPARTA_NS::CollideVS…
      0.6       64,745,573        400     161,863.9     158,224.0     121,440     187,328     13,073.4  void Kokkos::Impl::cuda_parallel_launch_local_memory<Kokkos::Impl::ParallelFor<SPARTA_NS::FixEmitSu…
      0.2       25,537,422         64     399,022.2     118,976.0       3,392   2,305,794    572,311.5  void Kokkos::Impl::cuda_parallel_launch_local_memory<Kokkos::Impl::ParallelFor<Kokkos::Impl::ViewCo…
      0.1        7,627,366        400      19,068.4      19,040.0      17,504      21,344        728.1  void Kokkos::Impl::cuda_parallel_launch_local_memory<Kokkos::Impl::ParallelReduce<Kokkos::Impl::Com…
      0.1        5,835,616      1,600       3,647.3       3,728.0       2,752       5,248        610.8  void Kokkos::Impl::cuda_parallel_launch_local_memory<Kokkos::Impl::ParallelScan<SPARTA_NS::ExclScan…
      0.0        2,629,860        400       6,574.6       6,736.0       5,504       8,160        712.0  void Kokkos::Impl::cuda_parallel_launch_local_memory<Kokkos::Impl::ParallelFor<SPARTA_NS::FixEmitSu…
      0.0        2,033,281          3     677,760.3     675,808.0     674,849     682,624      4,239.3  void Kokkos::Impl::cuda_parallel_launch_local_memory<Kokkos::Impl::ParallelReduce<Kokkos::Impl::Com…
      0.0        1,828,832        400       4,572.1       4,544.0       4,288       5,728        176.1  void Kokkos::Impl::cuda_parallel_launch_local_memory<Kokkos::Impl::ParallelFor<SPARTA_NS::FixEmitSu…
      0.0        1,796,640        400       4,491.6       4,480.0       4,192       5,312        179.1  void Kokkos::Impl::cuda_parallel_launch_local_memory<Kokkos::Impl::ParallelFor<SPARTA_NS::FixEmitSu…
      0.0          656,576        200       3,282.9       3,264.0       3,136       3,552         62.8  void Kokkos::Impl::cuda_parallel_launch_local_memory<Kokkos::Impl::ParallelFor<SPARTA_NS::ParticleK…
      0.0          622,976        200       3,114.9       3,104.0       2,944       3,328         85.3  void Kokkos::Impl::cuda_parallel_launch_local_memory<Kokkos::Impl::ParallelFor<SPARTA_NS::CommKokko…
      0.0           16,416         10       1,641.6       1,168.0       1,056       3,424        942.1  void Kokkos::Impl::cuda_parallel_launch_local_memory<Kokkos::Impl::ParallelFor<Kokkos::Impl::ViewFi…
      0.0           12,736          1      12,736.0      12,736.0      12,736      12,736          0.0  desul::<unnamed>::init_lock_arrays_cuda_kernel()                                                    
      0.0            7,264          1       7,264.0       7,264.0       7,264       7,264          0.0  void Kokkos::Impl::cuda_parallel_launch_local_memory<Kokkos::Impl::ParallelFor<SPARTA_NS::CollideVS…
      0.0            1,440          1       1,440.0       1,440.0       1,440       1,440          0.0  Kokkos::Impl::<unnamed>::query_cuda_kernel_arch(int *)                                              

