timestamp, index, utilization.gpu [%], utilization.memory [%], memory.used [MiB], power.draw [W]
2026/09/22 14:34:24.568, 0, 0 %, 0 %, 116 MiB, 80.20 W
2026/09/22 14:34:25.568, 0, 0 %, 0 %, 120 MiB, 80.27 W
2026/09/22 14:34:26.568, 0, 0 %, 0 %, 675 MiB, 85.42 W
2026/09/22 14:34:27.568, 0, 0 %, 0 %, 741 MiB, 121.23 W
2026/09/22 14:34:28.568, 0, 16 %, 0 %, 1215 MiB, 123.82 W
2026/09/22 14:34:29.568, 0, 20 %, 1 %, 2401 MiB, 124.68 W
2026/09/22 14:34:30.569, 0, 24 %, 1 %, 2035 MiB, 125.75 W
2026/09/22 14:34:31.569, 0, 10 %, 0 %, 2433 MiB, 124.84 W
2026/09/22 14:34:32.569, 0, 37 %, 1 %, 2769 MiB, 124.70 W
2026/09/22 14:34:33.569, 0, 33 %, 1 %, 3175 MiB, 124.76 W
2026/09/22 14:34:34.569, 0, 31 %, 1 %, 3667 MiB, 126.14 W
2026/09/22 14:34:35.570, 0, 8 %, 0 %, 4147 MiB, 122.36 W
2026/09/22 14:34:36.570, 0, 95 %, 4 %, 4841 MiB, 166.73 W
2026/09/22 14:34:37.570, 0, 96 %, 4 %, 5409 MiB, 180.15 W
2026/09/22 14:34:38.570, 0, 96 %, 4 %, 4841 MiB, 181.52 W
2026/09/22 14:34:39.570, 0, 97 %, 4 %, 4841 MiB, 186.46 W
2026/09/22 14:34:40.570, 0, 96 %, 4 %, 4841 MiB, 186.44 W
2026/09/22 14:34:41.570, 0, 96 %, 4 %, 4841 MiB, 186.87 W
2026/09/22 14:34:42.570, 0, 97 %, 4 %, 4841 MiB, 182.81 W
2026/09/22 14:34:43.571, 0, 94 %, 4 %, 4841 MiB, 189.01 W
2026/09/22 14:34:44.571, 0, 94 %, 4 %, 4841 MiB, 186.94 W
2026/09/22 14:34:45.571, 0, 93 %, 4 %, 5409 MiB, 189.12 W
2026/09/22 14:34:46.571, 0, 94 %, 4 %, 4841 MiB, 190.27 W
2026/09/22 14:34:47.571, 0, 68 %, 3 %, 4841 MiB, 183.13 W
2026/09/22 14:34:48.571, 0, 94 %, 4 %, 4841 MiB, 189.36 W
2026/09/22 14:34:49.571, 0, 96 %, 4 %, 4841 MiB, 189.09 W
2026/09/22 14:34:50.571, 0, 97 %, 4 %, 4841 MiB, 189.99 W
2026/09/22 14:34:51.572, 0, 96 %, 4 %, 4841 MiB, 191.17 W
2026/09/22 14:34:52.572, 0, 96 %, 4 %, 4973 MiB, 191.54 W
2026/09/22 14:34:53.572, 0, 75 %, 3 %, 4973 MiB, 184.54 W
2026/09/22 14:34:54.572, 0, 94 %, 4 %, 4973 MiB, 190.04 W
2026/09/22 14:34:55.572, 0, 97 %, 4 %, 4973 MiB, 188.85 W
2026/09/22 14:34:56.572, 0, 90 %, 4 %, 4973 MiB, 189.15 W
2026/09/22 14:34:57.572, 0, 93 %, 4 %, 4973 MiB, 190.12 W
2026/09/22 14:34:58.572, 0, 95 %, 5 %, 4973 MiB, 190.99 W
2026/09/22 14:34:59.573, 0, 93 %, 4 %, 4973 MiB, 184.43 W
2026/09/22 14:35:00.573, 0, 84 %, 4 %, 4973 MiB, 189.57 W
2026/09/22 14:35:01.573, 0, 81 %, 4 %, 5673 MiB, 175.47 W
2026/09/22 14:35:02.574, 0, 20 %, 1 %, 5673 MiB, 125.71 W
2026/09/22 14:35:03.596, 0, 55 %, 2 %, 143185 MiB, 179.79 W
2026/09/22 14:35:04.596, 0, 43 %, 5 %, 4973 MiB, 141.69 W
2026/09/22 14:35:05.600, 0, 0 %, 0 %, 4973 MiB, 128.19 W
2026/09/22 14:35:06.605, 0, 0 %, 0 %, 4992 MiB, 121.82 W
2026/09/22 14:35:07.606, 0, 0 %, 0 %, 143185 MiB, 176.20 W
2026/09/22 14:35:08.606, 0, 0 %, 0 %, 4962 MiB, 132.35 W
2026/09/22 14:35:09.607, 0, 0 %, 0 %, 4960 MiB, 121.22 W
2026/09/22 14:35:10.621, 0, 0 %, 0 %, 120 MiB, 107.80 W
2026/09/22 14:35:11.621, 0, 0 %, 0 %, 120 MiB, 81.13 W
2026/09/22 14:35:12.623, 0, 0 %, 0 %, 120 MiB, 80.46 W
2026/09/22 14:35:13.624, 0, 0 %, 0 %, 120 MiB, 80.41 W
2026/09/22 14:35:14.624, 0, 0 %, 0 %, 116 MiB, 80.41 W
