
NOTICE: Existing SQLite export found: /hpc/data/cfd-students/nnoventa/sparta/nicola/results/sparta_nsys_h200_1211918_np30000000_ro0_h200/nsys_rank0.sqlite
        It is assumed file was previously exported from: /hpc/data/cfd-students/nnoventa/sparta/nicola/results/sparta_nsys_h200_1211918_np30000000_ro0_h200/nsys_rank0.nsys-rep
        Consider using --force-export=true if needed.

Processing [/hpc/data/cfd-students/nnoventa/sparta/nicola/results/sparta_nsys_h200_1211918_np30000000_ro0_h200/nsys_rank0.sqlite] with [/cm/shared/apps/cuda12.8/visual-tools/12.8.1/nsight-systems/2024.6.2/host-linux-x64/reports/cuda_api_sum.py]... 

 ** CUDA API Summary (cuda_api_sum):

 Time (%)  Total Time (ns)  Num Calls   Avg (ns)     Med (ns)    Min (ns)    Max (ns)    StdDev (ns)                Name               
 --------  ---------------  ---------  -----------  -----------  ---------  -----------  -----------  ---------------------------------
     80.3   22,613,726,695     53,979    418,935.6      1,630.0      1,410   62,815,406  4,509,250.5  cudaDeviceSynchronize            
     15.4    4,328,192,993     11,106    389,716.6     10,309.0      2,730  220,568,141  6,146,237.1  cudaMemcpy                       
      3.1      870,422,690    297,167      2,929.1      2,710.0      2,600    2,961,197      8,478.7  cuMemGetInfo_v2                  
      0.5      135,921,021      4,862     27,955.8      3,320.0      1,400   21,376,838    311,598.5  cudaMalloc                       
      0.4      114,184,117      4,671     24,445.3      3,930.0      2,900    1,429,389     59,609.9  cudaFree                         
      0.1       36,055,466      7,794      4,626.1      2,290.0      1,390      680,744     17,963.6  cudaStreamSynchronize            
      0.1       29,059,072      9,761      2,977.1      2,350.0      1,830    1,298,270     13,385.5  cudaLaunchKernel                 
      0.0       12,674,129      4,884      2,595.0      1,680.0      1,300      279,058      7,825.8  cudaMemcpyAsync                  
      0.0       10,304,034      4,291      2,401.3      2,360.0      1,030       33,849      1,509.6  cudaMemsetAsync                  
      0.0        2,071,874          1  2,071,874.0  2,071,874.0  2,071,874    2,071,874          0.0  cudaGetDeviceProperties_v2_v12000
      0.0          363,797          2    181,898.5    181,898.5      1,880      361,917    254,584.6  cudaHostAlloc                    
      0.0          266,767         18     14,820.4      6,385.0      4,730       89,909     20,964.3  cudaMemcpyToSymbol               
      0.0           71,989          1     71,989.0     71,989.0     71,989       71,989          0.0  cudaStreamCreate                 
      0.0           11,030          2      5,515.0      5,515.0      2,280        8,750      4,575.0  cudaMemset                       
      0.0            2,650          1      2,650.0      2,650.0      2,650        2,650          0.0  cudaMallocHost                   
      0.0            1,990          1      1,990.0      1,990.0      1,990        1,990          0.0  cudaEventCreateWithFlags         
      0.0            1,890          1      1,890.0      1,890.0      1,890        1,890          0.0  cuModuleGetLoadingMode           

