
NOTICE: Existing SQLite export found: /hpc/data/cfd-students/nnoventa/sparta/nicola/results/sparta_nsys_h200_1211918_np30000000_ro0_h200/nsys_rank0.sqlite
        It is assumed file was previously exported from: /hpc/data/cfd-students/nnoventa/sparta/nicola/results/sparta_nsys_h200_1211918_np30000000_ro0_h200/nsys_rank0.nsys-rep
        Consider using --force-export=true if needed.

Processing [/hpc/data/cfd-students/nnoventa/sparta/nicola/results/sparta_nsys_h200_1211918_np30000000_ro0_h200/nsys_rank0.sqlite] with [/cm/shared/apps/cuda12.8/visual-tools/12.8.1/nsight-systems/2024.6.2/host-linux-x64/reports/osrt_sum.py]... 

 ** OS Runtime Summary (osrt_sum):

 Time (%)  Total Time (ns)  Num Calls     Avg (ns)         Med (ns)        Min (ns)        Max (ns)       StdDev (ns)              Name          
 --------  ---------------  ---------  ---------------  ---------------  -------------  --------------  ---------------  ------------------------
     26.6   37,131,766,067        385     96,446,145.6    100,105,168.0          1,690     105,148,247     18,012,459.3  poll                    
     25.8   36,000,533,139          9  4,000,059,237.7  4,000,059,998.0  4,000,054,068   4,000,066,448          4,307.2  sem_timedwait           
     24.7   34,526,966,647          7  4,932,423,806.7  5,524,132,153.0     39,654,132  11,739,655,232  3,843,161,299.3  sem_wait                
     19.2   26,745,122,004        177    151,102,384.2         17,330.0          1,000  15,016,745,258  1,428,071,908.9  read                    
      2.4    3,372,858,502    320,077         10,537.6          2,390.0          1,000     522,244,941      1,072,476.1  ioctl                   
      1.2    1,710,522,594        126     13,575,576.1      1,707,816.5          1,030     662,051,000     61,457,157.3  epoll_wait              
      0.0       24,710,156        121        204,216.2          2,980.0          1,000      11,891,965      1,473,957.9  fopen                   
      0.0       14,422,696        553         26,080.8          1,900.0          1,000      13,053,835        555,005.6  open                    
      0.0       13,638,751        192         71,035.2          6,165.0          1,210       8,124,305        591,898.0  write                   
      0.0       12,392,430      3,200          3,872.6          4,070.0          1,010          34,430          1,645.8  fgets                   
      0.0        5,055,110          1      5,055,110.0      5,055,110.0      5,055,110       5,055,110              0.0  nanosleep               
      0.0        4,963,891         11        451,262.8         13,200.0          5,820       4,096,817      1,214,941.8  pthread_cond_wait       
      0.0        4,255,305         10        425,530.5         15,204.5          1,530       2,337,971        860,000.1  fwrite                  
      0.0        3,957,849         11        359,804.5          3,020.0          2,610       3,924,389      1,182,239.3  pthread_cond_broadcast  
      0.0        2,530,680        227         11,148.4         10,890.0          3,300          19,620          1,279.6  recvmsg                 
      0.0        2,289,342          7        327,048.9         30,600.0          1,300       2,141,583        800,246.4  writev                  
      0.0          957,702          8        119,712.8         95,309.0         74,979         243,008         57,458.5  pthread_create          
      0.0          954,442          6        159,073.7          3,170.0          2,910         875,363        351,833.8  pthread_mutex_lock      
      0.0          856,083          2        428,041.5        428,041.5        261,948         594,135        234,891.7  waitpid                 
      0.0          615,055          4        153,763.8        153,768.5        152,009         155,509          1,765.7  usleep                  
      0.0          606,825         29         20,925.0          3,360.0          1,960         320,607         59,666.5  mmap64                  
      0.0          421,377         69          6,106.9          1,840.0          1,120          27,029          6,055.8  sendmsg                 
      0.0          294,929         50          5,898.6          2,260.0          1,630          16,170          5,023.6  openat                  
      0.0          254,978          2        127,489.0        127,489.0         83,049         171,929         62,847.7  posix_spawn             
      0.0          232,668          8         29,083.5         20,175.0          2,740          79,059         27,730.3  fputs                   
      0.0          200,298         30          6,676.6          5,830.0          1,050          13,530          3,718.0  shmget                  
      0.0          182,878         22          8,312.6          1,995.0          1,020          63,679         17,807.0  fclose                  
      0.0          121,089          4         30,272.3         14,995.0         12,650          78,449         32,145.7  connect                 
      0.0          106,388         34          3,129.1          1,735.0          1,010          23,230          4,245.3  socket                  
      0.0           89,460          2         44,730.0         44,730.0          2,870          86,590         59,199.0  send                    
      0.0           88,110         44          2,002.5          1,580.0          1,000          10,220          1,507.2  open64                  
