timestamp, index, utilization.gpu [%], utilization.memory [%], memory.used [MiB], power.draw [W]
2026/09/23 10:34:17.698, 0, 0 %, 0 %, 116 MiB, 79.65 W
2026/09/23 10:34:18.700, 0, 0 %, 0 %, 120 MiB, 79.32 W
2026/09/23 10:34:19.707, 0, 0 %, 0 %, 120 MiB, 79.55 W
2026/09/23 10:34:20.707, 0, 0 %, 0 %, 699 MiB, 117.38 W
2026/09/23 10:34:21.707, 0, 18 %, 1 %, 1381 MiB, 123.03 W
2026/09/23 10:34:22.707, 0, 14 %, 0 %, 1511 MiB, 125.01 W
2026/09/23 10:34:23.707, 0, 14 %, 0 %, 1925 MiB, 125.69 W
2026/09/23 10:34:24.708, 0, 32 %, 1 %, 2287 MiB, 125.56 W
2026/09/23 10:34:25.708, 0, 22 %, 1 %, 4531 MiB, 126.15 W
2026/09/23 10:34:26.708, 0, 32 %, 1 %, 5307 MiB, 125.75 W
2026/09/23 10:34:27.708, 0, 2 %, 0 %, 6247 MiB, 124.03 W
2026/09/23 10:34:28.708, 0, 32 %, 1 %, 4147 MiB, 124.34 W
2026/09/23 10:34:29.708, 0, 87 %, 14 %, 5409 MiB, 183.47 W
2026/09/23 10:34:30.709, 0, 84 %, 12 %, 4841 MiB, 270.97 W
2026/09/23 10:34:31.709, 0, 70 %, 6 %, 4841 MiB, 258.15 W
2026/09/23 10:34:32.709, 0, 89 %, 12 %, 5409 MiB, 273.50 W
2026/09/23 10:34:33.709, 0, 63 %, 5 %, 5409 MiB, 245.44 W
2026/09/23 10:34:34.762, 0, 82 %, 11 %, 4841 MiB, 267.81 W
2026/09/23 10:34:35.762, 0, 91 %, 13 %, 4979 MiB, 271.64 W
2026/09/23 10:34:36.762, 0, 79 %, 11 %, 5685 MiB, 262.85 W
2026/09/23 10:34:37.762, 0, 82 %, 11 %, 4979 MiB, 281.23 W
2026/09/23 10:34:38.762, 0, 63 %, 5 %, 4979 MiB, 257.54 W
2026/09/23 10:34:39.762, 0, 87 %, 12 %, 4979 MiB, 279.64 W
2026/09/23 10:34:40.762, 0, 84 %, 12 %, 4979 MiB, 264.86 W
2026/09/23 10:34:41.763, 0, 91 %, 13 %, 4979 MiB, 276.91 W
2026/09/23 10:34:42.763, 0, 83 %, 11 %, 4979 MiB, 280.21 W
2026/09/23 10:34:43.763, 0, 84 %, 12 %, 4979 MiB, 258.00 W
2026/09/23 10:34:44.763, 0, 84 %, 12 %, 4979 MiB, 283.87 W
2026/09/23 10:34:45.763, 0, 91 %, 13 %, 4979 MiB, 263.97 W
2026/09/23 10:34:46.763, 0, 91 %, 12 %, 4979 MiB, 278.86 W
2026/09/23 10:34:47.763, 0, 54 %, 4 %, 4979 MiB, 250.89 W
