
NOTICE: Existing SQLite export found: /hpc/data/cfd-students/nnoventa/sparta/nicola/results/sparta_nsys_h200_1214925_np30000000_ro0_reduce/nsys_rank0.sqlite
        It is assumed file was previously exported from: /hpc/data/cfd-students/nnoventa/sparta/nicola/results/sparta_nsys_h200_1214925_np30000000_ro0_reduce/nsys_rank0.nsys-rep
        Consider using --force-export=true if needed.

Processing [/hpc/data/cfd-students/nnoventa/sparta/nicola/results/sparta_nsys_h200_1214925_np30000000_ro0_reduce/nsys_rank0.sqlite] with [/cm/shared/apps/cuda12.8/visual-tools/12.8.1/nsight-systems/2024.6.2/host-linux-x64/reports/cuda_api_sum.py]... 

 ** CUDA API Summary (cuda_api_sum):

 Time (%)  Total Time (ns)  Num Calls   Avg (ns)     Med (ns)    Min (ns)     Max (ns)     StdDev (ns)                 Name               
 --------  ---------------  ---------  -----------  -----------  ---------  -------------  ------------  ---------------------------------
     52.2   22,794,568,331     27,955    815,402.2      2,270.0      1,400     32,304,539   3,282,215.9  cudaStreamSynchronize            
     13.2    5,768,922,642     37,974    151,917.7     10,380.0      2,700    241,932,583   3,926,117.2  cudaMemcpy                       
     12.7    5,521,727,342    948,422      5,822.0      2,720.0      2,530    129,201,326     275,441.8  cuMemGetInfo_v2                  
     12.5    5,433,234,593     13,910    390,599.2      4,010.0      2,830  1,045,976,274  16,600,592.1  cudaFree                         
      6.7    2,931,774,865    171,642     17,080.8      1,630.0      1,430     23,881,452     192,322.6  cudaDeviceSynchronize            
      2.2      968,097,052     14,101     68,654.5      3,450.0      1,330    134,187,544   1,626,167.6  cudaMalloc                       
      0.3      149,326,277     33,529      4,453.6      2,330.0      1,780     27,436,709     180,647.0  cudaLaunchKernel                 
      0.1       32,908,704     14,122      2,330.3      1,660.0      1,300        274,108       4,915.7  cudaMemcpyAsync                  
      0.1       31,919,401     12,482      2,557.2      2,400.0      1,020         46,970       1,877.1  cudaMemsetAsync                  
      0.0        2,052,397          1  2,052,397.0  2,052,397.0  2,052,397      2,052,397           0.0  cudaGetDeviceProperties_v2_v12000
      0.0          385,537          2    192,768.5    192,768.5      2,380        383,157     269,250.0  cudaHostAlloc                    
      0.0          364,169         18     20,231.6      6,120.0      4,850        130,149      31,559.2  cudaMemcpyToSymbol               
      0.0           80,769          1     80,769.0     80,769.0     80,769         80,769           0.0  cudaStreamCreate                 
      0.0           11,190          2      5,595.0      5,595.0      2,380          8,810       4,546.7  cudaMemset                       
      0.0            3,550          1      3,550.0      3,550.0      3,550          3,550           0.0  cudaMallocHost                   
      0.0            2,940          1      2,940.0      2,940.0      2,940          2,940           0.0  cudaEventCreateWithFlags         
      0.0            1,820          1      1,820.0      1,820.0      1,820          1,820           0.0  cuModuleGetLoadingMode           

