
NOTICE: Existing SQLite export found: /hpc/data/cfd-students/nnoventa/sparta/nicola/results/sparta_nsys_h200_1214925_np30000000_ro0_reduce/nsys_rank0.sqlite
        It is assumed file was previously exported from: /hpc/data/cfd-students/nnoventa/sparta/nicola/results/sparta_nsys_h200_1214925_np30000000_ro0_reduce/nsys_rank0.nsys-rep
        Consider using --force-export=true if needed.

Processing [/hpc/data/cfd-students/nnoventa/sparta/nicola/results/sparta_nsys_h200_1214925_np30000000_ro0_reduce/nsys_rank0.sqlite] with [/cm/shared/apps/cuda12.8/visual-tools/12.8.1/nsight-systems/2024.6.2/host-linux-x64/reports/cuda_gpu_kern_sum.py]... 
Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
83.9,20870186653,1453,14363514.6,14542661.0,9061940,15066277,627310.6,"void Kokkos::Impl::cuda_parallel_launch_local_memory<Kokkos::Impl::ParallelReduce<Kokkos::Impl::CombinedFunctorReducer<SPARTA_NS::UpdateKokkos, Kokkos::Impl::FunctorAnalysis<Kokkos::Impl::FunctorPatternInterface::REDUCE, Kokkos::RangePolicy<Kokkos::Cuda, SPARTA_NS::TagUpdateMove<(int)3, (int)1, (int)0, (int)0, (int)-1>>, SPARTA_NS::UpdateKokkos, SPARTA_NS::s_UPDATE_REDUCE>::Reducer, void>, Kokkos::RangePolicy<Kokkos::Cuda, SPARTA_NS::TagUpdateMove<(int)3, (int)1, (int)0, (int)0, (int)-1>>, Kokkos::Cuda>>(T1)"
8.1,2012086848,1457,1380979.3,1366116.0,1350403,1884805,60148.3,"void Kokkos::Impl::cuda_parallel_launch_local_memory<Kokkos::Impl::ParallelFor<SPARTA_NS::ParticleKokkos, Kokkos::RangePolicy<Kokkos::Cuda, SPARTA_NS::TagParticleSort<(int)1, (int)0>>, Kokkos::Cuda>>(T1)"
5.4,1338730679,1453,921356.3,924386.0,205217,1023234,33686.7,"void Kokkos::Impl::cuda_parallel_launch_local_memory<Kokkos::Impl::ParallelReduce<Kokkos::Impl::CombinedFunctorReducer<SPARTA_NS::CollideVSSKokkos, Kokkos::Impl::FunctorAnalysis<Kokkos::Impl::FunctorPatternInterface::REDUCE, Kokkos::RangePolicy<Kokkos::Cuda, SPARTA_NS::TagCollideCollisionsOne<(int)1, (int)0, (int)-1>>, SPARTA_NS::CollideVSSKokkos, SPARTA_NS::s_COLLIDE_REDUCE>::Reducer, void>, Kokkos::RangePolicy<Kokkos::Cuda, SPARTA_NS::TagCollideCollisionsOne<(int)1, (int)0, (int)-1>>, Kokkos::Cuda>>(T1)"
1.9,463914878,2908,159530.6,157233.0,112800,201888,24635.6,"void Kokkos::Impl::cuda_parallel_launch_local_memory<Kokkos::Impl::ParallelFor<SPARTA_NS::FixEmitSurfKokkos, Kokkos::RangePolicy<Kokkos::Cuda, SPARTA_NS::TagFixEmitSurf_subsonic_grid>, Kokkos::Cuda>>(T1)"
0.2,55625534,2907,19135.0,19072.0,17280,24096,835.5,"void Kokkos::Impl::cuda_parallel_launch_local_memory<Kokkos::Impl::ParallelReduce<Kokkos::Impl::CombinedFunctorReducer<SPARTA_NS::FixEmitSurfKokkos, Kokkos::Impl::FunctorAnalysis<Kokkos::Impl::FunctorPatternInterface::REDUCE, Kokkos::RangePolicy<Kokkos::Cuda, SPARTA_NS::TagFixEmitSurf_perform_task>, SPARTA_NS::FixEmitSurfKokkos, int>::Reducer, void>, Kokkos::RangePolicy<Kokkos::Cuda, SPARTA_NS::TagFixEmitSurf_perform_task>, Kokkos::Cuda>>(T1)"
0.2,42769186,11630,3677.5,3744.0,2752,5344,633.5,"void Kokkos::Impl::cuda_parallel_launch_local_memory<Kokkos::Impl::ParallelScan<SPARTA_NS::ExclScan<Kokkos::Cuda>, Kokkos::RangePolicy<Kokkos::Cuda>, Kokkos::Cuda>>(T1)"
0.1,25541532,64,399086.4,119168.0,3393,2308357,572282.5,"void Kokkos::Impl::cuda_parallel_launch_local_memory<Kokkos::Impl::ParallelFor<Kokkos::Impl::ViewCopy<Kokkos::View<SPARTA_NS::Particle::OnePart *, Kokkos::LayoutLeft, Kokkos::Device<Kokkos::Cuda, Kokkos::AnonymousSpace>, Kokkos::MemoryTraits<(unsigned int)0>>, Kokkos::View<const SPARTA_NS::Particle::OnePart *, Kokkos::LayoutLeft, Kokkos::Device<Kokkos::Cuda, Kokkos::AnonymousSpace>, Kokkos::MemoryTraits<(unsigned int)0>>, Kokkos::LayoutLeft, Kokkos::Cuda, (int)1, int>, Kokkos::RangePolicy<Kokkos::Cuda, Kokkos::IndexType<int>>, Kokkos::Cuda>>(T1)"
0.1,19365937,2908,6659.5,6672.0,5440,8800,834.5,"void Kokkos::Impl::cuda_parallel_launch_local_memory<Kokkos::Impl::ParallelFor<SPARTA_NS::FixEmitSurfKokkos, Kokkos::RangePolicy<Kokkos::Cuda, SPARTA_NS::TagFixEmitSurf_subsonic_inflow>, Kokkos::Cuda>>(T1)"
0.1,13293276,2907,4572.9,4544.0,4192,5952,183.3,"void Kokkos::Impl::cuda_parallel_launch_local_memory<Kokkos::Impl::ParallelFor<SPARTA_NS::FixEmitSurfKokkos, Kokkos::RangePolicy<Kokkos::Cuda, SPARTA_NS::TagFixEmitSurf_insert_particles<(int)1>>, Kokkos::Cuda>>(T1)"
0.1,12923814,2908,4444.2,4416.0,4192,5312,143.1,"void Kokkos::Impl::cuda_parallel_launch_local_memory<Kokkos::Impl::ParallelFor<SPARTA_NS::FixEmitSurfKokkos, Kokkos::RangePolicy<Kokkos::Cuda, SPARTA_NS::TagFixEmitSurf_ninsert>, Kokkos::Cuda>>(T1)"
