
NOTICE: Existing SQLite export found: /hpc/data/cfd-students/nnoventa/sparta/nicola/results/sparta_nsys_h200_1214925_np30000000_ro0_reduce/nsys_rank0.sqlite
        It is assumed file was previously exported from: /hpc/data/cfd-students/nnoventa/sparta/nicola/results/sparta_nsys_h200_1214925_np30000000_ro0_reduce/nsys_rank0.nsys-rep
        Consider using --force-export=true if needed.

Processing [/hpc/data/cfd-students/nnoventa/sparta/nicola/results/sparta_nsys_h200_1214925_np30000000_ro0_reduce/nsys_rank0.sqlite] with [/cm/shared/apps/cuda12.8/visual-tools/12.8.1/nsight-systems/2024.6.2/host-linux-x64/reports/mpi_event_sum.py]... 
Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Source,Name
99.3,873471469,1,873471469.0,873471469.0,873471469,873471469,0.0,other,MPI_Init
0.4,3717353,4738,784.6,570.0,70,74390,1936.7,collectives,MPI_Allreduce
0.1,866465,1554,557.6,260.0,140,218428,6115.5,collectives,MPI_Barrier
0.1,796515,1,796515.0,796515.0,796515,796515,0.0,collectives,MPI_Alltoallv
0.0,276739,3,92246.3,540.0,330,275869,159021.9,collectives,MPI_Allgatherv
0.0,193127,10,19312.7,3105.0,390,66249,25522.3,collectives,MPI_Reduce_scatter
0.0,113567,319,356.0,190.0,70,15439,1109.9,collectives,MPI_Bcast
0.0,29380,1,29380.0,29380.0,29380,29380,0.0,collectives,MPI_Scan
0.0,9000,4,2250.0,2080.0,1350,3490,1032.7,collectives,MPI_Allgather
0.0,3880,1,3880.0,3880.0,3880,3880,0.0,collectives,MPI_Alltoall

