
NOTICE: Existing SQLite export found: /hpc/data/cfd-students/nnoventa/sparta/nicola/results/sparta_nsys_h200_1214925_np30000000_ro0_reduce/nsys_rank0.sqlite
        It is assumed file was previously exported from: /hpc/data/cfd-students/nnoventa/sparta/nicola/results/sparta_nsys_h200_1214925_np30000000_ro0_reduce/nsys_rank0.nsys-rep
        Consider using --force-export=true if needed.

Processing [/hpc/data/cfd-students/nnoventa/sparta/nicola/results/sparta_nsys_h200_1214925_np30000000_ro0_reduce/nsys_rank0.sqlite] with [/cm/shared/apps/cuda12.8/visual-tools/12.8.1/nsight-systems/2024.6.2/host-linux-x64/reports/mpi_event_sum.py]... 

 ** MPI Event Summary (mpi_event_sum):

 Time (%)  Total Time (ns)  Instances    Avg (ns)       Med (ns)      Min (ns)     Max (ns)    StdDev (ns)    Source            Name       
 --------  ---------------  ---------  -------------  -------------  -----------  -----------  -----------  -----------  ------------------
     99.3      873,471,469          1  873,471,469.0  873,471,469.0  873,471,469  873,471,469          0.0  other        MPI_Init          
      0.4        3,717,353      4,738          784.6          570.0           70       74,390      1,936.7  collectives  MPI_Allreduce     
      0.1          866,465      1,554          557.6          260.0          140      218,428      6,115.5  collectives  MPI_Barrier       
      0.1          796,515          1      796,515.0      796,515.0      796,515      796,515          0.0  collectives  MPI_Alltoallv     
      0.0          276,739          3       92,246.3          540.0          330      275,869    159,021.9  collectives  MPI_Allgatherv    
      0.0          193,127         10       19,312.7        3,105.0          390       66,249     25,522.3  collectives  MPI_Reduce_scatter
      0.0          113,567        319          356.0          190.0           70       15,439      1,109.9  collectives  MPI_Bcast         
      0.0           29,380          1       29,380.0       29,380.0       29,380       29,380          0.0  collectives  MPI_Scan          
      0.0            9,000          4        2,250.0        2,080.0        1,350        3,490      1,032.7  collectives  MPI_Allgather     
      0.0            3,880          1        3,880.0        3,880.0        3,880        3,880          0.0  collectives  MPI_Alltoall      

