
NOTICE: Existing SQLite export found: /hpc/data/cfd-students/nnoventa/sparta/nicola/results/sparta_nsys_h200_1214925_np30000000_ro0_reduce/nsys_rank0.sqlite
        It is assumed file was previously exported from: /hpc/data/cfd-students/nnoventa/sparta/nicola/results/sparta_nsys_h200_1214925_np30000000_ro0_reduce/nsys_rank0.nsys-rep
        Consider using --force-export=true if needed.

Processing [/hpc/data/cfd-students/nnoventa/sparta/nicola/results/sparta_nsys_h200_1214925_np30000000_ro0_reduce/nsys_rank0.sqlite] with [/cm/shared/apps/cuda12.8/visual-tools/12.8.1/nsight-systems/2024.6.2/host-linux-x64/reports/osrt_sum.py]... 
Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
23.9,56169030375,575,97685270.2,100110396.0,1020,107675709,14675148.7,poll
23.9,56000977445,14,4000069817.5,4000062805.5,4000056551,4000094690,13704.1,sem_timedwait
22.8,53431309382,195,274006714.8,16970.0,1000,15016912218,1942539449.9,read
21.6,50798125841,18,2822118102.3,2146973805.0,40016191,10198819124,2638362180.2,sem_wait
6.9,16298157337,1002985,16249.7,2390.0,1000,1045145409,2305423.8,ioctl
0.8,1821750357,125,14574002.9,1743649.0,1070,731195115,67708601.5,epoll_wait
0.0,44079938,115,383303.8,3400.0,1010,11899056,1868616.6,fopen
0.0,20200527,564,35816.5,2145.0,1000,18623544,784080.2,open
0.0,14628028,3198,4574.1,4130.0,1010,995494,21917.7,fgets
0.0,14158373,192,73741.5,8790.0,1040,8205638,598616.4,write
0.0,5055558,1,5055558.0,5055558.0,5055558,5055558,0.0,nanosleep
0.0,4106304,10,410630.4,14430.0,2760,2274176,829659.5,fwrite
0.0,3863866,12,321988.8,3300.0,1390,3828056,1104125.2,pthread_cond_broadcast
0.0,2708104,11,246191.3,15520.0,5760,2447294,730518.0,pthread_cond_wait
0.0,2582432,226,11426.7,11050.0,2010,27090,1741.3,recvmsg
0.0,2286925,7,326703.6,27270.0,1210,2154187,805917.3,writev
0.0,1142503,29,39396.7,3820.0,2020,804485,148361.6,mmap64
0.0,1060593,8,132574.1,116774.0,88939,244669,51895.8,pthread_create
0.0,978995,6,163165.8,2825.0,2730,891095,357835.3,pthread_mutex_lock
0.0,869754,2,434877.0,434877.0,273798,595956,227800.1,waitpid
0.0,610785,21,29085.0,25980.0,3250,88950,19747.4,fputs
0.0,438550,85,5159.4,1840.0,1020,25200,5501.8,sendmsg
0.0,378320,50,7566.4,4995.0,1980,22870,5425.9,openat
0.0,307718,2,153859.0,153859.0,152629,155089,1739.5,usleep
0.0,306398,2,153199.0,153199.0,80779,225619,102417.3,posix_spawn
0.0,274127,26,10543.3,2155.0,1090,72350,19543.8,fclose
0.0,219139,29,7556.5,6650.0,1230,11750,2877.7,shmget
0.0,155899,1,155899.0,155899.0,155899,155899,0.0,recv
0.0,122629,44,2787.0,1950.0,1020,11170,2246.9,open64
0.0,95640,42,2277.1,1550.0,1010,7880,1603.4,socket
0.0,92680,7,13240.0,1270.0,1040,48420,20174.3,fflush
0.0,60970,42,1451.7,1315.0,1010,2450,401.9,epoll_ctl
0.0,59470,4,14867.5,12320.0,7750,27080,8663.8,connect
0.0,43980,6,7330.0,5725.0,2990,17160,5167.6,fread
0.0,32219,21,1534.2,1270.0,1010,5519,994.9,mprotect
0.0,25250,8,3156.3,3710.0,1120,5160,1583.1,pthread_rwlock_trywrlock
0.0,17600,8,2200.0,1805.0,1080,5610,1514.7,bind
0.0,14020,4,3505.0,3275.0,3130,4340,564.2,process_vm_writev
0.0,11360,3,3786.7,4110.0,3050,4200,639.6,socketpair
0.0,11210,3,3736.7,5060.0,1070,5080,2309.4,pipe2
0.0,9280,6,1546.7,1405.0,1160,2100,420.7,mmap
0.0,9280,6,1546.7,1155.0,1000,3410,925.8,shmctl
0.0,8070,2,4035.0,4035.0,3930,4140,148.5,pipe
0.0,6330,1,6330.0,6330.0,6330,6330,0.0,shmdt
0.0,6060,2,3030.0,3030.0,1760,4300,1796.1,send
0.0,4670,1,4670.0,4670.0,4670,4670,0.0,shmat
0.0,2300,2,1150.0,1150.0,1130,1170,28.3,fcntl
0.0,2080,2,1040.0,1040.0,1040,1040,0.0,fopen64
0.0,2060,1,2060.0,2060.0,2060,2060,0.0,listen
0.0,1690,1,1690.0,1690.0,1690,1690,0.0,recvfrom
0.0,1370,1,1370.0,1370.0,1370,1370,0.0,process_vm_readv
0.0,1330,1,1330.0,1330.0,1330,1330,0.0,sigaction
0.0,1270,1,1270.0,1270.0,1270,1270,0.0,fgets_unlocked
0.0,1170,1,1170.0,1170.0,1170,1170,0.0,fputc

