
NOTICE: Existing SQLite export found: /hpc/data/cfd-students/nnoventa/sparta/nicola/results/sparta_nsys_h200_1214925_np30000000_ro0_reduce/nsys_rank0.sqlite
        It is assumed file was previously exported from: /hpc/data/cfd-students/nnoventa/sparta/nicola/results/sparta_nsys_h200_1214925_np30000000_ro0_reduce/nsys_rank0.nsys-rep
        Consider using --force-export=true if needed.

Processing [/hpc/data/cfd-students/nnoventa/sparta/nicola/results/sparta_nsys_h200_1214925_np30000000_ro0_reduce/nsys_rank0.sqlite] with [/cm/shared/apps/cuda12.8/visual-tools/12.8.1/nsight-systems/2024.6.2/host-linux-x64/reports/osrt_sum.py]... 

 ** OS Runtime Summary (osrt_sum):

 Time (%)  Total Time (ns)  Num Calls     Avg (ns)         Med (ns)        Min (ns)        Max (ns)       StdDev (ns)              Name          
 --------  ---------------  ---------  ---------------  ---------------  -------------  --------------  ---------------  ------------------------
     23.9   56,169,030,375        575     97,685,270.2    100,110,396.0          1,020     107,675,709     14,675,148.7  poll                    
     23.9   56,000,977,445         14  4,000,069,817.5  4,000,062,805.5  4,000,056,551   4,000,094,690         13,704.1  sem_timedwait           
     22.8   53,431,309,382        195    274,006,714.8         16,970.0          1,000  15,016,912,218  1,942,539,449.9  read                    
     21.6   50,798,125,841         18  2,822,118,102.3  2,146,973,805.0     40,016,191  10,198,819,124  2,638,362,180.2  sem_wait                
      6.9   16,298,157,337  1,002,985         16,249.7          2,390.0          1,000   1,045,145,409      2,305,423.8  ioctl                   
      0.8    1,821,750,357        125     14,574,002.9      1,743,649.0          1,070     731,195,115     67,708,601.5  epoll_wait              
      0.0       44,079,938        115        383,303.8          3,400.0          1,010      11,899,056      1,868,616.6  fopen                   
      0.0       20,200,527        564         35,816.5          2,145.0          1,000      18,623,544        784,080.2  open                    
      0.0       14,628,028      3,198          4,574.1          4,130.0          1,010         995,494         21,917.7  fgets                   
      0.0       14,158,373        192         73,741.5          8,790.0          1,040       8,205,638        598,616.4  write                   
      0.0        5,055,558          1      5,055,558.0      5,055,558.0      5,055,558       5,055,558              0.0  nanosleep               
      0.0        4,106,304         10        410,630.4         14,430.0          2,760       2,274,176        829,659.5  fwrite                  
      0.0        3,863,866         12        321,988.8          3,300.0          1,390       3,828,056      1,104,125.2  pthread_cond_broadcast  
      0.0        2,708,104         11        246,191.3         15,520.0          5,760       2,447,294        730,518.0  pthread_cond_wait       
      0.0        2,582,432        226         11,426.7         11,050.0          2,010          27,090          1,741.3  recvmsg                 
      0.0        2,286,925          7        326,703.6         27,270.0          1,210       2,154,187        805,917.3  writev                  
      0.0        1,142,503         29         39,396.7          3,820.0          2,020         804,485        148,361.6  mmap64                  
      0.0        1,060,593          8        132,574.1        116,774.0         88,939         244,669         51,895.8  pthread_create          
      0.0          978,995          6        163,165.8          2,825.0          2,730         891,095        357,835.3  pthread_mutex_lock      
      0.0          869,754          2        434,877.0        434,877.0        273,798         595,956        227,800.1  waitpid                 
      0.0          610,785         21         29,085.0         25,980.0          3,250          88,950         19,747.4  fputs                   
      0.0          438,550         85          5,159.4          1,840.0          1,020          25,200          5,501.8  sendmsg                 
      0.0          378,320         50          7,566.4          4,995.0          1,980          22,870          5,425.9  openat                  
      0.0          307,718          2        153,859.0        153,859.0        152,629         155,089          1,739.5  usleep                  
      0.0          306,398          2        153,199.0        153,199.0         80,779         225,619        102,417.3  posix_spawn             
      0.0          274,127         26         10,543.3          2,155.0          1,090          72,350         19,543.8  fclose                  
      0.0          219,139         29          7,556.5          6,650.0          1,230          11,750          2,877.7  shmget                  
      0.0          155,899          1        155,899.0        155,899.0        155,899         155,899              0.0  recv                    
      0.0          122,629         44          2,787.0          1,950.0          1,020          11,170          2,246.9  open64                  
      0.0           95,640         42          2,277.1          1,550.0          1,010           7,880          1,603.4  socket                  
      0.0           92,680          7         13,240.0          1,270.0          1,040          48,420         20,174.3  fflush                  
      0.0           60,970         42          1,451.7          1,315.0          1,010           2,450            401.9  epoll_ctl               
      0.0           59,470          4         14,867.5         12,320.0          7,750          27,080          8,663.8  connect                 
      0.0           43,980          6          7,330.0          5,725.0          2,990          17,160          5,167.6  fread                   
      0.0           32,219         21          1,534.2          1,270.0          1,010           5,519            994.9  mprotect                
      0.0           25,250          8          3,156.3          3,710.0          1,120           5,160          1,583.1  pthread_rwlock_trywrlock
      0.0           17,600          8          2,200.0          1,805.0          1,080           5,610          1,514.7  bind                    
      0.0           14,020          4          3,505.0          3,275.0          3,130           4,340            564.2  process_vm_writev       
      0.0           11,360          3          3,786.7          4,110.0          3,050           4,200            639.6  socketpair              
      0.0           11,210          3          3,736.7          5,060.0          1,070           5,080          2,309.4  pipe2                   
      0.0            9,280          6          1,546.7          1,405.0          1,160           2,100            420.7  mmap                    
      0.0            9,280          6          1,546.7          1,155.0          1,000           3,410            925.8  shmctl                  
      0.0            8,070          2          4,035.0          4,035.0          3,930           4,140            148.5  pipe                    
      0.0            6,330          1          6,330.0          6,330.0          6,330           6,330              0.0  shmdt                   
      0.0            6,060          2          3,030.0          3,030.0          1,760           4,300          1,796.1  send                    
      0.0            4,670          1          4,670.0          4,670.0          4,670           4,670              0.0  shmat                   
      0.0            2,300          2          1,150.0          1,150.0          1,130           1,170             28.3  fcntl                   
      0.0            2,080          2          1,040.0          1,040.0          1,040           1,040              0.0  fopen64                 
      0.0            2,060          1          2,060.0          2,060.0          2,060           2,060              0.0  listen                  
      0.0            1,690          1          1,690.0          1,690.0          1,690           1,690              0.0  recvfrom                
      0.0            1,370          1          1,370.0          1,370.0          1,370           1,370              0.0  process_vm_readv        
      0.0            1,330          1          1,330.0          1,330.0          1,330           1,330              0.0  sigaction               
      0.0            1,270          1          1,270.0          1,270.0          1,270           1,270              0.0  fgets_unlocked          
      0.0            1,170          1          1,170.0          1,170.0          1,170           1,170              0.0  fputc                   

