
NOTICE: Existing SQLite export found: /hpc/data/cfd-students/nnoventa/sparta/nicola/results/sparta_nsys_v100_1209335/nsys_rank0.sqlite
        It is assumed file was previously exported from: /hpc/data/cfd-students/nnoventa/sparta/nicola/results/sparta_nsys_v100_1209335/nsys_rank0.nsys-rep
        Consider using --force-export=true if needed.

Processing [/hpc/data/cfd-students/nnoventa/sparta/nicola/results/sparta_nsys_v100_1209335/nsys_rank0.sqlite] with [/cm/shared/apps/cuda12.8/visual-tools/12.8.1/nsight-systems/2024.6.2/host-linux-x64/reports/cuda_api_sum.py]... 

 ** CUDA API Summary (cuda_api_sum):

 Time (%)  Total Time (ns)  Num Calls    Avg (ns)    Med (ns)   Min (ns)    Max (ns)      StdDev (ns)                 Name               
 --------  ---------------  ---------  ------------  ---------  --------  -------------  -------------  ---------------------------------
     62.3   89,417,450,659      5,408  16,534,291.9   11,630.0     3,248  4,789,822,152  186,199,742.2  cudaMemcpy                       
     37.2   53,329,611,383     17,121   3,114,865.5    1,265.0       924    218,407,504   23,490,098.5  cudaDeviceSynchronize            
      0.2      276,385,820      2,639     104,731.3    5,766.0     3,743      4,864,152      319,336.1  cudaFree                         
      0.2      269,815,235      2,639     102,241.5    6,984.0     2,992     25,674,031      668,095.3  cudaMalloc                       
      0.1       88,190,503      4,220      20,898.2    5,738.0       877     16,202,477      423,864.1  cudaStreamSynchronize            
      0.0       37,974,611      4,698       8,083.1    5,552.5     2,940      5,027,231       79,718.9  cudaLaunchKernel                 
      0.0       24,293,091      2,661       9,129.3    4,009.0     2,419      1,707,685       65,373.3  cudaMemcpyAsync                  
      0.0       13,492,174      2,264       5,959.4    6,378.0     1,913         42,928        3,325.2  cudaMemsetAsync                  
      0.0          922,201          2     461,100.5  461,100.5     4,016        918,185      646,415.1  cudaHostAlloc                    
      0.0          603,845         18      33,546.9   11,001.5     5,427        287,669       67,837.8  cudaMemcpyToSymbol               
      0.0          437,121          3     145,707.0   80,024.0     5,458        351,639      182,197.7  cudaFreeHost                     
      0.0          149,324          1     149,324.0  149,324.0   149,324        149,324            0.0  cudaGetDeviceProperties_v2_v12000
      0.0           61,279          2      30,639.5   30,639.5    15,451         45,828       21,479.8  cudaStreamCreate                 
      0.0           16,032          2       8,016.0    8,016.0     4,812         11,220        4,531.1  cudaMemset                       
      0.0           10,799          2       5,399.5    5,399.5     4,721          6,078          959.5  cudaStreamDestroy                
      0.0            7,240          1       7,240.0    7,240.0     7,240          7,240            0.0  cudaEventCreateWithFlags         
      0.0            6,401          1       6,401.0    6,401.0     6,401          6,401            0.0  cudaMallocHost                   
      0.0            2,448          1       2,448.0    2,448.0     2,448          2,448            0.0  cudaEventDestroy                 
      0.0            1,027          1       1,027.0    1,027.0     1,027          1,027            0.0  cuModuleGetLoadingMode           

