
NOTICE: Existing SQLite export found: /hpc/data/cfd-students/nnoventa/sparta/nicola/results/sparta_nsys_v100_1209335/nsys_rank0.sqlite
        It is assumed file was previously exported from: /hpc/data/cfd-students/nnoventa/sparta/nicola/results/sparta_nsys_v100_1209335/nsys_rank0.nsys-rep
        Consider using --force-export=true if needed.

Processing [/hpc/data/cfd-students/nnoventa/sparta/nicola/results/sparta_nsys_v100_1209335/nsys_rank0.sqlite] with [/cm/shared/apps/cuda12.8/visual-tools/12.8.1/nsight-systems/2024.6.2/host-linux-x64/reports/mpi_event_sum.py]... 

 ** MPI Event Summary (mpi_event_sum):

 Time (%)  Total Time (ns)  Instances    Avg (ns)       Med (ns)      Min (ns)     Max (ns)    StdDev (ns)    Source            Name       
 --------  ---------------  ---------  -------------  -------------  -----------  -----------  -----------  -----------  ------------------
     86.7      668,151,584          1  668,151,584.0  668,151,584.0  668,151,584  668,151,584          0.0  other        MPI_Init          
     10.5       81,165,588          1   81,165,588.0   81,165,588.0   81,165,588   81,165,588          0.0  other        MPI_Finalize      
      2.0       15,243,941        774       19,695.0        5,600.0        1,831      493,412     29,120.6  collectives  MPI_Allreduce     
      0.3        2,508,416          1    2,508,416.0    2,508,416.0    2,508,416    2,508,416          0.0  collectives  MPI_Alltoallv     
      0.3        2,104,123          3      701,374.3        3,234.0        1,759    2,099,130  1,210,492.1  collectives  MPI_Allgatherv    
      0.1          826,542        240        3,443.9          832.0          254      109,245     13,617.0  collectives  MPI_Barrier       
      0.1          502,864         10       50,286.4       32,388.5        1,904      139,940     45,726.9  collectives  MPI_Reduce_scatter
      0.0          118,718        323          367.5          262.0          152        2,602        328.6  collectives  MPI_Bcast         
      0.0           29,284          1       29,284.0       29,284.0       29,284       29,284          0.0  collectives  MPI_Scan          
      0.0           22,842          4        5,710.5        5,651.5        2,193        9,346      3,428.5  collectives  MPI_Allgather     
      0.0            9,999          1        9,999.0        9,999.0        9,999        9,999          0.0  collectives  MPI_Alltoall      

