timestamp, index, utilization.gpu [%], utilization.memory [%], memory.used [MiB], power.draw [W]
2026/09/21 14:21:39.394, 0, 0 %, 0 %, 107 MiB, 43.41 W
2026/09/21 14:21:40.396, 0, 0 %, 0 %, 111 MiB, 43.41 W
2026/09/21 14:21:41.398, 0, 0 %, 0 %, 449 MiB, 59.38 W
2026/09/21 14:21:42.401, 0, 0 %, 0 %, 457 MiB, 59.42 W
2026/09/21 14:21:43.403, 0, 0 %, 0 %, 457 MiB, 59.42 W
2026/09/21 14:21:44.405, 0, 24 %, 2 %, 591 MiB, 60.88 W
2026/09/21 14:21:45.408, 0, 28 %, 2 %, 811 MiB, 59.87 W
2026/09/21 14:21:46.410, 0, 24 %, 2 %, 789 MiB, 60.84 W
2026/09/21 14:21:47.412, 0, 29 %, 2 %, 1261 MiB, 59.91 W
2026/09/21 14:21:48.415, 0, 26 %, 3 %, 1503 MiB, 60.84 W
2026/09/21 14:21:49.417, 0, 30 %, 3 %, 1707 MiB, 59.91 W
2026/09/21 14:21:50.419, 0, 36 %, 4 %, 1955 MiB, 60.40 W
2026/09/21 14:21:51.421, 0, 26 %, 2 %, 1349 MiB, 59.91 W
2026/09/21 14:21:52.424, 0, 39 %, 3 %, 2425 MiB, 62.30 W
2026/09/21 14:21:53.426, 0, 27 %, 3 %, 2615 MiB, 60.40 W
2026/09/21 14:21:54.428, 0, 26 %, 1 %, 2825 MiB, 59.91 W
2026/09/21 14:21:55.430, 0, 25 %, 1 %, 3055 MiB, 60.40 W
2026/09/21 14:21:56.433, 0, 30 %, 5 %, 3307 MiB, 62.30 W
2026/09/21 14:21:57.435, 0, 39 %, 2 %, 1983 MiB, 62.78 W
2026/09/21 14:21:58.437, 0, 0 %, 0 %, 2129 MiB, 61.81 W
2026/09/21 14:21:59.439, 0, 26 %, 1 %, 3891 MiB, 62.30 W
2026/09/21 14:22:00.442, 0, 28 %, 7 %, 4227 MiB, 71.00 W
2026/09/21 14:22:01.444, 0, 0 %, 0 %, 2465 MiB, 70.56 W
2026/09/21 14:22:02.446, 0, 25 %, 1 %, 4597 MiB, 71.00 W
2026/09/21 14:22:03.449, 0, 39 %, 2 %, 2659 MiB, 71.48 W
2026/09/21 14:22:04.451, 0, 26 %, 1 %, 5003 MiB, 71.04 W
2026/09/21 14:22:05.453, 0, 39 %, 2 %, 2871 MiB, 71.48 W
2026/09/21 14:22:06.455, 0, 25 %, 1 %, 5451 MiB, 71.04 W
2026/09/21 14:22:07.458, 0, 39 %, 2 %, 3107 MiB, 71.48 W
2026/09/21 14:22:08.460, 0, 26 %, 1 %, 5943 MiB, 71.00 W
2026/09/21 14:22:09.462, 0, 0 %, 0 %, 3513 MiB, 71.04 W
2026/09/21 14:22:10.464, 0, 39 %, 2 %, 3633 MiB, 71.48 W
2026/09/21 14:22:11.467, 0, 0 %, 0 %, 3845 MiB, 70.56 W
2026/09/21 14:22:12.469, 0, 36 %, 2 %, 3845 MiB, 71.48 W
2026/09/21 14:22:13.471, 0, 96 %, 25 %, 4537 MiB, 112.45 W
2026/09/21 14:22:14.473, 0, 99 %, 25 %, 4537 MiB, 118.18 W
2026/09/21 14:22:15.476, 0, 99 %, 25 %, 4537 MiB, 118.18 W
2026/09/21 14:22:16.478, 0, 99 %, 26 %, 4537 MiB, 121.08 W
2026/09/21 14:22:17.480, 0, 99 %, 26 %, 4537 MiB, 124.87 W
2026/09/21 14:22:18.482, 0, 98 %, 29 %, 4537 MiB, 121.08 W
2026/09/21 14:22:19.485, 0, 99 %, 26 %, 4537 MiB, 72.45 W
2026/09/21 14:22:20.487, 0, 98 %, 29 %, 4537 MiB, 127.77 W
2026/09/21 14:22:21.489, 0, 99 %, 27 %, 4537 MiB, 124.87 W
2026/09/21 14:22:22.491, 0, 98 %, 29 %, 4537 MiB, 123.98 W
2026/09/21 14:22:23.493, 0, 99 %, 26 %, 4537 MiB, 128.25 W
2026/09/21 14:22:24.496, 0, 98 %, 29 %, 4537 MiB, 124.87 W
2026/09/21 14:22:25.498, 0, 98 %, 29 %, 4537 MiB, 123.90 W
2026/09/21 14:22:26.500, 0, 99 %, 26 %, 4537 MiB, 73.91 W
2026/09/21 14:22:27.502, 0, 0 %, 0 %, 111 MiB, 72.45 W
2026/09/21 14:22:28.504, 0, 0 %, 0 %, 111 MiB, 71.97 W
2026/09/21 14:22:29.508, 0, 0 %, 0 %, 111 MiB, 71.97 W
2026/09/21 14:22:30.510, 0, 0 %, 0 %, 111 MiB, 47.27 W
