
NOTICE: Existing SQLite export found: /hpc/data/cfd-students/nnoventa/sparta/nicola/results/sparta_nsys_v100_1209388_np30000000_ro0/nsys_rank0.sqlite
        It is assumed file was previously exported from: /hpc/data/cfd-students/nnoventa/sparta/nicola/results/sparta_nsys_v100_1209388_np30000000_ro0/nsys_rank0.nsys-rep
        Consider using --force-export=true if needed.

Processing [/hpc/data/cfd-students/nnoventa/sparta/nicola/results/sparta_nsys_v100_1209388_np30000000_ro0/nsys_rank0.sqlite] with [/cm/shared/apps/cuda12.8/visual-tools/12.8.1/nsight-systems/2024.6.2/host-linux-x64/reports/cuda_gpu_kern_sum.py]... 
Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
87.6,11081255808,200,55406279.0,55706768.5,51933807,56551166,953189.2,"void Kokkos::Impl::cuda_parallel_launch_local_memory<Kokkos::Impl::ParallelFor<SPARTA_NS::UpdateKokkos, Kokkos::RangePolicy<Kokkos::Cuda, SPARTA_NS::TagUpdateMove<(int)3, (int)1, (int)0, (int)0, (int)1>>, Kokkos::Cuda>>(T1)"
7.3,920459601,203,4534283.7,4550022.0,4182311,4740582,101611.3,"void Kokkos::Impl::cuda_parallel_launch_local_memory<Kokkos::Impl::ParallelFor<SPARTA_NS::ParticleKokkos, Kokkos::RangePolicy<Kokkos::Cuda, SPARTA_NS::TagParticleSort<(int)1, (int)0>>, Kokkos::Cuda>>(T1)"
2.7,344114503,200,1720572.5,1749846.0,680604,2446833,159509.8,"void Kokkos::Impl::cuda_parallel_launch_local_memory<Kokkos::Impl::ParallelFor<SPARTA_NS::CollideVSSKokkos, Kokkos::RangePolicy<Kokkos::Cuda, SPARTA_NS::TagCollideCollisionsOne<(int)1, (int)0, (int)1>>, Kokkos::Cuda>>(T1)"
1.1,143898158,64,2248408.7,639852.0,12864,13533009,3320638.2,"void Kokkos::Impl::cuda_parallel_launch_local_memory<Kokkos::Impl::ParallelFor<Kokkos::Impl::ViewCopy<Kokkos::View<SPARTA_NS::Particle::OnePart *, Kokkos::LayoutLeft, Kokkos::Device<Kokkos::Cuda, Kokkos::AnonymousSpace>, Kokkos::MemoryTraits<(unsigned int)0>>, Kokkos::View<const SPARTA_NS::Particle::OnePart *, Kokkos::LayoutLeft, Kokkos::Device<Kokkos::Cuda, Kokkos::AnonymousSpace>, Kokkos::MemoryTraits<(unsigned int)0>>, Kokkos::LayoutLeft, Kokkos::Cuda, (int)1, int>, Kokkos::RangePolicy<Kokkos::Cuda, Kokkos::IndexType<int>>, Kokkos::Cuda>>(T1)"
0.9,114583878,400,286459.7,288014.0,192671,325758,15790.2,"void Kokkos::Impl::cuda_parallel_launch_local_memory<Kokkos::Impl::ParallelFor<SPARTA_NS::FixEmitSurfKokkos, Kokkos::RangePolicy<Kokkos::Cuda, SPARTA_NS::TagFixEmitSurf_subsonic_grid>, Kokkos::Cuda>>(T1)"
0.1,15246028,400,38115.1,38304.0,25216,43104,1697.8,"void Kokkos::Impl::cuda_parallel_launch_local_memory<Kokkos::Impl::ParallelReduce<Kokkos::Impl::CombinedFunctorReducer<SPARTA_NS::FixEmitSurfKokkos, Kokkos::Impl::FunctorAnalysis<Kokkos::Impl::FunctorPatternInterface::REDUCE, Kokkos::RangePolicy<Kokkos::Cuda, SPARTA_NS::TagFixEmitSurf_perform_task>, SPARTA_NS::FixEmitSurfKokkos, int>::Reducer, void>, Kokkos::RangePolicy<Kokkos::Cuda, SPARTA_NS::TagFixEmitSurf_perform_task>, Kokkos::Cuda>>(T1)"
0.1,12110395,3,4036798.3,4018249.0,4018058,4074088,32293.9,"void Kokkos::Impl::cuda_parallel_launch_local_memory<Kokkos::Impl::ParallelReduce<Kokkos::Impl::CombinedFunctorReducer<SPARTA_NS::ComputeTempKokkos, Kokkos::Impl::FunctorAnalysis<Kokkos::Impl::FunctorPatternInterface::REDUCE, Kokkos::RangePolicy<Kokkos::Cuda>, SPARTA_NS::ComputeTempKokkos, double>::Reducer, void>, Kokkos::RangePolicy<Kokkos::Cuda>, Kokkos::Cuda>>(T1)"
0.1,8917900,1600,5573.7,5312.0,3520,10656,1440.5,"void Kokkos::Impl::cuda_parallel_launch_local_memory<Kokkos::Impl::ParallelScan<SPARTA_NS::ExclScan<Kokkos::Cuda>, Kokkos::RangePolicy<Kokkos::Cuda>, Kokkos::Cuda>>(T1)"
0.1,8221257,400,20553.1,19856.0,10816,25536,2351.8,"void Kokkos::Impl::cuda_parallel_launch_local_memory<Kokkos::Impl::ParallelFor<SPARTA_NS::FixEmitSurfKokkos, Kokkos::RangePolicy<Kokkos::Cuda, SPARTA_NS::TagFixEmitSurf_subsonic_inflow>, Kokkos::Cuda>>(T1)"
0.0,3069872,400,7674.7,7632.0,4992,9920,853.9,"void Kokkos::Impl::cuda_parallel_launch_local_memory<Kokkos::Impl::ParallelFor<SPARTA_NS::FixEmitSurfKokkos, Kokkos::RangePolicy<Kokkos::Cuda, SPARTA_NS::TagFixEmitSurf_insert_particles<(int)1>>, Kokkos::Cuda>>(T1)"
