Generating SQLite file /hpc/data/cfd-students/nnoventa/sparta/nicola/results/sparta_nsys_v100_1209388_np30000000_ro0/nsys_rank0.sqlite from /hpc/data/cfd-students/nnoventa/sparta/nicola/results/sparta_nsys_v100_1209388_np30000000_ro0/nsys_rank0.nsys-rep
Processing [/hpc/data/cfd-students/nnoventa/sparta/nicola/results/sparta_nsys_v100_1209388_np30000000_ro0/nsys_rank0.sqlite] with [/cm/shared/apps/cuda12.8/visual-tools/12.8.1/nsight-systems/2024.6.2/host-linux-x64/reports/cuda_gpu_kern_sum.py]... 

 ** CUDA GPU Kernel Summary (cuda_gpu_kern_sum):

 Time (%)  Total Time (ns)  Instances    Avg (ns)      Med (ns)     Min (ns)    Max (ns)   StdDev (ns)                                                  Name                                                
 --------  ---------------  ---------  ------------  ------------  ----------  ----------  -----------  ----------------------------------------------------------------------------------------------------
     87.6   11,081,255,808        200  55,406,279.0  55,706,768.5  51,933,807  56,551,166    953,189.2  void Kokkos::Impl::cuda_parallel_launch_local_memory<Kokkos::Impl::ParallelFor<SPARTA_NS::UpdateKok…
      7.3      920,459,601        203   4,534,283.7   4,550,022.0   4,182,311   4,740,582    101,611.3  void Kokkos::Impl::cuda_parallel_launch_local_memory<Kokkos::Impl::ParallelFor<SPARTA_NS::ParticleK…
      2.7      344,114,503        200   1,720,572.5   1,749,846.0     680,604   2,446,833    159,509.8  void Kokkos::Impl::cuda_parallel_launch_local_memory<Kokkos::Impl::ParallelFor<SPARTA_NS::CollideVS…
      1.1      143,898,158         64   2,248,408.7     639,852.0      12,864  13,533,009  3,320,638.2  void Kokkos::Impl::cuda_parallel_launch_local_memory<Kokkos::Impl::ParallelFor<Kokkos::Impl::ViewCo…
      0.9      114,583,878        400     286,459.7     288,014.0     192,671     325,758     15,790.2  void Kokkos::Impl::cuda_parallel_launch_local_memory<Kokkos::Impl::ParallelFor<SPARTA_NS::FixEmitSu…
      0.1       15,246,028        400      38,115.1      38,304.0      25,216      43,104      1,697.8  void Kokkos::Impl::cuda_parallel_launch_local_memory<Kokkos::Impl::ParallelReduce<Kokkos::Impl::Com…
      0.1       12,110,395          3   4,036,798.3   4,018,249.0   4,018,058   4,074,088     32,293.9  void Kokkos::Impl::cuda_parallel_launch_local_memory<Kokkos::Impl::ParallelReduce<Kokkos::Impl::Com…
      0.1        8,917,900      1,600       5,573.7       5,312.0       3,520      10,656      1,440.5  void Kokkos::Impl::cuda_parallel_launch_local_memory<Kokkos::Impl::ParallelScan<SPARTA_NS::ExclScan…
      0.1        8,221,257        400      20,553.1      19,856.0      10,816      25,536      2,351.8  void Kokkos::Impl::cuda_parallel_launch_local_memory<Kokkos::Impl::ParallelFor<SPARTA_NS::FixEmitSu…
      0.0        3,069,872        400       7,674.7       7,632.0       4,992       9,920        853.9  void Kokkos::Impl::cuda_parallel_launch_local_memory<Kokkos::Impl::ParallelFor<SPARTA_NS::FixEmitSu…
      0.0        2,192,566        400       5,481.4       5,472.0       4,480       6,496        285.8  void Kokkos::Impl::cuda_parallel_launch_local_memory<Kokkos::Impl::ParallelFor<SPARTA_NS::FixEmitSu…
      0.0          974,843        200       4,874.2       4,864.0       4,352       5,536        230.4  void Kokkos::Impl::cuda_parallel_launch_local_memory<Kokkos::Impl::ParallelFor<SPARTA_NS::CommKokko…
      0.0          951,801        200       4,759.0       4,736.0       4,544       5,504        129.1  void Kokkos::Impl::cuda_parallel_launch_local_memory<Kokkos::Impl::ParallelFor<SPARTA_NS::ParticleK…
      0.0           43,936          1      43,936.0      43,936.0      43,936      43,936          0.0  desul::<unnamed>::init_lock_arrays_cuda_kernel()                                                    
      0.0           34,304         10       3,430.4       1,408.0       1,376      10,944      3,959.8  void Kokkos::Impl::cuda_parallel_launch_local_memory<Kokkos::Impl::ParallelFor<Kokkos::Impl::ViewFi…
      0.0           18,143          1      18,143.0      18,143.0      18,143      18,143          0.0  void Kokkos::Impl::cuda_parallel_launch_local_memory<Kokkos::Impl::ParallelFor<SPARTA_NS::CollideVS…
      0.0            1,952          1       1,952.0       1,952.0       1,952       1,952          0.0  Kokkos::Impl::<unnamed>::query_cuda_kernel_arch(int *)                                              

