
NOTICE: Existing SQLite export found: /hpc/data/cfd-students/nnoventa/sparta/nicola/results/sparta_nsys_v100_1209389_np30000000_ro100/nsys_rank0.sqlite
        It is assumed file was previously exported from: /hpc/data/cfd-students/nnoventa/sparta/nicola/results/sparta_nsys_v100_1209389_np30000000_ro100/nsys_rank0.nsys-rep
        Consider using --force-export=true if needed.

Processing [/hpc/data/cfd-students/nnoventa/sparta/nicola/results/sparta_nsys_v100_1209389_np30000000_ro100/nsys_rank0.sqlite] with [/cm/shared/apps/cuda12.8/visual-tools/12.8.1/nsight-systems/2024.6.2/host-linux-x64/reports/osrt_sum.py]... 
Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
43.5,138130012821,113,1222389494.0,50471.0,1030,46163152108,7345703498.9,epoll_wait
14.5,46095942873,5,9219188574.6,124728560.0,1543073,45506188554,20285839546.8,sem_wait
14.4,45748728527,470,97337720.3,100121804.5,49081,133363034,16249273.3,poll
13.9,44000755488,11,4000068680.7,4000067701.0,4000058886,4000076297,5545.9,sem_timedwait
13.4,42508893523,175,242907963.0,8336.0,1019,15003218190,1608898895.4,read
0.2,594720962,4608,129062.7,33347.0,1044,33146593,876659.6,ioctl
0.0,46375945,12,3864662.1,54170.5,39229,38259739,10996379.4,pthread_cond_wait
0.0,13909485,140,99353.5,3075.5,1009,11959263,1010841.8,fopen
0.0,10395764,134,77580.3,20544.5,1080,4071027,359007.4,write
0.0,10382800,9,1153644.4,37709.0,2400,6093396,2269643.5,fwrite
0.0,8598923,204,42151.6,3571.0,1118,7573243,529929.3,open
0.0,7216665,13,555128.1,19828.0,1377,7006274,1938342.2,pthread_cond_broadcast
0.0,5943446,12,495287.2,25959.0,1322,5720538,1645609.1,writev
0.0,5240545,16,327534.1,20652.5,19294,4062061,1003620.7,pthread_mutex_lock
0.0,5087236,1,5087236.0,5087236.0,5087236,5087236,0.0,nanosleep
0.0,3083563,613,5030.3,3275.0,1325,55032,4885.6,fgets
0.0,1408697,37,38072.9,5216.0,3764,1010309,164763.1,mmap64
0.0,640963,8,80120.4,76130.0,57189,128267,23574.6,pthread_create
0.0,497551,93,5350.0,1298.0,1003,199651,22465.0,fclose
0.0,360767,10,36076.7,5033.0,3824,189450,60866.4,pthread_spin_trylock
0.0,324966,2,162483.0,162483.0,161673,163293,1145.5,usleep
0.0,279449,136,2054.8,1386.0,1003,13457,1859.9,socket
0.0,247954,66,3756.9,3135.0,1022,11460,1995.3,open64
0.0,224025,32,7000.8,3318.5,1144,24814,6845.2,sendmsg
0.0,209873,6,34978.8,35656.5,8047,84526,27696.2,fputs
0.0,163045,23,7088.9,2039.0,1032,18975,6506.0,recvmsg
0.0,146651,4,36662.8,10598.5,5435,120019,55634.0,connect
0.0,125205,3,41735.0,49297.0,24862,51046,14638.6,fflush
0.0,123166,2,61583.0,61583.0,2929,120237,82949.3,send
0.0,117617,61,1928.1,1500.0,1001,5066,1036.3,epoll_ctl
0.0,112867,14,8061.9,6499.5,1775,16671,4857.1,shmget
0.0,104913,10,10491.3,11701.0,5174,14182,3440.0,openat
0.0,98861,9,10984.6,7052.0,6797,17505,4986.3,fputc
0.0,70303,10,7030.3,5593.0,1644,14964,5597.6,fread
0.0,38237,22,1738.0,1221.0,1021,5713,1104.1,mprotect
0.0,23950,4,5987.5,3363.0,2159,15065,6078.2,process_vm_writev
0.0,19935,10,1993.5,1773.5,1002,4873,1116.7,bind
0.0,17603,3,5867.7,6072.0,4784,6747,997.3,socketpair
0.0,14535,3,4845.0,5988.0,2066,6481,2419.3,pipe2
0.0,12694,6,2115.7,1918.0,1255,3494,800.0,mmap
0.0,11464,2,5732.0,5732.0,3175,8289,3616.1,pipe
0.0,11043,10,1104.3,1089.0,1051,1188,46.6,fcntl
0.0,10941,1,10941.0,10941.0,10941,10941,0.0,shutdown
0.0,8347,5,1669.4,1340.0,1230,3097,800.4,pthread_rwlock_trywrlock
0.0,8294,1,8294.0,8294.0,8294,8294,0.0,shmdt
0.0,5586,1,5586.0,5586.0,5586,5586,0.0,shmat
0.0,4139,2,2069.5,2069.5,1575,2564,699.3,process_vm_readv
0.0,3327,3,1109.0,1054.0,1023,1250,123.1,shmctl
0.0,3114,2,1557.0,1557.0,1148,1966,578.4,listen
0.0,1928,1,1928.0,1928.0,1928,1928,0.0,fgets_unlocked
0.0,1443,1,1443.0,1443.0,1443,1443,0.0,recvfrom

