
NOTICE: Existing SQLite export found: /hpc/data/cfd-students/nnoventa/sparta/nicola/results/sparta_nsys_v100_1209389_np30000000_ro100/nsys_rank0.sqlite
        It is assumed file was previously exported from: /hpc/data/cfd-students/nnoventa/sparta/nicola/results/sparta_nsys_v100_1209389_np30000000_ro100/nsys_rank0.nsys-rep
        Consider using --force-export=true if needed.

Processing [/hpc/data/cfd-students/nnoventa/sparta/nicola/results/sparta_nsys_v100_1209389_np30000000_ro100/nsys_rank0.sqlite] with [/cm/shared/apps/cuda12.8/visual-tools/12.8.1/nsight-systems/2024.6.2/host-linux-x64/reports/osrt_sum.py]... 

 ** OS Runtime Summary (osrt_sum):

 Time (%)  Total Time (ns)  Num Calls     Avg (ns)         Med (ns)        Min (ns)        Max (ns)       StdDev (ns)               Name          
 --------  ---------------  ---------  ---------------  ---------------  -------------  --------------  ----------------  ------------------------
     43.5  138,130,012,821        113  1,222,389,494.0         50,471.0          1,030  46,163,152,108   7,345,703,498.9  epoll_wait              
     14.5   46,095,942,873          5  9,219,188,574.6    124,728,560.0      1,543,073  45,506,188,554  20,285,839,546.8  sem_wait                
     14.4   45,748,728,527        470     97,337,720.3    100,121,804.5         49,081     133,363,034      16,249,273.3  poll                    
     13.9   44,000,755,488         11  4,000,068,680.7  4,000,067,701.0  4,000,058,886   4,000,076,297           5,545.9  sem_timedwait           
     13.4   42,508,893,523        175    242,907,963.0          8,336.0          1,019  15,003,218,190   1,608,898,895.4  read                    
      0.2      594,720,962      4,608        129,062.7         33,347.0          1,044      33,146,593         876,659.6  ioctl                   
      0.0       46,375,945         12      3,864,662.1         54,170.5         39,229      38,259,739      10,996,379.4  pthread_cond_wait       
      0.0       13,909,485        140         99,353.5          3,075.5          1,009      11,959,263       1,010,841.8  fopen                   
      0.0       10,395,764        134         77,580.3         20,544.5          1,080       4,071,027         359,007.4  write                   
      0.0       10,382,800          9      1,153,644.4         37,709.0          2,400       6,093,396       2,269,643.5  fwrite                  
      0.0        8,598,923        204         42,151.6          3,571.0          1,118       7,573,243         529,929.3  open                    
      0.0        7,216,665         13        555,128.1         19,828.0          1,377       7,006,274       1,938,342.2  pthread_cond_broadcast  
      0.0        5,943,446         12        495,287.2         25,959.0          1,322       5,720,538       1,645,609.1  writev                  
      0.0        5,240,545         16        327,534.1         20,652.5         19,294       4,062,061       1,003,620.7  pthread_mutex_lock      
      0.0        5,087,236          1      5,087,236.0      5,087,236.0      5,087,236       5,087,236               0.0  nanosleep               
      0.0        3,083,563        613          5,030.3          3,275.0          1,325          55,032           4,885.6  fgets                   
      0.0        1,408,697         37         38,072.9          5,216.0          3,764       1,010,309         164,763.1  mmap64                  
      0.0          640,963          8         80,120.4         76,130.0         57,189         128,267          23,574.6  pthread_create          
      0.0          497,551         93          5,350.0          1,298.0          1,003         199,651          22,465.0  fclose                  
      0.0          360,767         10         36,076.7          5,033.0          3,824         189,450          60,866.4  pthread_spin_trylock    
      0.0          324,966          2        162,483.0        162,483.0        161,673         163,293           1,145.5  usleep                  
      0.0          279,449        136          2,054.8          1,386.0          1,003          13,457           1,859.9  socket                  
      0.0          247,954         66          3,756.9          3,135.0          1,022          11,460           1,995.3  open64                  
      0.0          224,025         32          7,000.8          3,318.5          1,144          24,814           6,845.2  sendmsg                 
      0.0          209,873          6         34,978.8         35,656.5          8,047          84,526          27,696.2  fputs                   
      0.0          163,045         23          7,088.9          2,039.0          1,032          18,975           6,506.0  recvmsg                 
      0.0          146,651          4         36,662.8         10,598.5          5,435         120,019          55,634.0  connect                 
      0.0          125,205          3         41,735.0         49,297.0         24,862          51,046          14,638.6  fflush                  
      0.0          123,166          2         61,583.0         61,583.0          2,929         120,237          82,949.3  send                    
      0.0          117,617         61          1,928.1          1,500.0          1,001           5,066           1,036.3  epoll_ctl               
      0.0          112,867         14          8,061.9          6,499.5          1,775          16,671           4,857.1  shmget                  
      0.0          104,913         10         10,491.3         11,701.0          5,174          14,182           3,440.0  openat                  
      0.0           98,861          9         10,984.6          7,052.0          6,797          17,505           4,986.3  fputc                   
      0.0           70,303         10          7,030.3          5,593.0          1,644          14,964           5,597.6  fread                   
      0.0           38,237         22          1,738.0          1,221.0          1,021           5,713           1,104.1  mprotect                
      0.0           23,950          4          5,987.5          3,363.0          2,159          15,065           6,078.2  process_vm_writev       
      0.0           19,935         10          1,993.5          1,773.5          1,002           4,873           1,116.7  bind                    
      0.0           17,603          3          5,867.7          6,072.0          4,784           6,747             997.3  socketpair              
      0.0           14,535          3          4,845.0          5,988.0          2,066           6,481           2,419.3  pipe2                   
      0.0           12,694          6          2,115.7          1,918.0          1,255           3,494             800.0  mmap                    
      0.0           11,464          2          5,732.0          5,732.0          3,175           8,289           3,616.1  pipe                    
      0.0           11,043         10          1,104.3          1,089.0          1,051           1,188              46.6  fcntl                   
      0.0           10,941          1         10,941.0         10,941.0         10,941          10,941               0.0  shutdown                
      0.0            8,347          5          1,669.4          1,340.0          1,230           3,097             800.4  pthread_rwlock_trywrlock
      0.0            8,294          1          8,294.0          8,294.0          8,294           8,294               0.0  shmdt                   
      0.0            5,586          1          5,586.0          5,586.0          5,586           5,586               0.0  shmat                   
      0.0            4,139          2          2,069.5          2,069.5          1,575           2,564             699.3  process_vm_readv        
      0.0            3,327          3          1,109.0          1,054.0          1,023           1,250             123.1  shmctl                  
      0.0            3,114          2          1,557.0          1,557.0          1,148           1,966             578.4  listen                  
      0.0            1,928          1          1,928.0          1,928.0          1,928           1,928               0.0  fgets_unlocked          
      0.0            1,443          1          1,443.0          1,443.0          1,443           1,443               0.0  recvfrom                

