timestamp, index, utilization.gpu [%], utilization.memory [%], memory.used [MiB], power.draw [W]
2026/09/21 15:12:43.374, 0, 0 %, 0 %, 107 MiB, 41.49 W
2026/09/21 15:12:44.381, 0, 0 %, 0 %, 110 MiB, 41.49 W
2026/09/21 15:12:45.383, 0, 0 %, 0 %, 448 MiB, 58.49 W
2026/09/21 15:12:46.386, 0, 0 %, 0 %, 456 MiB, 58.45 W
2026/09/21 15:12:47.388, 0, 0 %, 0 %, 456 MiB, 58.45 W
2026/09/21 15:12:48.390, 0, 26 %, 2 %, 596 MiB, 58.94 W
2026/09/21 15:12:49.392, 0, 26 %, 2 %, 706 MiB, 58.94 W
2026/09/21 15:12:50.395, 0, 28 %, 2 %, 814 MiB, 59.42 W
2026/09/21 15:12:51.397, 0, 23 %, 1 %, 1332 MiB, 58.98 W
2026/09/21 15:12:52.399, 0, 27 %, 1 %, 1038 MiB, 59.42 W
2026/09/21 15:12:53.401, 0, 25 %, 1 %, 1144 MiB, 59.42 W
2026/09/21 15:12:54.403, 0, 27 %, 1 %, 1274 MiB, 58.45 W
2026/09/21 15:12:55.405, 0, 28 %, 1 %, 2252 MiB, 58.98 W
2026/09/21 15:12:56.408, 0, 27 %, 1 %, 2424 MiB, 58.94 W
2026/09/21 15:12:57.410, 0, 27 %, 1 %, 1620 MiB, 58.49 W
2026/09/21 15:12:58.412, 0, 27 %, 1 %, 1730 MiB, 58.49 W
2026/09/21 15:12:59.415, 0, 27 %, 1 %, 1850 MiB, 59.46 W
2026/09/21 15:13:00.417, 0, 25 %, 1 %, 3306 MiB, 59.95 W
2026/09/21 15:13:01.419, 0, 29 %, 5 %, 3584 MiB, 59.91 W
2026/09/21 15:13:02.421, 0, 36 %, 2 %, 2128 MiB, 60.40 W
2026/09/21 15:13:03.423, 0, 41 %, 4 %, 2288 MiB, 60.92 W
2026/09/21 15:13:04.426, 0, 25 %, 1 %, 4226 MiB, 62.83 W
2026/09/21 15:13:05.428, 0, 36 %, 2 %, 2464 MiB, 67.69 W
2026/09/21 15:13:06.430, 0, 25 %, 1 %, 4596 MiB, 67.20 W
2026/09/21 15:13:07.432, 0, 36 %, 2 %, 5002 MiB, 68.66 W
2026/09/21 15:13:08.435, 0, 26 %, 1 %, 2870 MiB, 67.20 W
2026/09/21 15:13:09.437, 0, 39 %, 2 %, 5450 MiB, 67.69 W
2026/09/21 15:13:10.439, 0, 27 %, 1 %, 3106 MiB, 67.20 W
2026/09/21 15:13:11.441, 0, 39 %, 2 %, 5942 MiB, 111.14 W
2026/09/21 15:13:12.444, 0, 27 %, 1 %, 5942 MiB, 67.69 W
2026/09/21 15:13:13.446, 0, 6 %, 1 %, 3528 MiB, 70.60 W
2026/09/21 15:13:14.448, 0, 23 %, 1 %, 3844 MiB, 70.60 W
2026/09/21 15:13:15.450, 0, 0 %, 0 %, 3844 MiB, 70.60 W
2026/09/21 15:13:16.453, 0, 39 %, 2 %, 4400 MiB, 72.55 W
2026/09/21 15:13:17.455, 0, 98 %, 54 %, 4536 MiB, 139.07 W
2026/09/21 15:13:18.457, 0, 99 %, 54 %, 4536 MiB, 144.40 W
2026/09/21 15:13:19.460, 0, 99 %, 55 %, 4536 MiB, 140.04 W
2026/09/21 15:13:20.462, 0, 98 %, 57 %, 4536 MiB, 149.14 W
2026/09/21 15:13:21.464, 0, 99 %, 57 %, 4536 MiB, 144.88 W
2026/09/21 15:13:22.466, 0, 99 %, 58 %, 4536 MiB, 150.21 W
2026/09/21 15:13:23.468, 0, 98 %, 59 %, 4536 MiB, 153.01 W
2026/09/21 15:13:24.471, 0, 41 %, 1 %, 4536 MiB, 106.85 W
2026/09/21 15:13:25.473, 0, 99 %, 59 %, 4536 MiB, 144.40 W
2026/09/21 15:13:26.475, 0, 98 %, 59 %, 4536 MiB, 146.34 W
2026/09/21 15:13:27.477, 0, 99 %, 57 %, 4536 MiB, 154.47 W
2026/09/21 15:13:28.479, 0, 99 %, 60 %, 4536 MiB, 155.43 W
2026/09/21 15:13:29.482, 0, 99 %, 61 %, 4536 MiB, 156.40 W
2026/09/21 15:13:30.484, 0, 99 %, 61 %, 4536 MiB, 155.92 W
2026/09/21 15:13:31.486, 0, 98 %, 61 %, 4536 MiB, 153.50 W
2026/09/21 15:13:32.488, 0, 52 %, 12 %, 4536 MiB, 73.52 W
2026/09/21 15:13:33.490, 0, 0 %, 0 %, 110 MiB, 72.06 W
2026/09/21 15:13:34.493, 0, 0 %, 0 %, 110 MiB, 71.57 W
2026/09/21 15:13:35.495, 0, 0 %, 0 %, 110 MiB, 71.53 W
