
NOTICE: Existing SQLite export found: /hpc/data/cfd-students/nnoventa/sparta/nicola/results/sparta_nsys_v100_1209458_np30000000_ro0_mb2/nsys_rank0.sqlite
        It is assumed file was previously exported from: /hpc/data/cfd-students/nnoventa/sparta/nicola/results/sparta_nsys_v100_1209458_np30000000_ro0_mb2/nsys_rank0.nsys-rep
        Consider using --force-export=true if needed.

Processing [/hpc/data/cfd-students/nnoventa/sparta/nicola/results/sparta_nsys_v100_1209458_np30000000_ro0_mb2/nsys_rank0.sqlite] with [/cm/shared/apps/cuda12.8/visual-tools/12.8.1/nsight-systems/2024.6.2/host-linux-x64/reports/mpi_event_sum.py]... 
Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Source,Name
84.0,552399932,1,552399932.0,552399932.0,552399932,552399932,0.0,other,MPI_Init
12.4,81747797,1,81747797.0,81747797.0,81747797,81747797,0.0,other,MPI_Finalize
2.5,16518138,774,21341.3,5248.0,1833,201973,28979.4,collectives,MPI_Allreduce
0.5,3116498,1,3116498.0,3116498.0,3116498,3116498,0.0,collectives,MPI_Alltoallv
0.3,2104457,3,701485.7,11457.0,1544,2091456,1203759.8,collectives,MPI_Allgatherv
0.1,696729,240,2903.0,663.0,225,130877,13034.0,collectives,MPI_Barrier
0.1,601034,10,60103.4,49373.0,1678,157642,52415.1,collectives,MPI_Reduce_scatter
0.0,225368,335,672.7,250.0,145,100414,5482.6,collectives,MPI_Bcast
0.0,172191,1,172191.0,172191.0,172191,172191,0.0,collectives,MPI_Scan
0.0,25536,4,6384.0,6595.5,2750,9595,3600.5,collectives,MPI_Allgather
0.0,9233,1,9233.0,9233.0,9233,9233,0.0,collectives,MPI_Alltoall

