
NOTICE: Existing SQLite export found: /hpc/data/cfd-students/nnoventa/sparta/nicola/results/sparta_nsys_v100_1209458_np30000000_ro0_mb2/nsys_rank0.sqlite
        It is assumed file was previously exported from: /hpc/data/cfd-students/nnoventa/sparta/nicola/results/sparta_nsys_v100_1209458_np30000000_ro0_mb2/nsys_rank0.nsys-rep
        Consider using --force-export=true if needed.

Processing [/hpc/data/cfd-students/nnoventa/sparta/nicola/results/sparta_nsys_v100_1209458_np30000000_ro0_mb2/nsys_rank0.sqlite] with [/cm/shared/apps/cuda12.8/visual-tools/12.8.1/nsight-systems/2024.6.2/host-linux-x64/reports/osrt_sum.py]... 

 ** OS Runtime Summary (osrt_sum):

 Time (%)  Total Time (ns)  Num Calls     Avg (ns)         Med (ns)        Min (ns)        Max (ns)       StdDev (ns)               Name          
 --------  ---------------  ---------  ---------------  ---------------  -------------  --------------  ----------------  ------------------------
     44.1  145,821,842,733         76  1,918,708,457.0         93,058.0          1,133  48,721,251,098   9,426,684,851.4  epoll_wait              
     14.7   48,617,427,144          6  8,102,904,524.0     72,107,030.0        950,965  48,119,008,822  19,604,268,261.1  sem_wait                
     14.6   48,338,649,485        494     97,851,517.2    100,119,941.0         42,877     132,972,324      14,550,962.0  poll                    
     14.5   48,000,827,280         12  4,000,068,940.0  4,000,069,796.5  4,000,050,335   4,000,076,713           6,787.6  sem_timedwait           
     11.8   39,042,864,658        124    314,861,811.8          8,446.0          1,007  15,015,078,709   2,055,019,151.6  read                    
      0.1      386,154,552      4,298         89,845.2         29,660.0          1,003      24,648,588         489,839.4  ioctl                   
      0.0       47,292,756         12      3,941,063.0         58,231.0         39,383      39,292,389      11,285,362.4  pthread_cond_wait       
      0.0       29,765,940        136        218,867.2          2,838.5          1,126      12,022,767       1,261,432.9  fopen                   
      0.0       17,141,918        127        134,975.7         20,264.0          1,082       8,146,753         803,210.7  write                   
      0.0       10,862,214          9      1,206,912.7         62,902.0          3,082       6,764,278       2,401,379.5  fwrite                  
      0.0        7,427,396        756          9,824.6          3,097.0          1,250       3,346,403         123,285.8  fgets                   
      0.0        6,898,191         12        574,849.3         20,107.0          1,508       6,684,609       1,924,085.5  pthread_cond_broadcast  
      0.0        5,831,057         12        485,921.4         15,641.0          1,390       5,608,510       1,613,307.8  writev                  
      0.0        5,086,084          1      5,086,084.0      5,086,084.0      5,086,084       5,086,084               0.0  nanosleep               
      0.0        5,008,104         16        313,006.5         20,367.5         19,379       3,990,841         987,325.6  pthread_mutex_lock      
      0.0        1,157,158         29         39,902.0          4,608.0          3,360         821,748         150,954.7  mmap64                  
      0.0        1,094,819          8        136,852.4         75,873.5         64,968         500,562         149,090.9  pthread_create          
      0.0          642,236        160          4,014.0          2,706.0          1,045          72,687           6,204.9  open                    
      0.0          587,178          6         97,863.0         33,715.5          7,674         402,832         153,251.2  fputs                   
      0.0          547,724         94          5,826.9          1,341.5          1,006         200,721          23,826.2  fclose                  
      0.0          325,598          2        162,799.0        162,799.0        161,991         163,607           1,142.7  usleep                  
      0.0          215,145        104          2,068.7          1,241.5          1,008           9,756           1,655.8  socket                  
      0.0          206,271         57          3,618.8          3,349.0          1,012          11,082           1,894.4  open64                  
      0.0          204,048         32          6,376.5          2,875.5          1,117          24,018           6,470.7  sendmsg                 
      0.0          184,405          3         61,468.3         55,938.0         52,473          75,994          12,698.3  fflush                  
      0.0          135,339         19          7,123.1          1,800.0          1,012          16,856           6,309.3  recvmsg                 
      0.0          121,581         10         12,158.1         15,122.0          1,474          17,456           5,876.6  fputc                   
      0.0           83,827         47          1,783.6          1,587.0          1,030           4,428             670.4  epoll_ctl               
      0.0           75,521         12          6,293.4          6,031.5          1,608          10,145           2,823.3  shmget                  
      0.0           66,506         10          6,650.6          5,496.0          1,409          14,504           5,307.7  fread                   
      0.0           58,977          4         14,744.3          9,532.0          6,007          33,906          12,953.8  connect                 
      0.0           38,808          5          7,761.6          6,114.0          5,496          11,928           2,833.1  openat                  
      0.0           26,952         16          1,684.5          1,108.5          1,016           4,472           1,070.3  mprotect                
      0.0           18,754          9          2,083.8          1,605.0          1,158           5,409           1,355.0  bind                    
      0.0           17,418          2          8,709.0          8,709.0          4,152          13,266           6,444.6  pthread_spin_trylock    
      0.0           16,256          3          5,418.7          5,261.0          5,222           5,773             307.5  socketpair              
      0.0           14,506          6          2,417.7          2,223.5          1,223           4,077           1,179.1  mmap                    
      0.0           13,909          3          4,636.3          4,886.0          2,288           6,735           2,234.0  pipe2                   
      0.0           12,295          2          6,147.5          6,147.5          3,852           8,443           3,246.3  pipe                    
      0.0           11,586          4          2,896.5          3,003.0          2,156           3,424             559.8  process_vm_writev       
      0.0           10,365          1         10,365.0         10,365.0         10,365          10,365               0.0  shutdown                
      0.0           10,191          4          2,547.8          2,435.5          1,063           4,257           1,647.2  pthread_rwlock_trywrlock
      0.0            8,493          2          4,246.5          4,246.5          2,587           5,906           2,346.9  send                    
      0.0            7,993          1          7,993.0          7,993.0          7,993           7,993               0.0  shmdt                   
      0.0            5,127          1          5,127.0          5,127.0          5,127           5,127               0.0  shmat                   
      0.0            3,482          3          1,160.7          1,149.0          1,080           1,253              87.1  fcntl                   
      0.0            2,489          1          2,489.0          2,489.0          2,489           2,489               0.0  process_vm_readv        
      0.0            2,378          1          2,378.0          2,378.0          2,378           2,378               0.0  fgets_unlocked          
      0.0            2,295          1          2,295.0          2,295.0          2,295           2,295               0.0  listen                  
      0.0            2,251          2          1,125.5          1,125.5          1,038           1,213             123.7  shmctl                  
      0.0            1,496          1          1,496.0          1,496.0          1,496           1,496               0.0  recvfrom                

