timestamp, index, utilization.gpu [%], utilization.memory [%], memory.used [MiB], power.draw [W]
2026/09/21 15:25:04.778, 0, 0 %, 0 %, 107 MiB, 41.95 W
2026/09/21 15:25:05.781, 0, 0 %, 0 %, 111 MiB, 42.44 W
2026/09/21 15:25:06.784, 0, 0 %, 0 %, 449 MiB, 59.91 W
2026/09/21 15:25:07.785, 0, 0 %, 0 %, 457 MiB, 59.91 W
2026/09/21 15:25:08.789, 0, 0 %, 0 %, 457 MiB, 59.87 W
2026/09/21 15:25:09.790, 0, 25 %, 2 %, 579 MiB, 61.33 W
2026/09/21 15:25:10.792, 0, 26 %, 2 %, 871 MiB, 65.70 W
2026/09/21 15:25:11.793, 0, 26 %, 2 %, 1077 MiB, 60.88 W
2026/09/21 15:25:12.795, 0, 27 %, 2 %, 1333 MiB, 67.64 W
2026/09/21 15:25:13.797, 0, 32 %, 2 %, 1039 MiB, 60.40 W
2026/09/21 15:25:14.798, 0, 33 %, 2 %, 1145 MiB, 60.92 W
2026/09/21 15:25:15.799, 0, 26 %, 1 %, 1275 MiB, 60.84 W
2026/09/21 15:25:16.801, 0, 20 %, 1 %, 2253 MiB, 61.37 W
2026/09/21 15:25:17.804, 0, 28 %, 3 %, 2425 MiB, 60.84 W
2026/09/21 15:25:18.806, 0, 26 %, 1 %, 1621 MiB, 60.88 W
2026/09/21 15:25:19.808, 0, 26 %, 1 %, 1731 MiB, 60.40 W
2026/09/21 15:25:20.810, 0, 26 %, 1 %, 1851 MiB, 60.88 W
2026/09/21 15:25:21.812, 0, 26 %, 1 %, 3307 MiB, 60.88 W
2026/09/21 15:25:22.814, 0, 29 %, 5 %, 3585 MiB, 60.88 W
2026/09/21 15:25:23.816, 0, 39 %, 2 %, 2129 MiB, 60.92 W
2026/09/21 15:25:24.818, 0, 34 %, 3 %, 2289 MiB, 61.37 W
2026/09/21 15:25:25.820, 0, 26 %, 1 %, 4227 MiB, 61.81 W
2026/09/21 15:25:26.822, 0, 39 %, 2 %, 2465 MiB, 63.76 W
2026/09/21 15:25:27.824, 0, 24 %, 1 %, 2659 MiB, 64.24 W
2026/09/21 15:25:28.826, 0, 39 %, 9 %, 5003 MiB, 72.99 W
2026/09/21 15:25:29.828, 0, 43 %, 5 %, 2871 MiB, 72.45 W
2026/09/21 15:25:30.830, 0, 33 %, 9 %, 5451 MiB, 72.94 W
2026/09/21 15:25:31.832, 0, 43 %, 5 %, 3107 MiB, 72.45 W
2026/09/21 15:25:32.834, 0, 40 %, 10 %, 5943 MiB, 72.94 W
2026/09/21 15:25:33.836, 0, 25 %, 1 %, 3363 MiB, 74.39 W
2026/09/21 15:25:34.839, 0, 5 %, 1 %, 3633 MiB, 73.42 W
2026/09/21 15:25:35.841, 0, 3 %, 0 %, 3845 MiB, 72.50 W
2026/09/21 15:25:36.843, 0, 0 %, 0 %, 3845 MiB, 72.45 W
2026/09/21 15:25:37.845, 0, 47 %, 13 %, 4401 MiB, 116.32 W
2026/09/21 15:25:38.847, 0, 99 %, 25 %, 4537 MiB, 121.64 W
2026/09/21 15:25:39.849, 0, 99 %, 25 %, 4537 MiB, 125.92 W
2026/09/21 15:25:40.850, 0, 99 %, 26 %, 4537 MiB, 129.31 W
2026/09/21 15:25:41.852, 0, 98 %, 28 %, 4537 MiB, 132.60 W
2026/09/21 15:25:42.853, 0, 98 %, 27 %, 4537 MiB, 129.79 W
2026/09/21 15:25:43.854, 0, 98 %, 28 %, 4537 MiB, 135.60 W
2026/09/21 15:25:44.855, 0, 94 %, 27 %, 4537 MiB, 129.31 W
2026/09/21 15:25:45.856, 0, 99 %, 26 %, 4537 MiB, 134.54 W
2026/09/21 15:25:46.857, 0, 98 %, 29 %, 4537 MiB, 130.67 W
2026/09/21 15:25:47.859, 0, 99 %, 27 %, 5105 MiB, 112.18 W
2026/09/21 15:25:48.861, 0, 98 %, 28 %, 4669 MiB, 136.96 W
2026/09/21 15:25:49.862, 0, 98 %, 30 %, 4669 MiB, 132.60 W
2026/09/21 15:25:50.863, 0, 98 %, 29 %, 4669 MiB, 131.73 W
2026/09/21 15:25:51.868, 0, 62 %, 9 %, 503 MiB, 73.42 W
2026/09/21 15:25:52.869, 0, 0 %, 0 %, 111 MiB, 72.94 W
2026/09/21 15:25:53.870, 0, 0 %, 0 %, 111 MiB, 72.94 W
2026/09/21 15:25:54.872, 0, 0 %, 0 %, 111 MiB, 54.63 W
