Generating SQLite file /hpc/data/cfd-students/nnoventa/sparta/nicola/results/sparta_nsys_v100_1209483_np30000000_ro0_base/nsys_rank0.sqlite from /hpc/data/cfd-students/nnoventa/sparta/nicola/results/sparta_nsys_v100_1209483_np30000000_ro0_base/nsys_rank0.nsys-rep
Processing [/hpc/data/cfd-students/nnoventa/sparta/nicola/results/sparta_nsys_v100_1209483_np30000000_ro0_base/nsys_rank0.sqlite] with [/cm/shared/apps/cuda12.8/visual-tools/12.8.1/nsight-systems/2024.6.2/host-linux-x64/reports/cuda_gpu_kern_sum.py]... 

 ** CUDA GPU Kernel Summary (cuda_gpu_kern_sum):

 Time (%)  Total Time (ns)  Instances    Avg (ns)      Med (ns)     Min (ns)    Max (ns)   StdDev (ns)                                                  Name                                                
 --------  ---------------  ---------  ------------  ------------  ----------  ----------  -----------  ----------------------------------------------------------------------------------------------------
     87.6   11,096,343,409        200  55,481,717.0  55,741,128.0  51,984,597  56,993,543    994,877.5  void Kokkos::Impl::cuda_parallel_launch_local_memory<Kokkos::Impl::ParallelFor<SPARTA_NS::UpdateKok…
      7.3      924,412,697        204   4,531,434.8   4,545,739.5   4,189,516   4,824,171     95,971.1  void Kokkos::Impl::cuda_parallel_launch_local_memory<Kokkos::Impl::ParallelFor<SPARTA_NS::ParticleK…
      2.7      344,292,614        200   1,721,463.1   1,751,576.5     679,645   2,452,021    159,780.1  void Kokkos::Impl::cuda_parallel_launch_local_memory<Kokkos::Impl::ParallelFor<SPARTA_NS::CollideVS…
      1.1      142,417,352         64   2,225,271.1     639,981.0      12,799  13,585,217  3,277,168.0  void Kokkos::Impl::cuda_parallel_launch_local_memory<Kokkos::Impl::ParallelFor<Kokkos::Impl::ViewCo…
      0.9      114,680,162        400     286,700.4     288,863.0     191,903     326,494     15,808.7  void Kokkos::Impl::cuda_parallel_launch_local_memory<Kokkos::Impl::ParallelFor<SPARTA_NS::FixEmitSu…
      0.1       15,261,400        400      38,153.5      38,336.0      26,976      42,432      1,706.8  void Kokkos::Impl::cuda_parallel_launch_local_memory<Kokkos::Impl::ParallelReduce<Kokkos::Impl::Com…
      0.1       12,124,906          3   4,041,635.3   4,028,526.0   4,011,311   4,085,069     38,586.9  void Kokkos::Impl::cuda_parallel_launch_local_memory<Kokkos::Impl::ParallelReduce<Kokkos::Impl::Com…
      0.1        9,025,198      1,600       5,640.7       5,472.0       3,679      10,048      1,467.0  void Kokkos::Impl::cuda_parallel_launch_local_memory<Kokkos::Impl::ParallelScan<SPARTA_NS::ExclScan…
      0.1        8,330,520        400      20,826.3      20,592.0      10,944      26,432      2,471.3  void Kokkos::Impl::cuda_parallel_launch_local_memory<Kokkos::Impl::ParallelFor<SPARTA_NS::FixEmitSu…
      0.0        3,087,985        400       7,720.0       7,728.0       5,248       9,984        846.5  void Kokkos::Impl::cuda_parallel_launch_local_memory<Kokkos::Impl::ParallelFor<SPARTA_NS::FixEmitSu…
      0.0        2,207,636        400       5,519.1       5,504.0       4,544       6,559        291.6  void Kokkos::Impl::cuda_parallel_launch_local_memory<Kokkos::Impl::ParallelFor<SPARTA_NS::FixEmitSu…
      0.0          977,115        200       4,885.6       4,896.0       4,288       5,408        222.4  void Kokkos::Impl::cuda_parallel_launch_local_memory<Kokkos::Impl::ParallelFor<SPARTA_NS::CommKokko…
      0.0          955,611        200       4,778.1       4,736.0       4,576       5,120        120.8  void Kokkos::Impl::cuda_parallel_launch_local_memory<Kokkos::Impl::ParallelFor<SPARTA_NS::ParticleK…
      0.0           44,064          1      44,064.0      44,064.0      44,064      44,064          0.0  desul::<unnamed>::init_lock_arrays_cuda_kernel()                                                    
      0.0           33,695         10       3,369.5       1,424.0       1,376      11,135      3,930.9  void Kokkos::Impl::cuda_parallel_launch_local_memory<Kokkos::Impl::ParallelFor<Kokkos::Impl::ViewFi…
      0.0           18,047          1      18,047.0      18,047.0      18,047      18,047          0.0  void Kokkos::Impl::cuda_parallel_launch_local_memory<Kokkos::Impl::ParallelFor<SPARTA_NS::CollideVS…
      0.0            1,952          1       1,952.0       1,952.0       1,952       1,952          0.0  Kokkos::Impl::<unnamed>::query_cuda_kernel_arch(int *)                                              

