
NOTICE: Existing SQLite export found: /hpc/data/cfd-students/nnoventa/sparta/nicola/results/sparta_nsys_v100_1209483_np30000000_ro0_base/nsys_rank0.sqlite
        It is assumed file was previously exported from: /hpc/data/cfd-students/nnoventa/sparta/nicola/results/sparta_nsys_v100_1209483_np30000000_ro0_base/nsys_rank0.nsys-rep
        Consider using --force-export=true if needed.

Processing [/hpc/data/cfd-students/nnoventa/sparta/nicola/results/sparta_nsys_v100_1209483_np30000000_ro0_base/nsys_rank0.sqlite] with [/cm/shared/apps/cuda12.8/visual-tools/12.8.1/nsight-systems/2024.6.2/host-linux-x64/reports/osrt_sum.py]... 

 ** OS Runtime Summary (osrt_sum):

 Time (%)  Total Time (ns)  Num Calls     Avg (ns)         Med (ns)        Min (ns)        Max (ns)       StdDev (ns)               Name          
 --------  ---------------  ---------  ---------------  ---------------  -------------  --------------  ----------------  ------------------------
     44.3  138,009,752,929         96  1,437,601,593.0         49,723.0          1,198  46,124,711,652   7,948,556,588.7  epoll_wait              
     14.8   46,030,545,388          6  7,671,757,564.7     72,590,181.5        805,310  45,451,274,125  18,508,795,202.8  sem_wait                
     14.6   45,629,361,692        471     96,877,625.7    100,120,419.0          1,034     132,167,920      17,257,174.8  poll                    
     14.1   44,000,713,900         11  4,000,064,900.0  4,000,068,063.0  4,000,022,225   4,000,073,041          14,375.7  sem_timedwait           
     11.9   37,165,524,360        156    238,240,540.8          4,495.0          1,005  15,010,778,505   1,782,923,768.7  read                    
      0.2      504,320,920      4,584        110,017.7         32,687.5          1,054      34,719,052         670,936.9  ioctl                   
      0.0       48,276,373         12      4,023,031.1         56,125.0         39,246      40,208,209      11,549,162.7  pthread_cond_wait       
      0.0       17,506,287        136        128,722.7         20,372.0          1,077       8,078,253         769,288.5  write                   
      0.0       13,575,474        203         66,874.3          3,328.0          1,154      12,638,795         886,763.2  open                    
      0.0       10,816,908         10      1,081,690.8         37,186.5          1,857       6,798,144       2,319,982.4  fwrite                  
      0.0        8,187,326        139         58,901.6          2,986.0          1,018       3,135,959         317,151.4  fopen                   
      0.0        7,299,684        766          9,529.6          3,126.5          1,024       3,525,825         129,132.4  fgets                   
      0.0        6,931,479         13        533,190.7         19,692.0          1,597       6,724,083       1,860,144.8  pthread_cond_broadcast  
      0.0        5,918,103         12        493,175.3         16,604.0          1,299       5,682,401       1,634,307.7  writev                  
      0.0        5,087,829          1      5,087,829.0      5,087,829.0      5,087,829       5,087,829               0.0  nanosleep               
      0.0        4,693,401         15        312,893.4         20,476.0         19,150       3,997,238       1,021,529.1  pthread_mutex_lock      
      0.0        1,695,567         37         45,826.1          4,719.0          3,483       1,320,403         215,682.5  mmap64                  
      0.0          992,965         89         11,156.9          1,290.0          1,042         705,950          75,027.7  fclose                  
      0.0          641,838          8         80,229.8         69,789.0         58,222         144,303          28,480.2  pthread_create          
      0.0          451,118          7         64,445.4         31,582.0          7,982         275,450          97,031.9  fputs                   
      0.0          324,818          2        162,409.0        162,409.0        161,202         163,616           1,707.0  usleep                  
      0.0          265,291        129          2,056.5          1,313.0          1,007           9,926           1,642.6  socket                  
      0.0          244,243         65          3,757.6          3,193.0          1,049          12,798           1,985.3  open64                  
      0.0          216,303         32          6,759.5          3,176.0          1,191          21,286           6,610.1  sendmsg                 
      0.0          145,330         23          6,318.7          1,799.0          1,028          19,392           6,167.4  recvmsg                 
      0.0          135,054         10         13,505.4         10,476.0          1,121          23,029           8,587.2  fputc                   
      0.0           98,129          3         32,709.7         34,641.0         12,062          51,426          19,752.9  fflush                  
