
NOTICE: Existing SQLite export found: /hpc/data/cfd-students/nnoventa/sparta/nicola/results/sparta_nsys_v100_1214902_np30000000_ro0_reduce/nsys_rank0.sqlite
        It is assumed file was previously exported from: /hpc/data/cfd-students/nnoventa/sparta/nicola/results/sparta_nsys_v100_1214902_np30000000_ro0_reduce/nsys_rank0.nsys-rep
        Consider using --force-export=true if needed.

Processing [/hpc/data/cfd-students/nnoventa/sparta/nicola/results/sparta_nsys_v100_1214902_np30000000_ro0_reduce/nsys_rank0.sqlite] with [/cm/shared/apps/cuda12.8/visual-tools/12.8.1/nsight-systems/2024.6.2/host-linux-x64/reports/mpi_event_sum.py]... 
Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Source,Name
81.1,607676267,1,607676267.0,607676267.0,607676267,607676267,0.0,other,MPI_Init
13.8,103403939,1,103403939.0,103403939.0,103403939,103403939,0.0,other,MPI_Finalize
4.2,31704136,774,40961.4,5268.0,1835,11277530,409996.7,collectives,MPI_Allreduce
0.4,3087520,1,3087520.0,3087520.0,3087520,3087520,0.0,collectives,MPI_Alltoallv
0.3,2091501,3,697167.0,4560.0,3240,2083701,1200773.8,collectives,MPI_Allgatherv
0.1,652159,240,2717.3,715.5,167,93256,11360.0,collectives,MPI_Barrier
0.1,497298,10,49729.8,43114.5,2899,108755,40417.5,collectives,MPI_Reduce_scatter
0.0,306935,1,306935.0,306935.0,306935,306935,0.0,collectives,MPI_Scan
0.0,258741,337,767.8,265.0,148,132640,7216.3,collectives,MPI_Bcast
0.0,22171,4,5542.8,5097.5,2446,9530,3093.3,collectives,MPI_Allgather
0.0,10232,1,10232.0,10232.0,10232,10232,0.0,collectives,MPI_Alltoall

